興趣,類型,成效
"28-55 / 南區東區太平 / 網紅行銷 美食
-臺中火車站（+3 公里）, 精武路（+3 公里）, 建國北黃昏市場（+5 公里）
-行銷企劃 (行銷) 、社群媒體行銷（行銷） 、網紅行銷 (行銷) 、病毒營銷、開發潛在顧客 (行銷) 、 Instagram（社群媒體） 、網路廣告（行銷） 、速食休閒餐廳 (餐廳) 、烘培坊（烘焙食品） 、鮭魚、 Apple Music 、 YouTube（串流服務） 、行動支付（貨幣） 、韓式料理（美食和餐飲） 或蛋糕（烘焙食品）",名單,優
"27-55 / 十期 / 行銷設計
-太原車站（+3 公里）, 頭家厝菜市場（+3 公里）
-室內設計（設計） 、行銷企劃 (行銷) 、數位行銷（行銷） 、折扣商店（零售） 、綜藝節目 (表演藝術) 、傢俱（居家裝潢） 、韓國電視劇（電視節目） 、網紅行銷 (行銷) 、網路購物（零售） 、居家裝潢零售商 (零售) 、廣告（行銷） 、設計（設計） 、政府（政府機構） 、網路 (電腦運算) 、平面設計（視覺藝術） 或服裝（服飾）、行業類別：政府員工（全球） 、教育和圖書館或行政服務",名單,優
"25-55 / 大台中 /百葉簾 家具
-台中中央公園（+8 公里）, 台中IKEA旗艦店（+8 公里）, 臺中市港區藝術中心（+8 公里）
-傢俱（居家裝潢） 、居家裝修（家居和園藝用品） 、室內設計（設計） 、現代家具（居家裝潢） 、百葉簾、窗戶（建築） 、宜家家居（零售業者） 、居家飾品 (居家裝潢) 、居家裝潢零售商 (零售) 、美學（哲學） 或住家修繕（居家裝修）
1208
-華山文創（+20 公里） ; 桃園車站（+20 公里） ; 台中中央公園（+20 公里）, 彰化車站（+20 公里） ; 北新竹車站（+20 公里）
+ Procurement 、生活風格 (生活風格內容) 、居家用品零售商 (零售) 、 LifeStyle Home 、室內建築（建築） 、住家翻新 (住家修繕) 或 Architecture & Interior Design",訊息,優
"35-60 / 中部 / 露營興趣
-台中中央公園（+20 公里）, FAMWOOD 自然紅屋（+20 公里） ; 彰化員林（+20 公里）
-納入：興趣：Outdoor Living 、戶外休閒活動（戶外活動） 、生態旅遊（旅遊觀光） 、自然攝影 (攝影) 、野餐 (食品和飲料) 、居家裝修（家居和園藝用品） 、露營（戶外活動） 、大自然（科學） 、自助旅行 (旅遊) 、露營車 (旅遊觀光) 、草地（園藝） 、 Lifestyle Travel 或 Weekend Getaway
0108
+休旅車營地（露營）  、自助旅行 (旅遊) 、 Prefabricated home 、居家風格和類型 (房地產)",名單,優
"30-60 / 和美 國道1 / 傳產 公務員
1.地點：和美高中（+5 公里）, 烏日工業城（+5 公里）, 大肚橋（+5 公里） ; 精誠夜巿（+5 公里）
2.興趣：住家修繕（居家裝修） 、保養、維修和操作（建築業） 、製造業（產業） 、物流（商業與財務） 、工廠（製造業） 、機械加工、工具機 (興建和維修) 、批發（零售） 、機器、經銷（商業） 、房屋（房地產） 、 591房屋交易網、上班族（流行文化） 或社群媒體（網路媒體）、行業類別：行政服務、教育和圖書館、安裝與維修服務或運輸與搬運",訊息,優
"1.地區-南屯工業區（+3 公里）, 烏日高鐵站（+3 公里）, 彰化車站（+3 公里）, 追分車站（+3 公里）
2.興趣-加工出口工廠、製造業（產業） 、食品產業、紡織工業、投資（商業與財務） 、房地產（產業） 、投資報酬率（投資） 、批發（零售） 、新聞媒體（新聞服務） 、時事（政治） 、網路購物（零售） 或個人理財（銀行業）",名單,優
"28-60 / 和美 沿台19 / 小家庭+上班族
1.地區:和美鎮（+3 公里） ; 精誠夜巿（+3 公里）, 秀水_龍騰公園（+3 公里）
2.興趣-591房屋交易網、不動產（房地產）、公寓大樓（房地產）、住宅區（房地產）、金融服務（商業與財務）、金錢（貨幣）、促銷（行銷）、政府（政府機構）、團購、證券（金融）、銀行業（金融）、教育、優惠券",名單,優
"28-55 / 鹿港和美福興 / 藍領 銀行保險
-和美高中（+5 公里）, 7-11福環門市（+5 公里） ; 鹿港老街（+5 公里）
-保險（商業與財務） 、保單（保險） 、人壽保險（保險） 、業務（商業與財務） 、零售銀行業務（銀行業） 、投資銀行業（銀行業） 、銀行業（金融） 、金融服務（商業與財務） 、證券交易所（投資） 、股市指數 (投資) 、技術員、製造業（產業） 、製造生產服務和組織 (製造業) 、工廠（製造業） 、股票經紀人 (投資) 、配電系統、代工生產、上班族（流行文化） 或熱門話題",訊息,優
"28-55 / 鹿港和美福興 / 年輕 育兒 首購
-和美高中（+5 公里）, 7-11福環門市（+5 公里） ; 鹿港老街（+5 公里）
-媽媽寶寶-懷孕、生產、育兒、新生兒派對（兒童和親子教育） 、家庭（社會觀念） 、上班族（流行文化） 、 LINE 、傢俱（居家裝潢） 、室內設計（設計） 、熱門話題、淘寶網、網路購物網站 (網站) 、流行文化（社會觀念） 、促銷（行銷） 、婚禮（社會觀念） 、美容（社會觀念） 、 iPhone（智慧型手機） 、個人理財（銀行業） 、 591房屋交易網或房地產（產業）、家長：父母（全部）",訊息,優
"28-60 / 伸港鹿港龍井大肚 / 有小孩寵物
-龍井車站（+3 公里）, 大肚車站（+3 公里） ; 85。c鹿港鹿和店（+5 公里）, 伸港鄉立圖書館（+5 公里）
-家庭（社會觀念） 、親子教育（兒童和親子教育） 、廚房（家居和園藝用品） 、室內設計（設計） 、現代家具（居家裝潢） 、家電（消費電子產品） 、幼兒教育（小學和中學教育） 、生活用品（家居和園藝用品） 、運動（體育運動） 、暑假（小學和中學教育） 、草地（園藝） 、任天堂 (遊戲機和相關配件) 、寵物食品（寵物用品） 、狗狗美容（寵物） 、犬隻健康（寵物） 、遛狗（狗狗） 、貓糧（寵物用品） 、排屋、住宅區（房地產） 或別墅（住宿）、家長：父母（全部）",訊息,優
"28-55 / 南區東區太平 / 年輕創業 
-臺中火車站（+3 公里）, 精武路（+3 公里）, 建國北黃昏市場（+5 公里）
-自由工作者（工作機會） 、居家事業（商業與財務） 、被動收入（商業與財務） 、自僱（工作機會） 、女性企業家（商業與財務） 、獨資企業（商業與財務） 、創意創業 (商業和金融業) 、美學（哲學） 、設計（設計） 、美容（社會觀念） 、商業模式 (商業和金融業) 、行銷企劃 (行銷) 、攝影師（攝影） 、角蛋白、髮型（護髮保養） 、室內設計（設計） 、零售業（產業） 或商業計畫 (商業活動)、行為：小型企業主",名單,優
