TA,專案,成效,興趣,類型
"30-60
公務員 教職
",晴山白里,優,"1.地區-Hong Wen International School（+3 公里）, 后里運動公園（+3 公里）, 豐原車站（+4 公里）, 台中環線， 台中市（+3 公里） Taichung
2.興趣-廚房（家居和園藝用品） 、閱讀（傳播） 、園藝（戶外活動） 、親子教育（兒童和親子教育） 、居家裝修（家居和園藝用品） 、 591房屋交易網、幼兒教育（小學和中學教育） 、教育（社會觀念） 、大自然（科學） 、自行車（體育運動） 、書籍（媒體刊物） 、家庭（社會觀念） 、房地產（產業） 、烹飪（美食和餐飲） 或質感設計
• 家長：父母（全部）",訊息
"35-65
開店 投資
",錢連,優,"1.地區-慈眀高中（+5 公里）, 環中東路七段， 台中市（+5 公里）, 環中東路三段， 台中市（+5 公里） Taichung
2.興趣-被動收入（商業與財務） 、房地產投資（投資） 、財富（經濟） 、不動產（房地產） 、公司、收入（商業與財務） 、企業家（商業與財務） 、商業（商業與財務） 、獨資企業（商業與財務） 、加盟連鎖（行銷） 、新創公司（商業與財務） 或居家事業（商業與財務）
• 任職公司：自営業(個人事業主)",訊息
"30-65
彰化 國道1沿線
工業 置產
$356、20名單",新都峰,優,"1.地區-南屯工業區（+3 公里）, 烏日高鐵站（+3 公里）, 彰化車站（+3 公里）, 追分車站（+3 公里）
2.興趣-加工出口工廠、製造業（產業） 、食品產業、紡織工業、投資（商業與財務） 、房地產（產業） 、投資報酬率（投資） 、批發（零售） 、新聞媒體（新聞服務） 、時事（政治） 、網路購物（零售） 或個人理財（銀行業）",名單
"28-60 
小家庭+上班族",新都峰,可,"28-60 / 和美 沿台19 / 小家庭+上班族
1.地區:和美鎮（+3 公里） ; 精誠夜巿（+3 公里）, 秀水_龍騰公園（+3 公里）
2.興趣-591房屋交易網、不動產（房地產）、公寓大樓（房地產）、住宅區（房地產）、金融服務（商業與財務）、金錢（貨幣）、促銷（行銷）、政府（政府機構）、團購、證券（金融）、銀行業（金融）、教育、優惠券",訊息
"30-60
旅遊 教育",光華盛璟,差,"1.地區-竹南車站（+3 公里） ; 頭份國小（+3 公里）, 廣源科技園區（+3 公里）
2.興趣-房屋（房地產） 、假期（活動） 、國際觀光振興機構、住宿加早餐酒店、 591房屋交易網、高等教育（教育） 、教育（社會觀念） 、網路購物（零售） 、航空公司、家庭（社會觀念） 、房地產（產業） 、旅遊（旅遊觀光） 或輕旅行",訊息
"30-60
戶外+工藝",寬心璽玥,差,"1.地區-南投埔里鎭（+5 公里） ; 草屯工藝文化園區（+5 公里）+南投體育場
2.興趣-591房屋交易網、住宅區（房地產） 、公寓大樓（房地產） 、戶外（戶外活動） 、露營（戶外活動） 、運動（體育運動） 、戶外休閒活動（戶外活動） 、公園、休閒（社會觀念） 、登山（爬山） 、自行車（交通工具） 、休閒娛樂（社會觀念） 、野餐 (食品和飲料) 、手工藝（工藝品） 或手工藝（興趣）",訊息
"35-60
戶外活動興趣",寬心璽玥,⠀,"1.地區-埔里鎮、埔里外圍露營區
2.興趣-戶外（戶外活動） 、露營（戶外活動） 、野餐 (食品和飲料) 、戶外休閒活動（戶外活動） 、露營車 (旅遊觀光) 、營地 (露營) 、休閒（社會觀念） 、自助旅行 (旅遊) 、背包（行李） 、生態旅遊（旅遊觀光） 、旅遊（旅遊觀光） 、度假（社會觀念） 、公寓（房地產）、房地產投資（投資）或591房屋交易網",
"30-60
在地觀光",寬心璽玥,差,"1.地區-中台世界博物館、埔里觀光酒廠
2.興趣-591房屋交易網、公寓大樓（房地產）、自釀啤酒、住宅區（房地產）、住家（家居和園藝用品）、美術館（博物館）、酒精飲品（美食和餐飲）、啤酒節、現代藝術（藝術）、博物館（地標）、農場（農業）、釀造（啤酒）、釀造廠（製造商）、植物（植物與花卉）",訊息
"28-65 
在地老闆",勝興豐川,差,"1.地區-台中彰化沿海(全興工業區、彰化濱海工業區、線西公園、龍井區、Mitsui outlet park)
2.興趣-中小型企業（商業與財務） 、獨資企業（商業與財務） 、創意創業 (商業和金融業) 、新創公司（商業與財務） 、茶（非酒精飲料） 、企業管理（商業與財務） 、資金、電子產品（電腦和電子產品） 、 591房屋交易網、國際貿易、養殖漁業、出口貿易、農業（產業） 、企業家（商業與財務） 、小型企業（商業與財務） 、教育（社會觀念） 、高科技（電腦和電子產品） 、食品產業、數位行銷（行銷） 或社群媒體（網路媒體）",名單
"30-65 
1% 重工傳產",勝興豐川,差,"1.地區-全興工業區、東海大學、彰化濱海工業區、線西公園、靜宜大學、龍井區、Mitsui outlet park
2.興趣-居家事業（商業與財務） 、財富（經濟） 、資金、 591房屋交易網、化學工業、環境工程、工業工程 (工程) 、機械工程（工程） 、機械加工、電機工程（工程） 、電子工程、製造業（產業） 、工廠（製造業） 、金屬加工（建築業） 、電腦工程（工程） 、土木工程（工程） 、建築工程或船艇製造和銷售 (船舶)",名單
