分析報告開始,分析報告結束,廣告組合名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,"27-55 / 十期 / 年輕興趣",,,,,,952,31,1.208577,1.10847,2025-10-28,進行中
2025-10-28,2026-05-29,"27-55 / 北屯北區 / 購物美食",,,,,,962,47,1.558355,1.147204,2025-10-28,進行中
2025-10-28,2026-05-29,"27-55 / 西區西屯水湳 / 金融業 / 律師",,,,,,1012,39,1.681034,1.264305,2025-10-28,進行中
2025-10-28,2026-05-29,"27-55 / 十期 / 行銷設計",,,9,861.44444444,actions:leadgen.other,7753,366,2.00812,1.408827,2025-10-28,進行中
2025-10-28,2026-05-29,"30-60 / 西屯北屯 / 投資租賃",,,2,1024,actions:leadgen.other,2048,87,1.655251,1.189409,2025-10-28,進行中
2025-10-28,2026-05-29,"27-60 / 北屯北區太平 / 醫療業",,,,,,1008,24,1.242879,1.219066,2025-10-28,進行中
2025-10-28,2026-05-29,"30-60 / 北屯北區 / 科技資工",,,,,,961,41,2.180851,1.133213,2025-10-28,進行中
2025-10-28,2026-05-29,"中彰投再行銷 / 原潮APT(0520調粉專)",19,6,80,560.0625,actions:leadgen.other,44805,2483,4.846107,2.675422,2025-10-28,進行中
2025-10-28,2026-05-29,"27-55 / 潭子豐原后里 / 出口貿易 / 科技產品",,,2,993,actions:leadgen.other,1986,130,2.516941,1.118934,2025-10-30,進行中
2025-10-28,2026-05-29,"27-55 / 中科南屯烏日 / 食衣住行",,,4,809.5,actions:leadgen.other,3238,166,1.675752,1.192775,2025-10-30,進行中
2025-10-28,2026-05-29,"35-60 / 豐原彰化沙鹿大甲 / 投資客(1108擴大)",,,4,1244.5,actions:leadgen.other,4978,235,2.188897,1.460283,2025-10-30,進行中
2025-10-28,2026-05-29,"30-60 / 西屯南屯西區 / 資產 / 國外旅行(1101調區域",3,,1,1969,actions:leadgen.other,1969,81,1.29455,1.11533,2025-10-30,進行中
2025-10-28,2026-05-29,"28-55 / 十期東區 / 餐廳 串流媒體",2,,9,938.55555556,actions:leadgen.other,8447,418,2.14491,1.321131,2025-10-30,進行中
2025-10-28,2026-05-29,"30-60/中科南屯烏日/ 教授教職人員",,,,,,962,21,0.946372,1.089882,2025-11-01,進行中
2025-10-28,2026-05-29,"27-55 / 十期 / 財會 公務員",,,1,984,actions:leadgen.other,984,52,1.818182,1.082513,2025-11-03,進行中
2025-10-28,2026-05-29,"27-55 / 中科南屯烏日 / 科技新貴",,,1,925,actions:leadgen.other,925,42,1.347449,1.076312,2025-11-03,進行中
2025-10-28,2026-05-29,"28-60 / 北屯太平東區 / 娛樂購物",,,2,1132,actions:leadgen.other,2264,94,1.876997,1.125899,2025-11-03,進行中
2025-10-28,2026-05-29,"28-55 / 十期潭子 / 戶外寵物",,,1,1219,actions:leadgen.other,1219,54,2.193339,1.092765,2025-11-04,進行中
2025-10-28,2026-05-29,"28-55 / 西區南區大里 / 購屋需求",,,,,,1073,44,1.635688,1.040619,2025-11-04,進行中
2025-10-28,2026-05-29,"27-55 / 南區東區太平 / 行銷設計",,,1,1633,actions:leadgen.other,1633,56,1.677149,1.150189,2025-11-04,進行中
2025-10-28,2026-05-29,"28-55 / 十期東區 / 韓國流行文化",,,,,,794,33,1.642608,1.074332,2025-11-05,進行中
2025-10-28,2026-05-29,"27-55 / 西屯北屯 / 日漫影視",,,,,,790,29,1.660939,1.081115,2025-11-05,進行中
2025-10-28,2026-05-29,"28-60 / 潭子太平大里 / 業務工作(1118調區域)",,,5,1217.2,actions:leadgen.other,6086,265,2.172487,1.191327,2025-11-06,進行中
2025-10-28,2026-05-29,"28-60 / 北屯 / 1%+房地產",,,1,1188,actions:leadgen.other,1188,62,2.380952,1.136622,2025-11-07,進行中
2025-10-28,2026-05-29,"28-60 / 北屯東區 / 1%+銀行保險",,,1,1205,actions:leadgen.other,1205,52,2.274716,1.087536,2025-11-07,進行中
2025-10-28,2026-05-29,"27-55 / 豐原潭子 / 年輕人興趣",,,,,,1220,33,2.271163,1.180341,2025-11-07,進行中
2025-10-28,2026-05-29,"28-55 / 西屯中科 / 電玩收藏",,,1,1208,actions:leadgen.other,1208,41,2.379571,1.164189,2025-11-07,進行中
2025-10-28,2026-05-29,"27-55 / 西屯南屯 / 登山運動工程師(1116+出國興趣",,,7,1114.57142857,actions:leadgen.other,7802,353,1.81519,1.229034,2025-11-08,進行中
2025-10-28,2026-05-29,"28-55 / 太原大里樂業 / 娛樂興趣",,,,,,507,27,2.345786,1.071695,2025-11-08,進行中
2025-10-28,2026-05-29,"27-55 / 西屯北屯 / 年輕上班族(1112調區域",,,,,,1268,31,2.002584,1.2,2025-11-10,進行中
2025-10-28,2026-05-29,"35-60 / 潭子北屯太平 / 子女置產(1126調區域)",1,,15,866.66666667,actions:leadgen.other,13000,482,2.680906,1.322666,2025-11-10,進行中
2025-10-28,2026-05-29,"28-55 / 潭子太平大里 / 成家育兒(1112受眾簡化",,,1,2384,actions:leadgen.other,2384,78,1.753203,1.156185,2025-11-10,進行中
