分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2026-04-15,2026-06-01,0416_旗艦公設第二版(影片),not_delivering,14253,6784,,,8,515.625,actions:leadgen.other,4125,300,每日,387,2.715218,2.100973,128,2026-04-17,進行中
2026-04-15,2026-06-01,0416_旗艦公設第二版(影片),inactive,3769,2660,,,,,,1231,300,每日,85,2.25524,1.416917,32,2026-05-07,進行中
2026-04-15,2026-06-01,0416_旗艦公設第二版(影片),not_delivering,13830,8493,,,5,685.8,actions:leadgen.other,3429,300,每日,322,2.328272,1.6284,107,2026-05-07,進行中
2026-04-15,2026-06-01,0416_旗艦公設第二版(單圖),inactive,199,151,,,,,,44,300,每日,2,1.005025,1.317881,6,2026-05-07,進行中
2026-04-15,2026-06-01,0416_旗艦公設第二版(單圖),not_delivering,1842,1466,,,,,,406,300,每日,51,2.76873,1.25648,29,2026-05-07,進行中
2026-04-15,2026-06-01,0512_泳池花園宅,not_delivering,845,649,,,,,,240,300,每日,17,2.011834,1.302003,6,2026-05-07,進行中
2026-04-15,2026-06-01,0512_泳池花園宅,inactive,2268,1599,,,1,779,actions:leadgen.other,779,300,每日,66,2.910053,1.418386,27,2026-05-07,進行中
2026-04-15,2026-06-01,0512_泳池花園宅,not_delivering,808,635,,,,,,260,300,每日,16,1.980198,1.272441,2,2026-05-20,進行中
2026-04-15,2026-06-01,0416_旗艦公設第二版(影片),not_delivering,2753,1931,,,1,758,actions:leadgen.other,758,300,每日,66,2.397385,1.425686,23,2026-05-20,進行中
2026-04-15,2026-06-01,0512_泳池花園宅,not_delivering,312,269,,,,,,56,250,每日,7,2.24359,1.159851,1,2026-05-25,進行中
2026-04-15,2026-06-01,0416_旗艦公設第二版(影片),inactive,1047,895,,,,,,291,250,每日,20,1.91022,1.169832,9,2026-05-25,進行中
2026-04-15,2026-06-01,0526_成家在太原,not_delivering,361,320,,,,,,109,250,每日,6,1.66205,1.128125,2,2026-05-25,進行中
