分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2025-11-06,2026-06-01,1028_EP03(影片),not_delivering,334,331,,,,,,168,400,每日,3,0.898204,1.009063,54,2025-11-21,進行中
2025-11-06,2026-06-01,1114_生活有品味(影片),not_delivering,454,331,,,,,,453,400,每日,8,1.762115,1.371601,70,2025-11-21,進行中
2025-11-06,2026-06-01,1028_EP02(影片),inactive,3598,3410,1,,1,1091,actions:leadgen.other,1091,400,每日,47,1.306281,1.055132,613,2025-11-21,進行中
2025-11-06,2026-06-01,1222_千坪綠覆(影片),inactive,78,71,,,,,,67,3000,總經費,1,1.282051,1.098592,12,2026-01-05,2026-01-16
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,749,682,1,,,,,513,3000,總經費,26,3.471295,1.09824,150,2026-01-05,2026-01-16
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,not_delivering,215,199,,,,,,130,3000,總經費,8,3.72093,1.080402,35,2026-01-05,2026-01-16
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,1189,1076,,,1,594,actions:leadgen.other,594,3000,總經費,24,2.018503,1.105019,186,2026-02-02,2026-02-13
2025-11-06,2026-06-01,1028_EP03(影片)V2,inactive,319,303,,,,,,366,3000,總經費,4,1.253919,1.052805,56,2026-02-02,2026-02-13
2025-11-06,2026-06-01,0121_簡短版介紹(影片),not_delivering,255,233,,,,,,244,3000,總經費,7,2.745098,1.094421,52,2026-02-02,2026-02-13
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,inactive,77,71,,,,,,213,3000,總經費,2,2.597403,1.084507,26,2026-02-02,2026-02-13
2025-11-06,2026-06-01,0121_簡短版介紹(影片),not_delivering,315,275,,,,,,244,300,每日,12,3.809524,1.145455,78,2026-03-09,進行中
2025-11-06,2026-06-01,1028_EP02(影片),inactive,1019,940,,,,,,266,300,每日,11,1.07949,1.084043,127,2026-03-09,進行中
2025-11-06,2026-06-01,1028_EP03(影片)V2,inactive,632,460,,,,,,361,300,每日,10,1.582278,1.373913,111,2026-03-09,進行中
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,not_delivering,115,109,,,,,,56,300,每日,4,3.478261,1.055046,25,2026-03-09,進行中
2025-11-06,2026-06-01,0121_簡短版介紹(影片),not_delivering,386,307,,,,,,162,300,每日,9,2.331606,1.257329,85,2026-03-18,進行中
2025-11-06,2026-06-01,0320_EP02片段2(影片),not_delivering,161,125,,,,,,155,300,每日,4,2.484472,1.288,25,2026-03-18,進行中
2025-11-06,2026-06-01,0402_旗艦公設(影片),inactive,173,116,,,,,,135,300,每日,6,3.468208,1.491379,20,2026-04-08,進行中
2025-11-06,2026-06-01,1028_EP02(影片),inactive,1024,961,,,,,,572,300,每日,11,1.074219,1.065557,155,2026-04-08,進行中
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,9146,8184,1,,3,776,actions:leadgen.other,2328,400,每日,170,1.858736,1.117546,1459,2025-11-13,進行中
2025-11-06,2026-06-01,1114_生活有品味(影片),not_delivering,47,40,,,,,,41,400,每日,4,8.510638,1.175,10,2025-11-13,進行中
2025-11-06,2026-06-01,1028_EP02(影片),inactive,6518,6017,1,,1,1328,actions:leadgen.other,1328,4000,總經費,75,1.15066,1.083264,980,2025-11-20,2025-11-30
2025-11-06,2026-06-01,1028_EP03(影片),not_delivering,298,268,,,,,,286,4000,總經費,6,2.013423,1.11194,51,2025-11-20,2025-11-30
2025-11-06,2026-06-01,1114_生活有品味(影片),not_delivering,583,407,,,,,,496,300,每日,23,3.945111,1.432432,118,2025-11-21,進行中
2025-11-06,2026-06-01,1028_EP02(影片),inactive,1277,1073,,,1,828,actions:leadgen.other,828,300,每日,55,4.306969,1.190121,385,2025-11-21,進行中
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,755,747,,,,,,239,3000,總經費,10,1.324503,1.01071,131,2025-12-17,2025-12-28
2025-11-06,2026-06-01,1028_EP03(影片),not_delivering,201,198,,,,,,152,3000,總經費,4,1.99005,1.015152,53,2025-12-17,2025-12-28
2025-11-06,2026-06-01,1028_EP03(影片)V2,not_delivering,53,52,,,,,,94,3000,總經費,2,3.773585,1.019231,11,2026-01-19,2026-01-30
