分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2025-10-28,2026-06-01,"30-60 / 豐原潭子靜宜 / 家庭主婦興趣",inactive,5451,2936,,,4,1005,actions:leadgen.other,4020,300,每日,149,2.733443,1.856608,926,2026-04-14,進行中
2025-10-28,2026-06-01,30-55/中科水湳中清/科技自營商A,inactive,5570,2771,1,,11,564.54545455,actions:leadgen.other,6210,300,每日,198,3.554758,2.010105,1166,2026-04-14,進行中
2025-10-28,2026-06-01,30-55/中科水湳中清/科技投資理財,inactive,373,321,,,,,,496,300,每日,11,2.949062,1.161994,64,2026-04-14,進行中
2025-10-28,2026-06-01,(test)30-55/中科水湳中清/科技自營商A,inactive,22552,10335,,,14,428.28571429,actions:leadgen.other,5996,250,每日,721,3.197056,2.1821,404,2026-04-15,進行中
2025-10-28,2026-06-01,(test)30-55/中科水湳中清/科技投資理財,inactive,2606,1643,,,,,,614,300,每日,87,3.33845,1.586123,24,2026-04-15,進行中
2025-10-28,2026-06-01,(test)30-55/中科水湳中清/房地產/股票,inactive,19537,8532,,,10,557.7,actions:leadgen.other,5577,300,每日,600,3.071096,2.28985,176,2026-04-17,進行中
2025-10-28,2026-06-01,(test)30-55/中科水湳中清/在地餐飲/服務業,inactive,14253,6784,,,8,515.625,actions:leadgen.other,4125,300,每日,387,2.715218,2.100973,128,2026-04-17,進行中
2025-10-28,2026-06-01,"30-55 / 水湳北屯潭子 / 年輕人興趣",inactive,4354,3016,,,3,971.66666667,actions:leadgen.other,2915,300,每日,108,2.480478,1.443634,865,2026-04-27,進行中
2025-10-28,2026-06-01,30-55/中科水湳中清/金融/電腦,inactive,1204,988,,,1,1323,actions:leadgen.other,1323,300,每日,33,2.740864,1.218623,231,2026-05-04,進行中
2025-10-28,2026-06-01,(test)30-55/水湳洲際/醫生興趣,inactive,1536,1126,,,,,,481,300,每日,32,2.083333,1.364121,7,2026-05-04,進行中
2025-10-28,2026-06-01,(test)30-55/IKEA+15/科技自營商A(0507擴大),inactive,8639,5557,1,,2,1068.5,actions:leadgen.other,2137,300,每日,234,2.708647,1.554616,60,2026-05-06,進行中
2025-10-28,2026-06-01,(test)30-55/中科+15/置產/醫師/高管(0507擴大),inactive,5094,3711,,,1,1586,actions:leadgen.other,1586,300,每日,129,2.532391,1.372676,31,2026-05-06,進行中
2025-10-28,2026-06-01,(test)30-55/洲際+10/房地產(0511改地點),inactive,6456,4017,,,,,,1877,300,每日,153,2.369888,1.60717,67,2026-05-07,進行中
2025-10-28,2026-06-01,(test)30-55/十期+8/科技新貴/旅遊,inactive,16297,9540,,,6,708.66666667,actions:leadgen.other,4252,300,每日,390,2.393078,1.708281,140,2026-05-07,進行中
2025-10-28,2026-06-01,(test)30-55/中科+15/科技/旅遊/度假/信用卡,inactive,4196,3094,,,,,,1222,300,每日,94,2.240229,1.356173,35,2026-05-11,進行中
2025-10-28,2026-06-01,(test)30-55/洲際+10/自由業/數位遊牧,inactive,5177,3624,,,1,1422,actions:leadgen.other,1422,300,每日,125,2.414526,1.428532,53,2026-05-13,進行中
2025-10-28,2026-06-01,(test)30-55/十期+8/投資/半退休/休閒,inactive,6647,4162,,,7,296.85714286,actions:leadgen.other,2078,300,每日,194,2.91861,1.597069,103,2026-05-13,進行中
2025-10-28,2026-06-01,(test)30-55/十期+8/投資/年輕首購,inactive,3636,2420,,,1,1247,actions:leadgen.other,1247,300,每日,94,2.585259,1.502479,35,2026-05-18,進行中
2025-10-28,2026-06-01,"(test)30-60/中科潭子+8 /投資/半退休/休閒",inactive,3561,2365,,,1,1018,actions:leadgen.other,1018,300,每日,82,2.302724,1.505708,25,2026-05-20,進行中
2025-10-28,2026-06-01,28-60/水湳中科+6/1%+投資市場,inactive,1128,829,,,,,,658,250,每日,29,2.570922,1.360676,129,2026-05-25,進行中
2025-10-28,2026-06-01,(test)台中市名單再行銷/APT(備),active,332,218,,,1,199,actions:leadgen.other,199,250,每日,12,3.614458,1.522936,12,2026-05-27,進行中
2025-10-28,2026-06-01,28-50/十期/1%+成家,inactive,659,522,,,,,,527,250,每日,21,3.186646,1.262452,135,2026-05-27,進行中
2025-10-28,2026-06-01,(test)30-55/太原+6/科技自營商A(備),active,3617,2363,2,,4,322.75,actions:leadgen.other,1291,250,每日,103,2.847664,1.530681,47,2026-05-27,進行中
2025-10-28,2026-06-01,(test)30-50/水湳中清洲際/製造業主管,active,2557,1753,,,2,402.5,actions:leadgen.other,805,250,每日,70,2.737583,1.458642,18,2026-05-29,進行中
2025-10-28,2026-06-01,"27-55 / 十期 / 年輕興趣",inactive,2565,2314,,,,,,952,500,每日,31,1.208577,1.10847,412,2025-10-28,進行中
2025-10-28,2026-06-01,"27-55 / 北屯北區 / 購物美食",inactive,3016,2629,,,,,,962,500,每日,47,1.558355,1.147204,552,2025-10-28,進行中
2025-10-28,2026-06-01,"27-55 / 西區西屯水湳 / 金融業 / 律師",inactive,2320,1835,,,,,,1012,500,每日,39,1.681034,1.264305,320,2025-10-28,進行中
2025-10-28,2026-06-01,"27-55 / 十期 / 行銷設計",inactive,18226,12937,,,9,861.44444444,actions:leadgen.other,7753,300,每日,366,2.00812,1.408827,3057,2025-10-28,進行中
2025-10-28,2026-06-01,"30-60 / 西屯北屯 / 投資租賃",inactive,5256,4419,,,2,1024,actions:leadgen.other,2048,500,每日,87,1.655251,1.189409,872,2025-10-28,進行中
2025-10-28,2026-06-01,"27-60 / 北屯北區太平 / 醫療業",inactive,1931,1584,,,,,,1008,500,每日,24,1.242879,1.219066,236,2025-10-28,進行中
2025-10-28,2026-06-01,"30-60 / 北屯北區 / 科技資工",inactive,1880,1659,,,,,,961,500,每日,41,2.180851,1.133213,308,2025-10-28,進行中
2025-10-28,2026-06-01,"中彰投再行銷 / 原潮APT(0520調粉專)",inactive,51237,19151,19,6,80,560.0625,actions:leadgen.other,44805,300,每日,2483,4.846107,2.675422,13525,2025-10-28,進行中
2025-10-28,2026-06-01,"27-55 / 潭子豐原后里 / 出口貿易 / 科技產品",inactive,5165,4616,,,2,993,actions:leadgen.other,1986,500,每日,130,2.516941,1.118934,1036,2025-10-30,進行中
2025-10-28,2026-06-01,"27-55 / 中科南屯烏日 / 食衣住行",inactive,9906,8305,,,4,809.5,actions:leadgen.other,3238,400,每日,166,1.675752,1.192775,1772,2025-10-30,進行中
2025-10-28,2026-06-01,"35-60 / 豐原彰化沙鹿大甲 / 投資客(1108擴大)",inactive,10736,7352,,,4,1244.5,actions:leadgen.other,4978,400,每日,235,2.188897,1.460283,2091,2025-10-30,進行中
2025-10-28,2026-06-01,"30-60 / 西屯南屯西區 / 資產 / 國外旅行(1101調區域",inactive,6257,5610,3,,1,1969,actions:leadgen.other,1969,500,每日,81,1.29455,1.11533,1046,2025-10-30,進行中
2025-10-28,2026-06-01,"28-55 / 十期東區 / 餐廳 串流媒體",inactive,19488,14751,2,,9,938.55555556,actions:leadgen.other,8447,300,每日,418,2.14491,1.321131,3503,2025-10-30,進行中
2025-10-28,2026-06-01,"30-60/中科南屯烏日/ 教授教職人員",inactive,2219,2036,,,,,,962,500,每日,21,0.946372,1.089882,373,2025-11-01,進行中
2025-10-28,2026-06-01,"27-55 / 十期 / 財會 公務員",inactive,2860,2642,,,1,984,actions:leadgen.other,984,400,每日,52,1.818182,1.082513,463,2025-11-03,進行中
2025-10-28,2026-06-01,"27-55 / 中科南屯烏日 / 科技新貴",inactive,3117,2896,,,1,925,actions:leadgen.other,925,400,每日,42,1.347449,1.076312,491,2025-11-03,進行中
2025-10-28,2026-06-01,"28-60 / 北屯太平東區 / 娛樂購物",inactive,5008,4448,,,2,1132,actions:leadgen.other,2264,400,每日,94,1.876997,1.125899,847,2025-11-03,進行中
2025-10-28,2026-06-01,"28-55 / 十期潭子 / 戶外寵物",inactive,2462,2253,,,1,1219,actions:leadgen.other,1219,400,每日,54,2.193339,1.092765,420,2025-11-04,進行中
2025-10-28,2026-06-01,"30-55 / 十期洲際 / 3C/股票/新婚",inactive,956,740,,,,,,662,300,每日,27,2.824268,1.291892,202,2026-05-21,進行中
2025-10-28,2026-06-01,(test)30-55/十期+8/金融保險/主管,inactive,4568,3110,,,1,1146,actions:leadgen.other,1146,300,每日,144,3.152364,1.46881,40,2026-05-22,進行中
2025-10-28,2026-06-01,(test)30-55/洲際潭子/新婚/成家/教育,inactive,1677,1256,1,,,,,465,250,每日,34,2.02743,1.335191,8,2026-05-25,進行中
2025-10-28,2026-06-01,(test)30-55/中科水湳中清/生活品質/置產客,inactive,1720,1358,,,,,,456,250,每日,33,1.918605,1.266568,12,2026-05-25,進行中
2025-10-28,2026-06-01,(test)再行銷/創景電話名單/APT,inactive,1232,302,,,1,1186,actions:leadgen.other,1186,250,每日,22,1.785714,4.07947,17,2026-05-27,進行中
2025-10-28,2026-06-01,(test)30-55/太原+5/房產投資/老闆輪廓,inactive,1073,826,,,,,,525,250,每日,36,3.355079,1.299031,9,2026-05-27,進行中
2025-10-28,2026-06-01,(test)40-60/太原崇德北屯/退休宅換屋,inactive,1612,1102,,,,,,878,250,每日,45,2.791563,1.462795,21,2026-05-29,進行中
2025-10-28,2026-06-01,"28-55 / 西區南區大里 / 購屋需求",inactive,2690,2585,,,,,,1073,400,每日,44,1.635688,1.040619,433,2025-11-04,進行中
2025-10-28,2026-06-01,"27-55 / 南區東區太平 / 行銷設計",inactive,3339,2903,,,1,1633,actions:leadgen.other,1633,400,每日,56,1.677149,1.150189,542,2025-11-04,進行中
2025-10-28,2026-06-01,"28-55 / 十期東區 / 韓國流行文化",inactive,2009,1870,,,,,,794,400,每日,33,1.642608,1.074332,332,2025-11-05,進行中
2025-10-28,2026-06-01,"27-55 / 西屯北屯 / 日漫影視",inactive,1746,1615,,,,,,790,400,每日,29,1.660939,1.081115,308,2025-11-05,進行中
2025-10-28,2026-06-01,"28-60 / 潭子太平大里 / 業務工作(1118調區域)",inactive,12198,10239,,,5,1217.2,actions:leadgen.other,6086,400,每日,265,2.172487,1.191327,2140,2025-11-06,進行中
