分析報告開始,分析報告結束,廣告名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,0121_簡短版介紹(影片),,,,,,0,0,0,1,2026-01-21,2026-02-01
2025-10-28,2026-05-29,0121_簡短版介紹(影片),,,,,,0,0,0,1,2026-01-21,2026-02-01
2025-10-28,2026-05-29,0121_簡短版介紹(影片),,,,,,11,1,12.5,1,2026-01-21,2026-02-01
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,18,0,0,1,2026-01-21,2026-02-01
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,1,1004,actions:leadgen.other,1004,55,4.786771,1.488342,2026-03-04,進行中
2025-10-28,2026-05-29,0121_簡短版介紹(影片),,,,,,412,15,3.496504,1.324074,2026-03-04,進行中
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,1,1,14.285714,1.166667,2026-03-04,進行中
2025-10-28,2026-05-29,1028_EP03片段1(影片),,,3,859.33333333,actions:leadgen.other,2578,120,3.284072,1.975135,2026-03-04,進行中
2025-10-28,2026-05-29,1028_EP02片段1(影片),,,,,,46,4,5.797101,1.112903,2026-03-04,進行中
2025-10-28,2026-05-29,1028_EP03片段1(影片),1,,,,,1550,55,3.128555,1.340961,2025-10-28,進行中
2025-10-28,2026-05-29,1028_EP02片段1(影片),,,2,474.5,actions:leadgen.other,949,60,5.272408,1.753467,2025-10-28,進行中
2025-10-28,2026-05-29,0320_EP02片段2(影片),,,,,,347,13,3.439153,1.326316,2026-03-04,進行中
2025-10-28,2026-05-29,0416_旗艦公設第二版(影片),,,2,1161,actions:leadgen.other,2322,128,5.446809,2.263969,2025-10-28,進行中
2025-10-28,2026-05-29,0416_旗艦公設第二版(影片),,,,,,579,20,2.219756,1.346786,2025-11-26,2026-04-24
2025-10-28,2026-05-29,0320_EP02片段2(影片),,,,,,185,2,1.526718,1.212963,2025-11-10,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,612,19,2.848576,1.111667,2025-11-10,進行中
2025-10-28,2026-05-29,0320_EP02片段2(影片),,,,,,474,7,1.147541,1.182171,2025-11-26,2026-04-24
2025-10-28,2026-05-29,0320_EP02片段2(影片),,,7,440.28571429,actions:leadgen.other,3082,126,4.705004,2.069552,2025-10-28,進行中
2025-10-28,2026-05-29,0416_旗艦公設第二版(單圖),,,,,,559,30,2.640845,1.780564,2025-10-28,進行中
2025-10-28,2026-05-29,0320_EP02片段2(影片),,,,,,550,17,2.374302,1.147436,2025-10-28,進行中
2025-10-28,2026-05-29,0416_旗艦公設第二版(單圖),,,,,,217,16,2.213001,1.211055,2025-10-28,進行中
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,216,10,2.73224,1.293286,2026-01-15,2026-01-26
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,1074,83,4.07262,1.243441,2026-01-15,2026-01-26
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,356,23,3.221289,1.0625,2026-01-15,2026-01-26
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,268,5,1.497006,1.128378,2026-01-15,2026-01-26
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,1344,85,4.550321,1.130751,2026-01-15,2026-01-26
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,374,9,3.020134,1.064286,2026-01-19,2026-01-30
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,170,3,2.777778,1.16129,2026-01-19,2026-01-30
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,273,6,1.088929,1.078278,2026-01-19,2026-01-30
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,320,12,2.580645,1.091549,2026-01-19,2026-01-30
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,91,2,2.816901,1.092308,2026-01-19,2026-01-30
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,300,25,3.980892,1.139746,2026-01-19,2026-01-30
2025-10-28,2026-05-29,1222_千坪綠覆(影片)V2,,,,,,166,4,1.724138,1.06422,2026-01-19,2026-01-30
2025-10-28,2026-05-29,1028_EP03(影片)V2,,,,,,168,1,0.671141,1.128788,2026-01-19,2026-01-30
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,301,10,2.053388,1.07033,2026-01-19,2026-01-30
