    頻率 |    CPL |   潛客 | 素材名稱 | 期間
  2.00 |    124 |   41 | 0410_訂簽68萬 | 2026-04-09~2026-06-15
  1.97 |    106 |   37 | 0410_訂簽68萬 | 2026-04-09~2026-06-20
  1.85 |    150 |   13 | 0424_南興角地V2 | 2026-04-24~2026-05-14
  1.81 |    285 |    5 | 0424_南興角地V1 | 2026-04-22~2026-06-15
  1.76 |    274 |    9 | 0424_南興角地V2 | 2026-07-01~進行中
  1.75 |    268 |   10 | 0424_南興角地V2 | 2026-06-24~進行中
  1.74 |    610 |    1 | 0410_訂簽68萬 | 2026-05-20~進行中
  1.70 |    304 |    8 | 0424_南興角地V2 | 2026-07-01~進行中
  1.60 |    210 |    8 | 0508_黑馬B版 | 2026-06-12~進行中
  1.59 |    256 |   10 | 0424_南興角地V2 | 2026-05-28~進行中
  1.57 |    691 |    1 | 0518_好市多森活圈 | 2026-05-23~進行中
  1.51 |    200 |    9 | 0424_南興角地V2 | 2026-07-03~進行中
  1.50 |    324 |    7 | 0508_黑馬B版 | 2026-05-26~進行中
  1.48 |    549 |    1 | 0515_AI影片V3 | 2026-04-09~2026-06-20
  1.48 |    352 |    3 | 0522_北屯表參道B版 | 2026-06-01~進行中
  1.46 |    298 |    6 | 0424_南興角地V2 | 2026-05-27~進行中
  1.46 |    306 |    5 | 0508_黑馬B版 | 2026-06-24~進行中
  1.43 |    527 |    1 | 0602_無痛換(影片) | 2026-05-26~進行中
  1.42 |    359 |    3 | 0410_訂簽68萬 | 2026-06-24~進行中
  1.40 |    460 |    3 | 0424_南興角地V2 | 2026-04-09~2026-06-20
  1.39 |    386 |    2 | 0515_AI影片V2 | 2026-04-09~2026-06-20
  1.36 |    193 |   15 | 0410_訂簽68萬 | 2026-04-22~2026-06-15
  1.36 |    274 |    6 | 0508_黑馬B版 | 2026-05-26~進行中
  1.35 |    489 |    1 | 0522_北屯表參道B版 | 2026-05-28~進行中
  1.35 |    436 |    1 | 0410_訂簽68萬 | 2026-05-08~2026-05-18
  1.34 |    276 |    2 | 0424_南興角地V2 | 2026-04-29~2026-05-10
  1.33 |    908 |    1 | 0522_北屯表參道B版 | 2026-05-20~進行中
  1.32 |    592 |    1 | 0512_雙捷運 | 2026-05-13~2026-05-24
  1.31 |    220 |    2 | 0410_訂簽68萬 | 2026-06-12~進行中
  1.31 |    622 |    1 | 0512_雙捷運 | 2026-05-13~2026-05-24
  1.31 |    352 |    2 | 0508_黑馬B版 | 2026-06-04~進行中
