=== 副粉專 素材彙總（按總潛客數排序）===
0410_訂簽68萬 | 出現45次 | 花費=33080 | 潛客=127 | CPL=260 | CR=1.68% | 點擊=7559
0424_南興角地V2 | 出現43次 | 花費=32276 | 潛客=92 | CPL=351 | CR=1.75% | 點擊=5250
0508_黑馬B版 | 出現42次 | 花費=24769 | 潛客=54 | CPL=459 | CR=1.67% | 點擊=3241
0522_北屯表參道B版 | 出現20次 | 花費=7916 | 潛客=11 | CPL=720 | CR=1.70% | 點擊=648
0410_訂簽68萬new | 出現8次 | 花費=3212 | 潛客=5 | CPL=642 | CR=1.42% | 點擊=352
0424_南興角地V1 | 出現2次 | 花費=1653 | 潛客=5 | CPL=331 | CR=1.20% | 點擊=418
0507_黑馬A版 | 出現12次 | 花費=2412 | 潛客=4 | CPL=603 | CR=0.96% | 點擊=418
0512_雙捷運 | 出現12次 | 花費=3388 | 潛客=3 | CPL=1129 | CR=0.86% | 點擊=349
0515_AI影片V2 | 出現11次 | 花費=2555 | 潛客=3 | CPL=852 | CR=1.42% | 點擊=212
0507_黑馬B版 | 出現3次 | 花費=1261 | 潛客=3 | CPL=420 | CR=2.04% | 點擊=147
0430_南興訂簽68萬 | 出現14次 | 花費=1173 | 潛客=2 | CPL=586 | CR=1.23% | 點擊=163
0515_AI影片V3 | 出現1次 | 花費=549 | 潛客=1 | CPL=549 | CR=2.70% | 點擊=37
0518_好市多森活圈 | 出現6次 | 花費=1898 | 潛客=1 | CPL=1898 | CR=0.86% | 點擊=116
0602_無痛換(影片) | 出現3次 | 花費=731 | 潛客=1 | CPL=731 | CR=1.59% | 點擊=63
0522_北屯表參道A版 | 出現6次 | 花費=1872 | 潛客=0 | CPL=- | CR=- | 點擊=109
20260707_先享受 | 出現2次 | 花費=49 | 潛客=0 | CPL=- | CR=- | 點擊=3
20260612_雙面煦光 | 出現5次 | 花費=384 | 潛客=0 | CPL=- | CR=- | 點擊=42

=== 主粉專 素材彙總（按總潛客數排序）===
0325_百萬精裝修(單圖) | 出現31次 | 花費=24027 | 潛客=24 | CPL=1001 | CR=2.64% | 點擊=909
0422_層峰席位 | 出現5次 | 花費=4923 | 潛客=4 | CPL=1231 | CR=2.09% | 點擊=191
0312_從容入主(單圖) | 出現3次 | 花費=715 | 潛客=2 | CPL=358 | CR=2.94% | 點擊=68
0508_雙捷共構(影片) | 出現3次 | 花費=3028 | 潛客=1 | CPL=3028 | CR=0.33% | 點擊=307
0325_百萬精裝修(影片) | 出現19次 | 花費=2774 | 潛客=0 | CPL=- | CR=- | 點擊=124
0312_從容入主(影片) | 出現3次 | 花費=404 | 潛客=0 | CPL=- | CR=- | 點擊=45
20260608_雙捷地標 | 出現2次 | 花費=445 | 潛客=0 | CPL=- | CR=- | 點擊=23
