0410_訂簽68萬 | spend=5080 leads=41.0 cpl=124 ctr=5.472023 clicks=1685.0 freq=2.000715 start=2026-04-09 end=2026-06-15
0410_訂簽68萬 | spend=3929 leads=37.0 cpl=106 ctr=5.935139 clicks=1508.0 freq=1.965955 start=2026-04-09 end=2026-06-20
0410_訂簽68萬 | spend=2902 leads=15.0 cpl=193 ctr=4.983138 clicks=857.0 freq=1.36373 start=2026-04-22 end=2026-06-15
0424_南興角地V2 | spend=1956 leads=13.0 cpl=150 ctr=3.372486 clicks=379.0 freq=1.84623 start=2026-04-24 end=2026-05-14
0424_南興角地V2 | spend=2555 leads=10.0 cpl=256 ctr=3.302134 clicks=441.0 freq=1.590449 start=2026-05-28 end=進行中
0424_南興角地V2 | spend=2685 leads=10.0 cpl=268 ctr=3.333333 clicks=581.0 freq=1.746493 start=2026-06-24 end=進行中
0424_南興角地V2 | spend=2470 leads=9.0 cpl=274 ctr=3.058008 clicks=388.0 freq=1.760511 start=2026-07-01 end=進行中
0424_南興角地V2 | spend=1796 leads=9.0 cpl=200 ctr=2.709765 clicks=280.0 freq=1.506049 start=2026-07-03 end=進行中
0508_黑馬B版 | spend=1678 leads=8.0 cpl=210 ctr=2.469446 clicks=295.0 freq=1.602629 start=2026-06-12 end=進行中
0424_南興角地V2 | spend=2435 leads=8.0 cpl=304 ctr=3.588735 clicks=511.0 freq=1.696735 start=2026-07-01 end=進行中
0508_黑馬B版 | spend=2268 leads=7.0 cpl=324 ctr=2.102564 clicks=287.0 freq=1.50347 start=2026-05-26 end=進行中
0508_黑馬B版 | spend=1642 leads=6.0 cpl=274 ctr=2.0346 clicks=167.0 freq=1.357367 start=2026-05-26 end=進行中
0424_南興角地V2 | spend=1791 leads=6.0 cpl=298 ctr=2.261003 clicks=206.0 freq=1.46432 start=2026-05-27 end=進行中
0424_南興角地V2 | spend=1449 leads=5.0 cpl=290 ctr=2.752067 clicks=223.0 freq=1.302105 start=2026-05-07 end=2026-05-17
0424_南興角地V1 | spend=1426 leads=5.0 cpl=285 ctr=4.220225 clicks=371.0 freq=1.81183 start=2026-04-22 end=2026-06-15
0508_黑馬B版 | spend=2017 leads=5.0 cpl=403 ctr=2.338388 clicks=293.0 freq=1.248008 start=2026-05-25 end=進行中
0508_黑馬B版 | spend=1969 leads=5.0 cpl=394 ctr=2.237283 clicks=274.0 freq=1.289973 start=2026-05-20 end=進行中
0508_黑馬B版 | spend=1531 leads=5.0 cpl=306 ctr=2.503113 clicks=201.0 freq=1.459735 start=2026-06-24 end=進行中
0410_訂簽68萬 | spend=1422 leads=5.0 cpl=284 ctr=3.450685 clicks=247.0 freq=1.245303 start=2026-05-27 end=進行中
0410_訂簽68萬 | spend=1330 leads=4.0 cpl=332 ctr=4.022091 clicks=335.0 freq=1.21609 start=2026-05-01 end=2026-05-10
0424_南興角地V2 | spend=1571 leads=4.0 cpl=393 ctr=2.799914 clicks=260.0 freq=1.276251 start=2026-05-19 end=進行中
0424_南興角地V2 | spend=1381 leads=3.0 cpl=460 ctr=2.136522 clicks=159.0 freq=1.398084 start=2026-04-09 end=2026-06-20
0410_訂簽68萬 | spend=1275 leads=3.0 cpl=425 ctr=4.011113 clicks=231.0 freq=1.144021 start=2026-04-24 end=2026-05-14
0522_北屯表參道B版 | spend=1055 leads=3.0 cpl=352 ctr=2.210975 clicks=83.0 freq=1.479117 start=2026-06-01 end=進行中
0522_北屯表參道B版 | spend=1240 leads=3.0 cpl=413 ctr=2.098395 clicks=119.0 freq=1.291211 start=2026-05-22 end=進行中
0410_訂簽68萬 | spend=1077 leads=3.0 cpl=359 ctr=3.403075 clicks=135.0 freq=1.41628 start=2026-06-24 end=進行中
0508_黑馬B版 | spend=735 leads=3.0 cpl=245 ctr=2.92584 clicks=101.0 freq=1.283271 start=2026-06-12 end=進行中
0410_訂簽68萬 | spend=2007 leads=3.0 cpl=669 ctr=3.881701 clicks=315.0 freq=1.213004 start=2026-05-25 end=進行中
0507_黑馬B版 | spend=1141 leads=3.0 cpl=380 ctr=2.584846 clicks=131.0 freq=1.304505 start=2026-05-05 end=2026-05-15
0424_南興角地V2 | spend=342 leads=2.0 cpl=171 ctr=3.005008 clicks=54.0 freq=1.08449 start=2026-04-09 end=2026-06-15
0515_AI影片V2 | spend=773 leads=2.0 cpl=386 ctr=1.845018 clicks=50.0 freq=1.387609 start=2026-04-09 end=2026-06-20
