2026-04-09 ~ 2026-06-20 | 潛客=37.0 CPL=106 頻率=1.965955
2026-04-09 ~ 2026-06-15 | 潛客=41.0 CPL=124 頻率=2.000715
2026-04-22 ~ 2026-04-30 | 潛客=1.0 CPL=691 頻率=1.181848
2026-04-22 ~ 2026-06-15 | 潛客=15.0 CPL=193 頻率=1.36373
2026-04-24 ~ 2026-05-14 | 潛客=3.0 CPL=425 頻率=1.144021
2026-04-29 ~ 2026-05-10 | 潛客=2.0 CPL=346 頻率=1.123377
2026-05-01 ~ 2026-05-10 | 潛客=2.0 CPL=544 頻率=1.145553
2026-05-01 ~ 2026-05-10 | 潛客=4.0 CPL=332 頻率=1.21609
2026-05-04 ~ 進行中 | 潛客=1.0 CPL=269 頻率=1.082845
2026-05-05 ~ 進行中 | 潛客=1.0 CPL=910 頻率=1.114366
2026-05-05 ~ 2026-05-15 | 潛客=2.0 CPL=249 頻率=1.124452
2026-05-05 ~ 2026-05-15 | 潛客=1.0 CPL=341 頻率=1.082489
2026-05-08 ~ 2026-05-18 | 潛客=1.0 CPL=436 頻率=1.351408
2026-05-19 ~ 進行中 | 潛客=1.0 CPL=596 頻率=1.115174
2026-05-20 ~ 進行中 | 潛客=1.0 CPL=610 頻率=1.737368
2026-05-25 ~ 進行中 | 潛客=3.0 CPL=669 頻率=1.213004
2026-05-27 ~ 進行中 | 潛客=5.0 CPL=284 頻率=1.245303
2026-05-29 ~ 進行中 | 潛客=1.0 CPL=771 頻率=1.098939
2026-06-12 ~ 進行中 | 潛客=2.0 CPL=220 頻率=1.310606
2026-06-24 ~ 進行中 | 潛客=3.0 CPL=359 頻率=1.41628
