搜尋關鍵字報表
2026年7月1日 - 2026年8月5日
關鍵字狀態,關鍵字,比對類型,廣告活動,廣告群組,狀態,狀態原因,最終到達網址,曝光,互動,互動率,貨幣代碼,平均費用,費用,點擊,轉換率,轉換,平均單次點擊出價,單次轉換費用
已啟用,"""北屯預售屋""",詞組比對,關鍵字,其他字,不符合資格,廣告活動已暫停; 廣告群組已暫停,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北區新建案""",詞組比對,關鍵字,其他字,不符合資格,廣告活動已暫停; 廣告群組已暫停,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北區預售屋""",詞組比對,關鍵字,其他字,不符合資格,廣告活動已暫停; 廣告群組已暫停,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""台中買房""",詞組比對,關鍵字,其他字,不符合資格,廣告活動已暫停; 廣告群組已暫停,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯新建案""",詞組比對,關鍵字,其他字,不符合資格,廣告活動已暫停; 廣告群組已暫停,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[讀樂樂],完全比對,關鍵字,產品字,不符合資格,廣告活動已暫停,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[富宇 讀樂樂],完全比對,關鍵字,產品字,不符合資格,廣告活動已暫停,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[知山田],完全比對,202307 家鼎知山田 GKW【1112暫停】,品牌字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[家鼎知山田],完全比對,202307 家鼎知山田 GKW【1112暫停】,品牌字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[家鼎建設],完全比對,202307 家鼎知山田 GKW【1112暫停】,品牌字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""豐原 新建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[單元12 別墅],完全比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""豐原 電梯別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""潭子 591""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""南興公園 別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""太平 透天""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[單元十二 透天],完全比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[單元十二 別墅],完全比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 極少顯示; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯電梯別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯 591""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""潭子 建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""14 期 新建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""14 期 預售屋""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""14 期 電梯別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯 新建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""14 期 透天""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[12單元 別墅],完全比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯 透天 別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""潭子 透天""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""單元12 透天""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[12單元 透天],完全比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""潭子 別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""太平別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""潭 子 透 天 別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""潭子 電梯別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""單元12 新建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""十期 新建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯 機捷 建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""豐原 透天""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯 透天 新建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""機捷 新建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""潭子 新建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""南興公園 透天""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""潭子 預售屋""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""太平 透天 別墅""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯透天""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""南興公園 新建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 極少顯示,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯 機捷特區 建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯 好市多 預售屋""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯 好市多 建案""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,"""北屯 機捷 預售屋""",詞組比對,202307 家鼎知山田 GKW【1112暫停】,區域字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[永隆陞景上居],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[心悅水景],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
已啟用,[蓉稼醇和],完全比對,202307 家鼎知山田 GKW【1112暫停】,競案字,不符合資格,廣告活動已暫停; 廣告活動已結束; 品質偏低,,0,0, --,TWD,0,0.00,0,0.00%,0.00,0,0.00
