分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2023-06-30,2026-07-30,30-55/南屯西南區/置產興趣(1021調)-1510,inactive,2273,1394,1,1,3,213,actions:leadgen.other,639,1000,總經費,112,4.927409,1.63056,2024-10-18,2024-11-04
2023-06-30,2026-07-30,30-55/南屯西南區/高收入頂客族/精品/珠寶(0107三調),inactive,1562,1254,,,2,333.5,actions:leadgen.other,667,5500,總經費,51,3.265045,1.245614,2025-01-05,2025-02-04
2023-06-30,2026-07-30,"35-65/大里霧峰南區烏日/傳產老闆/自營商/工程師/醫護 (參考澔宇里禾受眾)",not_delivering,1878,1079,,,,,,599,600,總經費,89,4.739084,1.7405,2025-02-03,2025-02-06
2023-06-30,2026-07-30,"33-65/太平 旱溪 南區/私人企業 經銷 物流 重教育&機能",inactive,2825,1526,1,,,,,943,2800,總經費,69,2.442478,1.851245,2025-02-07,2025-02-16
2023-06-30,2026-07-30,"30-65/嶺東 烏日/創業者 加盟連鎖店(0402+南區",inactive,12292,5348,,5,,462.8,actions:onsite_conversion.messaging_conversation_started_7d,2314,3500,總經費,283,2.30231,2.298429,2025-03-24,2025-04-14
2023-06-30,2026-07-30,"嶺東 烏日 南區/餐飲加盟 104 1111",inactive,2339,1679,,,,,,798,250,每日,38,1.624626,1.393091,2025-05-24,進行中
2023-06-30,2026-07-30,40-65/大里南區/廚師興趣/餐廳業者,inactive,973,635,,,,,,170,3600,總經費,40,4.110997,1.532283,2025-06-13,2025-07-07
2023-06-30,2026-07-30,"30-50 / 嶺東 烏日 南區/ 美容美體芳療",inactive,857,650,,,,,,265,150,每日,15,1.750292,1.318462,2025-06-17,進行中
2023-06-30,2026-07-30,"30-65 / 嶺東烏日南區 / 追星興趣",inactive,7300,2772,,,,,,1945,240,每日,160,2.191781,2.633478,2025-07-26,進行中
2023-06-30,2026-07-30,"30-65/嶺東 烏日 南區/創業者 加盟連鎖店(多廣輪播)",inactive,1831,1328,,,,,,595,200,每日,36,1.966139,1.378765,2025-08-08,進行中
2023-06-30,2026-07-30,"30-65/嶺東 烏日 南區/律師會計事務所(0815調",inactive,4763,2563,,,,,,1673,200,每日,98,2.057527,1.858369,2025-08-08,進行中
2023-06-30,2026-07-30,"30-60 / 南區南屯西區 / 金融房產興趣",inactive,1100,864,,,,3.60377358,actions:post_engagement,191,70,每日,79,7.181818,1.273148,2025-08-18,進行中
2023-06-30,2026-07-30,"30-60 / 南區南屯烏日 / 醫療房產興趣",inactive,1330,887,,,,,,793,250,每日,25,1.879699,1.499436,2025-08-18,進行中
2023-06-30,2026-07-30,"30-60 / 中科南屯南區 / 年輕人興趣",not_delivering,15117,7525,1,2,16,429.9375,actions:leadgen.other,6879,200,每日,357,2.36158,2.008904,2025-08-19,進行中
2023-06-30,2026-07-30,"28-60 / 中科南區西屯 / 旅遊+房產興趣",inactive,2278,1872,,1,1,1016,actions:leadgen.other,1016,250,每日,41,1.799824,1.21688,2025-08-29,進行中
2023-06-30,2026-07-30,"30-60 / 南區水湳中科 / 科技生活品味",inactive,1231,910,1,1,1,729,actions:leadgen.other,729,200,每日,25,2.030869,1.352747,2025-09-02,進行中
2023-06-30,2026-07-30,28-60/西屯北屯南區/工作室,inactive,6291,3065,,2,3,884.66666667,actions:leadgen.other,2654,250,每日,185,2.940709,2.052529,2025-09-08,進行中
2023-06-30,2026-07-30,"30-60 / 台中像素再行銷+南區粉專再行銷",not_delivering,2178,1209,,,3,355.33333333,actions:leadgen.other,1066,2000,總經費,50,2.295684,1.801489,2025-09-10,2025-09-22
