分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-03-02,2026-09-10,"28-50 / 后里中科 / 科技業家庭(0312+興趣)",inactive,18880,5078,6,21,2,180.42857143,actions:onsite_conversion.messaging_conversation_started_7d,3789,150,每日,1024,5.423729,3.717999,2026-03-02,進行中
2026-03-02,2026-09-10,"30-55 / 后里豐原 /  零售批發自營",inactive,9195,3677,3,9,,187.44444444,actions:onsite_conversion.messaging_conversation_started_7d,1687,200,每日,679,7.384448,2.50068,2026-03-02,進行中
2026-03-02,2026-09-10,"30-55 / 后里豐原 /  建築生活品質",inactive,4655,2356,1,5,1,255.8,actions:onsite_conversion.messaging_conversation_started_7d,1279,200,每日,344,7.389903,1.975806,2026-03-12,進行中
2026-03-02,2026-09-10,"30-55 / 大甲外埔 / 觀光農企家庭",inactive,35694,10173,,25,1,190.48,actions:onsite_conversion.messaging_conversation_started_7d,4762,200,每日,1339,3.751331,3.5087,2026-03-18,進行中
2026-03-02,2026-09-10,"30-55 / 后里豐原 / 投資理財",inactive,32828,8195,,27,1,175.7037037,actions:onsite_conversion.messaging_conversation_started_7d,4744,200,每日,1215,3.701109,4.005857,2026-03-18,進行中
2026-03-02,2026-09-10,30-55/后里外埔/主管/成家/休旅車(0721+豐原),active,80164,20390,47,130,2,135.26153846,actions:onsite_conversion.messaging_conversation_started_7d,17584,150,每日,5416,6.75615,3.931535,2026-04-16,進行中
2026-03-02,2026-09-10,30-60/后里豐原/傳產/自營/工程師/軍警(0710改后里+8),inactive,69296,13519,1,48,1,238.54166667,actions:onsite_conversion.messaging_conversation_started_7d,11450,200,每日,2174,3.137266,5.125823,2026-04-16,進行中
2026-03-02,2026-09-10,30-60/后里+8/傳產二代/農產貿易,inactive,40569,9544,1,35,,208.31428571,actions:onsite_conversion.messaging_conversation_started_7d,7291,200,每日,1373,3.384358,4.250733,2026-06-04,進行中
2026-03-02,2026-09-10,30-60/后里+8/重機/越野戶外,inactive,21552,4648,,14,,334.71428571,actions:onsite_conversion.messaging_conversation_started_7d,4686,200,每日,790,3.665553,4.636833,2026-06-15,進行中
2026-03-02,2026-09-10,30-60/后里+8/投資興趣,inactive,10221,3585,1,6,,324.16666667,actions:onsite_conversion.messaging_conversation_started_7d,1945,150,每日,315,3.08189,2.851046,2026-07-09,進行中
2026-03-02,2026-09-10,30-60/后里豐原/電動車/汽車/科技業,inactive,1431,840,1,,,,,399,200,每日,40,2.795248,1.703571,2026-07-13,進行中
2026-03-02,2026-09-10,30-60/后里+8/電動車/自行車/運動旅遊,inactive,29698,10427,17,49,1,122.7755102,actions:onsite_conversion.messaging_conversation_started_7d,6016,150,每日,2732,9.199273,2.848183,2026-07-21,進行中
2026-03-02,2026-09-10,30-60/后里+8/自營商/大家庭,inactive,3505,2513,2,1,,764,actions:onsite_conversion.messaging_conversation_started_7d,764,150,每日,239,6.81883,1.394747,2026-08-19,進行中
2026-03-02,2026-09-10,30-60/后里外埔/運動旅遊/科技,active,8078,4186,3,6,,311.5,actions:onsite_conversion.messaging_conversation_started_7d,1869,150,每日,668,8.269374,1.929766,2026-08-28,進行中
