分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-11-24,2026-07-29,"28-55 / 豐原車站+5K / 房地產(1202調)",inactive,10238,4236,7,6,3,575.66666667,actions:leadgen.other,1727,150,每日,466,4.55167,2.416903,2025-11-24,進行中
2025-11-24,2026-07-29,"30-60 / 豐原車站+3K / 新婚成家",inactive,2972,1655,2,1,,,,452,150,每日,156,5.248991,1.79577,2025-11-24,進行中
2025-11-24,2026-07-29,"30-60 / 豐原后里 / 投資興趣(1128擴大微調)",inactive,5847,2673,2,,1,1004,actions:leadgen.other,1004,200,每日,154,2.633829,2.18743,2025-11-27,進行中
2025-11-24,2026-07-29,"28-55 / 豐原車站+5K / 出國登山文化",inactive,4860,2379,3,,1,840,actions:leadgen.other,840,200,每日,141,2.901235,2.042875,2025-12-02,進行中
2025-11-24,2026-07-29,"28-60 / 豐原后里 / 傳產科技新貴(男)",inactive,2609,1119,,,,,,505,150,每日,71,2.721349,2.331546,2025-12-03,進行中
2025-11-24,2026-07-29,"35-65+/ 豐原潭子 / 傳產公教人員",inactive,1885,1090,1,,,,,377,1500,總經費,71,3.766578,1.729358,2025-12-06,2025-12-17
2025-11-24,2026-07-29,"30-60 / 純豐原 / 投資收租興趣",inactive,2701,1637,,,,,,508,2000,總經費,85,3.146983,1.649969,2025-12-06,2025-12-17
2025-11-24,2026-07-29,"25-55 / 豐原潭子 / 年輕興趣",inactive,7684,3605,,,3,482.66666667,actions:leadgen.other,1448,100,每日,233,3.032275,2.131484,2025-12-09,進行中
2025-11-24,2026-07-29,"30-65 / 豐原后里清水 / 親子交通工業(1217+興趣)",inactive,12158,4845,2,1,5,431,actions:leadgen.other,2155,150,每日,446,3.668367,2.509391,2025-12-09,進行中
2025-11-24,2026-07-29,"30-65 / 豐原后里清水 / 傳產休旅車",inactive,2814,1400,,,,,,624,100,每日,72,2.558635,2.01,2025-12-17,進行中
2025-11-24,2026-07-29,"30-65 / 豐原潭子北屯 / 時事財經",inactive,1839,1026,1,,,,,432,150,每日,64,3.480152,1.792398,2025-12-23,進行中
2025-11-24,2026-07-29,"30-65 / 豐原潭子北屯 / 房產投資",inactive,2502,1386,,,,,,423,150,每日,85,3.397282,1.805195,2025-12-23,進行中
2025-11-24,2026-07-29,"30-65 / 豐原+8K / 工業教育",not_delivering,3994,1987,,2,2,411,actions:leadgen.other,822,150,每日,103,2.578868,2.010065,2025-12-26,進行中
2025-11-24,2026-07-29,"30-65 / 豐原潭子 / 換屋戶外退休",inactive,3361,1909,1,,,,,621,150,每日,103,3.064564,1.760608,2025-12-26,進行中
2025-11-24,2026-07-29,"30-65 / 豐原潭子后里 / 機械產業+製造業",not_delivering,812,667,,,,,,189,150,每日,25,3.078818,1.217391,2025-12-30,進行中
2025-11-24,2026-07-29,30-60/豐原+5/房地產興趣,inactive,3311,1595,,,2,787.5,actions:leadgen.other,1575,250,每日,96,2.899426,2.075862,2026-07-02,進行中
2025-11-24,2026-07-29,30-60/豐原潭子/投資興趣,active,4944,1872,2,,7,332,actions:leadgen.other,2324,250,每日,233,4.712783,2.641026,2026-07-02,進行中
2025-11-24,2026-07-29,30-60/豐原潭子后里/科技工業,inactive,865,643,,,,,,459,250,每日,27,3.121387,1.345257,2026-07-02,進行中
