分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2026-05-04,2026-06-01,30-64/東區太平太原/在地上班族(1510),inactive,2407,1558,,,,,,601,2500,總經費,82,3.40673,1.544929,19,2026-05-04,2026-05-14
2026-05-04,2026-06-01,30-64/東區太平太原/金融保險+精品興趣(1510),inactive,5126,3187,,,2,570,actions:leadgen.other,1140,2000,總經費,150,2.926258,1.608409,47,2026-05-04,2026-05-24
2026-05-04,2026-06-01,35-64/東區太平/公務員/教師/傳產(1510)(0508調年紀,inactive,5191,3052,,,,,,1344,5000,總經費,166,3.197842,1.700852,52,2026-05-06,2026-05-24
2026-05-04,2026-06-01,33-64/東區太平/醫生興趣(1510)(0508調年紀,inactive,5321,3029,,,,,,1423,5000,總經費,178,3.345236,1.756685,69,2026-05-06,2026-05-24
2026-05-04,2026-06-01,30-55/東區太平/年輕人興趣(1510)(0519+74沿線,inactive,16324,7196,,1,5,771.6,actions:leadgen.other,3858,5000,總經費,475,2.909826,2.268482,166,2026-05-07,2026-05-24
2026-05-04,2026-06-01,35-60/東區太平/重視教育/保健/精品(0513調區域(1510)排除ig,inactive,5375,3145,,,1,1251,actions:leadgen.other,1251,4000,總經費,180,3.348837,1.709062,94,2026-05-11,2026-05-24
2026-05-04,2026-06-01,35-60/東區太平/五金傳產/親子教育/室內設計(1510)排除ig,inactive,1500,1078,,,,,,549,1200,總經費,38,2.533333,1.391466,10,2026-05-15,2026-05-24
2026-05-04,2026-06-01,35-60/洲際中清路/傳產家具商/親子教育/室內設計(1510)排除ig,inactive,604,494,,,,,,155,650,總經費,20,3.311258,1.222672,5,2026-05-18,2026-05-24
2026-05-04,2026-06-01,35-50/74沿線/科技主管/換屋/名錶收藏(1510)排除ig,inactive,699,572,,,,,,137,650,總經費,19,2.718169,1.222028,10,2026-05-20,2026-05-24
2026-05-04,2026-06-01,"30-60 / 東區太原 /老闆/餐廳/串流媒體",inactive,444,373,,,,,,106,150,每日,7,1.576577,1.190349,4,2026-05-21,進行中
2026-05-04,2026-06-01,"30-60 / 太平太原 / 理財/政治/置產",inactive,728,577,1,,,,,199,200,每日,23,3.159341,1.261698,7,2026-05-21,進行中
2026-05-04,2026-06-01,"35-55 / 北區南區 / 財稅顧問菁英",active,3369,1871,,,1,1118,actions:leadgen.other,1118,250,每日,140,4.155536,1.800641,33,2026-05-28,進行中
