分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-05-04,2026-06-10,30-64/東區太平太原/在地上班族(1510),inactive,2407,1558,,,,,,601,2500,總經費,82,3.40673,1.544929,2026-05-04,2026-05-14
2026-05-04,2026-06-10,30-64/東區太平太原/金融保險+精品興趣(1510),inactive,5126,3187,,,2,570,actions:leadgen.other,1140,2000,總經費,150,2.926258,1.608409,2026-05-04,2026-05-24
2026-05-04,2026-06-10,35-64/東區太平/公務員/教師/傳產(1510)(0508調年紀,inactive,5191,3052,,,,,,1344,5000,總經費,166,3.197842,1.700852,2026-05-06,2026-05-24
2026-05-04,2026-06-10,33-64/東區太平/醫生興趣(1510)(0508調年紀,inactive,5321,3029,,,,,,1423,5000,總經費,178,3.345236,1.756685,2026-05-06,2026-05-24
2026-05-04,2026-06-10,30-55/東區太平/年輕人興趣(1510)(0519+74沿線,inactive,16324,7196,,1,5,771.6,actions:leadgen.other,3858,5000,總經費,475,2.909826,2.268482,2026-05-07,2026-05-24
2026-05-04,2026-06-10,35-60/東區太平/重視教育/保健/精品(0513調區域(1510)排除ig,inactive,5375,3145,,,1,1251,actions:leadgen.other,1251,4000,總經費,180,3.348837,1.709062,2026-05-11,2026-05-24
2026-05-04,2026-06-10,35-60/東區太平/五金傳產/親子教育/室內設計(1510)排除ig,inactive,1500,1078,,,,,,549,1200,總經費,38,2.533333,1.391466,2026-05-15,2026-05-24
2026-05-04,2026-06-10,35-60/洲際中清路/傳產家具商/親子教育/室內設計(1510)排除ig,inactive,604,494,,,,,,155,650,總經費,20,3.311258,1.222672,2026-05-18,2026-05-24
2026-05-04,2026-06-10,35-50/74沿線/科技主管/換屋/名錶收藏(1510)排除ig,inactive,699,572,,,,,,137,650,總經費,19,2.718169,1.222028,2026-05-20,2026-05-24
2026-05-04,2026-06-10,"30-60 / 東區太原 /老闆/餐廳/串流媒體",inactive,444,373,,,,,,106,150,每日,7,1.576577,1.190349,2026-05-21,進行中
2026-05-04,2026-06-10,"30-60 / 太平太原 / 理財/政治/置產",inactive,728,577,1,,,,,199,200,每日,23,3.159341,1.261698,2026-05-21,進行中
2026-05-04,2026-06-10,"35-55 / 北區南區 / 財稅顧問菁英(0605+太平)",inactive,12365,5241,,,3,1078,actions:leadgen.other,3234,250,每日,442,3.574606,2.359283,2026-05-28,進行中
2026-05-04,2026-06-10,台中市再行銷/坤悅涵仰(0605+粉專),inactive,3919,2307,1,,,,,1653,250,每日,98,2.500638,1.698743,2026-05-28,進行中
2026-05-04,2026-06-10,"35-55 / 北區南區太平 /半退休/古董文化興趣",inactive,2164,1526,,,,,,870,250,每日,57,2.634011,1.418087,2026-06-05,進行中
2026-05-04,2026-06-10,35-55/太平北屯74/在地自營商/高消費,active,955,733,,,,,,291,300,每日,28,2.931937,1.302865,2026-06-08,進行中
