分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-05-22,2026-07-27,"30-60 / 東區太原 /老闆/餐廳/串流媒體",inactive,2723,1478,,,1,1437,actions:leadgen.other,1437,250,每日,47,1.726037,1.842355,2026-05-22,進行中
2026-05-22,2026-07-27,"30-60 / 太平太原 / 理財/政治/置產",inactive,1405,866,,,,,,657,200,每日,26,1.850534,1.622402,2026-05-22,進行中
2026-05-22,2026-07-27,"30-60 / 東區太平 /公務員/自營商/二代換屋(0526調區域",inactive,1747,1093,,,,,,803,250,每日,28,1.602748,1.598353,2026-05-25,進行中
2026-05-22,2026-07-27,"35-55 / 太平大里 /家庭換屋/理財置產",inactive,4863,2024,,,2,1123,actions:leadgen.other,2246,250,每日,90,1.850709,2.402668,2026-05-26,進行中
2026-05-22,2026-07-27,"30-60 / 太平大里 /換屋/醫護公務員",inactive,1915,1121,,,,,,608,250,每日,39,2.036554,1.708296,2026-05-28,進行中
2026-05-22,2026-07-27,"30-60 / 東區太平大里 /投資/半退休/休閒",inactive,1516,858,,,,,,612,250,每日,15,0.989446,1.7669,2026-05-28,進行中
2026-05-22,2026-07-27,"30-60 / 東區太平大里 /建築/生活品質/自營商",inactive,1133,697,,,,,,659,250,每日,36,3.177405,1.625538,2026-06-01,進行中
2026-05-22,2026-07-27,30-60/太平大里/家長/科技業/主管,inactive,3480,1744,,,1,1650,actions:leadgen.other,1650,300,每日,71,2.04023,1.995413,2026-06-04,進行中
2026-05-22,2026-07-27,30-60/太平+6/中學家長/投資/高管,inactive,2055,1328,,1,1,1011,actions:leadgen.other,1011,300,每日,38,1.849148,1.54744,2026-06-10,進行中
2026-05-22,2026-07-27,35-55/太平東區/財稅顧問菁英,inactive,2918,1569,,,1,1315,actions:leadgen.other,1315,300,每日,26,0.891021,1.859783,2026-06-11,進行中
2026-05-22,2026-07-27,35-65/勤益中國醫/知識消費/教育業,inactive,2424,1569,,,,,,1371,300,每日,30,1.237624,1.544933,2026-06-11,進行中
2026-05-22,2026-07-27,30-60/東區太原/品牌/二代/建築,inactive,2430,2120,,,,,,806,300,每日,18,0.740741,1.146226,2026-06-11,進行中
2026-05-22,2026-07-27,35-65/太平北屯東區/公務員/政府單位,inactive,2744,1552,,,2,1234.5,actions:leadgen.other,2469,200,每日,67,2.441691,1.768041,2026-06-15,進行中
2026-05-22,2026-07-27,35-65/太平大里/資訊科技/金融業,inactive,1967,1262,,,,,,1850,300,每日,36,1.830198,1.558637,2026-06-16,進行中
2026-05-22,2026-07-27,35-65/太平北屯東區/保險業務/財務規劃,inactive,867,565,,,,,,744,200,每日,27,3.114187,1.534513,2026-06-22,進行中
2026-05-22,2026-07-27,35-65/太平北屯東區/會計/法律/教育,inactive,538,397,,,,,,310,300,每日,12,2.230483,1.355164,2026-06-24,進行中
2026-05-22,2026-07-27,30-60/大里東區/AI數位科技/創新,inactive,2787,1619,,,1,1403,actions:leadgen.other,1403,250,每日,56,2.009329,1.721433,2026-06-30,進行中
2026-05-22,2026-07-27,35-65/太平太原/中年男興趣,inactive,1675,1034,,,,,,1139,250,每日,30,1.791045,1.619923,2026-06-30,進行中
2026-05-22,2026-07-27,30-60/大里太平/工業區上班族,inactive,2192,1169,,,,,,961,300,每日,47,2.144161,1.875107,2026-07-01,進行中
2026-05-22,2026-07-27,28-55/東區大里/年輕人/成家,inactive,3143,1628,1,,1,1421,actions:leadgen.other,1421,250,每日,73,2.322622,1.93059,2026-07-01,進行中
2026-05-22,2026-07-27,30-60/太平東區北區/教育業/高知識,inactive,1770,1058,,,,,,854,200,每日,40,2.259887,1.672968,2026-07-06,進行中
2026-05-22,2026-07-27,30-60/太原+6/房產/業務,inactive,1758,1053,,,,,,819,200,每日,46,2.61661,1.669516,2026-07-06,進行中
2026-05-22,2026-07-27,30-60/太平+6/公務員/教師/行政,inactive,2325,1277,,,,,,1149,200,每日,67,2.88172,1.820673,2026-07-08,進行中
2026-05-22,2026-07-27,30-65/太平南區上大里/高階公職/軍官,active,4894,2745,1,,2,1041.5,actions:leadgen.other,2083,200,每日,124,2.533715,1.782878,2026-07-17,進行中
2026-05-22,2026-07-27,30-65/太平南區上大里/車商老闆,active,3324,1775,1,,1,1474,actions:leadgen.other,1474,200,每日,94,2.827918,1.872676,2026-07-20,進行中
2026-05-22,2026-07-27,30-64/十期/新婚成家教育(排除ig),inactive,2277,1279,,,,,,1533,3000,總經費,63,2.766798,1.780297,2026-06-25,2026-07-06
2026-05-22,2026-07-27,30-55/太原+6/科技自營商(排除ig),inactive,3581,1837,,,2,1205.5,actions:leadgen.other,2411,3000,總經費,102,2.848366,1.949374,2026-06-25,2026-07-06
2026-05-22,2026-07-27,30-60/北屯北區東區/醫材業務/高管(排除ig),inactive,2769,1480,,,1,1607,actions:leadgen.other,1607,3000,總經費,84,3.033586,1.870946,2026-06-25,2026-07-06
2026-05-22,2026-07-27,"27-55/十期水湳/財會 公務員(排除ig)",inactive,1189,740,,,,,,697,3000,總經費,13,1.093356,1.606757,2026-06-29,2026-07-10
2026-05-22,2026-07-27,30-65/太原+6/社交名流,inactive,1062,723,,,,,,725,3000,總經費,24,2.259887,1.46888,2026-06-29,2026-07-10
2026-05-22,2026-07-27,35-65/上大里北區/生活品質/半退休,inactive,3626,1938,,,2,1086.5,actions:leadgen.other,2173,200,每日,86,2.37176,1.871001,2026-07-10,進行中
2026-05-22,2026-07-27,30-60/北區太平/中學教師/家長,inactive,2441,1434,,,1,1131,actions:leadgen.other,1131,200,每日,52,2.130274,1.702232,2026-07-10,進行中
2026-05-22,2026-07-27,30-60/北區南區/自營商/中學家長,inactive,3392,1942,1,,1,1428,actions:leadgen.other,1428,200,每日,82,2.417453,1.746653,2026-07-14,進行中
2026-05-22,2026-07-27,30-65/北區東區/建築/投資理財,inactive,1960,1236,,,,,,896,200,每日,44,2.244898,1.585761,2026-07-14,進行中
2026-05-22,2026-07-27,30-65/太平南區大里/銀樓當鋪/經營,inactive,2253,1485,,,,,,1403,200,每日,73,3.240124,1.517172,2026-07-21,進行中
