分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2026-04-25,2026-06-01,0522_新視覺(影片),not_delivering,889,608,,,,,,400,200,每日,21,2.362205,1.462171,150,2026-05-22,進行中
2026-04-25,2026-06-01,0522_新視覺(影片),not_delivering,1249,854,,,1,755,actions:leadgen.other,755,250,每日,20,1.601281,1.462529,144,2026-05-22,進行中
2026-04-25,2026-06-01,0522_新視覺(單圖),inactive,1446,866,,,,,,680,250,每日,27,1.86722,1.669746,65,2026-05-22,進行中
2026-04-25,2026-06-01,0425_你值得最好的(單圖),inactive,511,359,,,,,,256,200,每日,5,0.978474,1.423398,5,2026-05-22,進行中
2026-04-25,2026-06-01,0508_格局影片稿,inactive,5,5,,,,,,1,200,每日,0,0,1,,2026-05-22,進行中
2026-04-25,2026-06-01,0425_你值得最好的(單圖),inactive,14,14,,,,,,2,250,每日,0,0,1,,2026-05-22,進行中
2026-04-25,2026-06-01,0508_格局影片稿,inactive,14,14,,,,,,0,250,每日,0,0,1,2,2026-05-22,進行中
2026-04-25,2026-06-01,0522_新視覺(影片),not_delivering,411,317,,,,,,183,250,每日,6,1.459854,1.29653,69,2026-05-25,進行中
2026-04-25,2026-06-01,0522_新視覺(單圖),not_delivering,1336,890,,,,,,620,250,每日,22,1.646707,1.501124,17,2026-05-25,進行中
2026-04-25,2026-06-01,0522_新視覺(影片),inactive,163,127,,,,,,79,250,每日,4,2.453988,1.283465,22,2026-05-26,進行中
2026-04-25,2026-06-01,0522_新視覺(單圖),inactive,1871,1091,,,1,791,actions:leadgen.other,791,250,每日,29,1.549973,1.71494,15,2026-05-26,進行中
2026-04-25,2026-06-01,0522_新視覺(單圖),not_delivering,791,561,,,,,,255,250,每日,14,1.769912,1.409982,12,2026-05-28,進行中
2026-04-25,2026-06-01,0522_新視覺(影片),inactive,87,75,,,,,,71,250,每日,4,4.597701,1.16,20,2026-05-28,進行中
2026-04-25,2026-06-01,20260529_好無止境,active,1540,850,,,1,685,actions:leadgen.other,685,250,每日,36,2.337662,1.811765,12,2026-05-26,進行中
2026-04-25,2026-06-01,20260529_驗與不厭,active,122,98,,,,,,30,250,每日,0,0,1.244898,,2026-05-26,進行中
2026-04-25,2026-06-01,20260529_好無止境,not_delivering,1037,690,,,,,,282,250,每日,21,2.025072,1.502899,13,2026-05-28,進行中
2026-04-25,2026-06-01,20260529_驗與不厭,active,503,349,,,,,,209,250,每日,5,0.994036,1.441261,3,2026-05-28,進行中
2026-04-25,2026-06-01,20260529_好無止境,active,878,584,,,,,,360,250,每日,10,1.138952,1.503425,8,2026-05-28,進行中
2026-04-25,2026-06-01,0425_信諾基石,not_delivering,75,58,,,,,,49,300,每日,4,5.333333,1.293103,12,2026-04-25,2026-05-24
2026-04-25,2026-06-01,0425_信諾基石,not_delivering,51,37,,,,,,18,300,每日,3,5.882353,1.378378,7,2026-04-25,2026-05-24
2026-04-25,2026-06-01,0425_你值得最好的,not_delivering,442,357,,,,,,401,300,每日,10,2.262443,1.238095,92,2026-04-25,2026-05-24
2026-04-25,2026-06-01,0425_你值得最好的,not_delivering,15,14,,,,,,0,300,每日,0,0,1.071429,1,2026-04-27,2026-05-24
2026-04-25,2026-06-01,0425_你值得最好的(單圖,not_delivering,98,92,,,,,,48,300,每日,1,1.020408,1.065217,,2026-04-27,2026-05-24
2026-04-25,2026-06-01,0425_你值得最好的(單圖,not_delivering,60,58,,,,,,23,300,每日,3,5,1.034483,1,2026-04-27,2026-05-24
2026-04-25,2026-06-01,0425_你值得最好的,not_delivering,17,17,,,,,,19,300,每日,1,5.882353,1,4,2026-04-27,2026-05-24
2026-04-25,2026-06-01,0425_你值得最好的(單圖,not_delivering,51,50,,,,,,11,300,每日,2,3.921569,1.02,,2026-04-27,2026-05-24
2026-04-25,2026-06-01,0425_你值得最好的,not_delivering,36,34,,,,,,18,300,每日,0,0,1.058824,8,2026-04-27,2026-05-24
2026-04-25,2026-06-01,0425_你值得最好的,not_delivering,328,256,,,,,,243,200,每日,7,2.134146,1.28125,47,2026-04-27,2026-05-24
2026-04-25,2026-06-01,0425_你值得最好的(單圖,not_delivering,2895,1586,,,1,1291,actions:leadgen.other,1291,200,每日,51,1.761658,1.825347,118,2026-04-27,2026-05-24
