分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-11-03,2026-06-05,"28-55 / 基地+5K / 年輕興趣（1231增加年輕興趣）",not_delivering,41221,12006,3,5,18,378,actions:leadgen.other,6426,200,每日,1263,3.063972,3.433367,2025-12-19,進行中
2025-11-03,2026-06-05,"28-55 / 彰化市 / 餐廳影音網購",inactive,4448,2219,1,1,1,819,actions:leadgen.other,819,200,每日,170,3.821942,2.004507,2026-01-08,進行中
2025-11-03,2026-06-05,"28-55 / 彰化市 /  傳產公務員(0115FB+地區)",inactive,11510,5239,,1,3,667.66666667,actions:leadgen.other,2003,200,每日,338,2.936577,2.196984,2026-01-12,進行中
2025-11-03,2026-06-05,"28-55 / 彰市和美 /  育兒寵物(0115FB)",inactive,21389,7461,3,4,9,514.42857143,actions:leadgen.other,3601,200,每日,642,3.001543,2.866774,2026-01-12,進行中
2025-11-03,2026-06-05,"28-55 / 彰市烏日 /  物流製造業",inactive,6750,2683,2,4,2,972,actions:leadgen.other,972,200,每日,204,3.022222,2.51584,2026-01-22,進行中
2025-11-03,2026-06-05,"28-55 / 彰市和美 /  零售批發自營(0211+興趣)",inactive,25419,6887,6,4,12,330.18181818,actions:leadgen.other,3632,200,每日,816,3.210197,3.690867,2026-01-27,進行中
2025-11-03,2026-06-05,"28-55 / 彰市和美 /  建築生活品質",inactive,11050,4247,3,3,6,357,actions:leadgen.other,1785,150,每日,354,3.20362,2.601837,2026-01-30,進行中
2025-11-03,2026-06-05,"28-55 / 烏日大肚 /  建築生活品質(0304+地點興趣)",not_delivering,51154,15228,16,6,20,348.77777778,actions:leadgen.other,6278,100,每日,1521,2.973375,3.359207,2026-02-11,2026-06-02
2025-11-03,2026-06-05,"28-45 / 彰市和美 / 教育業成家(0304調興趣)",inactive,25180,9142,9,3,9,340.11111111,actions:leadgen.other,3061,150,每日,580,2.303415,2.754321,2026-02-11,進行中
2025-11-03,2026-06-05,"30-50 / 彰市烏日霧峰 /  通勤汽車理財(預)",inactive,9502,4595,4,2,1,1312,actions:leadgen.other,1312,200,每日,213,2.241633,2.0679,2026-02-11,進行中
2025-11-03,2026-06-05,"28-45 / 彰化市區 / 傳產工業",inactive,4193,1946,2,,,,,577,150,每日,76,1.812545,2.154676,2026-03-05,進行中
2025-11-03,2026-06-05,"30-50 / 彰化市區 / 重教育經濟",inactive,2464,1331,1,1,,,,425,150,每日,62,2.516234,1.85124,2026-03-09,進行中
2025-11-03,2026-06-05,"30-55 / 彰市鹿港 / 教師醫護(0317改地點)",inactive,14712,4082,3,4,5,476.2,actions:leadgen.other,2381,150,每日,384,2.610114,3.604116,2026-03-11,進行中
2025-11-03,2026-06-05,"30-55 / 員林 / 傳產休閒首購",inactive,5808,3107,,,,,,873,150,每日,126,2.169421,1.869327,2026-03-17,進行中
2025-11-03,2026-06-05,"30-50 / 鹿港和美彰市 / 零售批發自營(0401+地點興趣)",inactive,14380,6372,6,4,6,303.66666667,actions:leadgen.other,1822,150,每日,491,3.414465,2.256748,2026-03-23,進行中
2025-11-03,2026-06-05,"30-50 / 彰市烏日溪南 / 工業家具",inactive,5628,3505,2,2,1,812,actions:leadgen.other,812,150,每日,147,2.61194,1.605706,2026-03-27,進行中
2025-11-03,2026-06-05,"30-55 / 伸港和美 / 科技興趣/軍公教",inactive,4571,1944,,,,,,872,150,每日,83,1.815795,2.351337,2026-04-01,進行中
2025-11-03,2026-06-05,"30-50 / 鹿港伸港 / 零售批發自營",inactive,2728,1053,,,,,,454,150,每日,121,4.435484,2.590693,2026-04-02,進行中
2025-11-03,2026-06-05,"40-65 / 彰市 / 自營商/置產客",inactive,9702,4011,3,,4,650,actions:leadgen.other,2600,300,每日,447,4.607297,2.418848,2026-04-07,進行中
2025-11-03,2026-06-05,"35-60 / 彰市和美 / 自營商/建築/生活品質",inactive,7833,3429,1,,2,1005,actions:leadgen.other,2010,350,每日,213,2.719265,2.284339,2026-04-15,進行中
2025-11-03,2026-06-05,"30-55  / 彰市烏日 / 教授/理財/家庭(0423地點興趣)",inactive,4595,2628,,,1,1149,actions:leadgen.other,1149,350,每日,142,3.090316,1.748478,2026-04-21,進行中
2025-11-03,2026-06-05,"30-60  / 彰市和美 / 建築/教育/醫療",inactive,5791,2816,1,,,,,1070,350,每日,122,2.106717,2.056463,2026-04-24,進行中
2025-11-03,2026-06-05,"30-60  / 彰市和美員林 / 醫律/高級興趣",inactive,3758,2198,1,,,,,788,350,每日,98,2.60777,1.709736,2026-04-28,進行中
2025-11-03,2026-06-05,"30-60 / 烏日文心 / 房產/自營/親子",inactive,21881,6208,,,9,533.44444444,actions:leadgen.other,4801,350,每日,608,2.778666,3.524646,2026-04-30,進行中
2025-11-03,2026-06-05,"30-60 / 烏日南屯 / 傳產/自營/工程師/醫護",inactive,1572,1029,,,,,,409,350,每日,76,4.834606,1.527697,2026-05-14,進行中
2025-11-03,2026-06-05,"28-55 / 彰化車站+5 / 醫師律師 / 自營商",inactive,5763,3867,1,,1,836,actions:leadgen.other,836,250,每日,213,3.695992,1.490303,2025-11-03,進行中
2025-11-03,2026-06-05,"30-60 / 彰化車站+5  / 美食 / 行銷 /置產",inactive,4724,3170,5,,1,850,actions:leadgen.other,850,250,每日,143,3.027096,1.490221,2025-11-03,進行中
2025-11-03,2026-06-05,"28-55 / 彰市和美 / 房地產(1119擴)",inactive,38331,10137,16,6,19,368.89473684,actions:leadgen.other,7009,100,每日,1428,3.725444,3.781296,2025-11-03,進行中
2025-11-03,2026-06-05,"28-55 / 彰師大車站+6K / 新婚成家(0604擴)",active,46914,10954,18,12,34,268.63333333,actions:leadgen.other,8059,200,每日,1913,4.077674,4.282819,2025-11-03,進行中
2025-11-03,2026-06-05,"28-55 / 彰市和美 / 男生興趣",inactive,4800,3065,5,1,,,,704,250,每日,158,3.291667,1.566069,2025-11-24,進行中
