分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-11-03,2026-06-02,0414_彰師商圈(影片),inactive,1426,829,,,,,,276,350,每日,23,1.612903,1.720145,2026-04-21,進行中
2025-11-03,2026-06-02,0407_進德路商圈(影片),not_delivering,3169,2139,,,1,873,actions:leadgen.other,873,350,每日,119,3.755128,1.481533,2026-04-21,進行中
2025-11-03,2026-06-02,0407_進德路商圈(影片),not_delivering,66,50,,,,,,21,350,每日,4,6.060606,1.32,2026-04-24,進行中
2025-11-03,2026-06-02,0414_彰師商圈(影片),not_delivering,122,96,,,,,,24,350,每日,2,1.639344,1.270833,2026-04-24,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),not_delivering,5603,2773,1,,,,,1025,350,每日,116,2.070319,2.020555,2026-04-24,進行中
2025-11-03,2026-06-02,0414_彰師商圈(影片),not_delivering,1467,1028,,,,,,413,300,每日,54,3.680982,1.427043,2026-04-07,進行中
2025-11-03,2026-06-02,0407_進德路商圈(影片),not_delivering,168,124,,,,,,74,350,每日,6,3.571429,1.354839,2026-04-28,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),not_delivering,2789,1847,1,,,,,551,350,每日,64,2.294729,1.510016,2026-04-28,進行中
2025-11-03,2026-06-02,0429_1168萬(影片),not_delivering,801,552,,,,,,163,350,每日,28,3.49563,1.451087,2026-04-28,進行中
2025-11-03,2026-06-02,0429_1168萬(影片),not_delivering,11339,4489,,,6,421.5,actions:leadgen.other,2529,350,每日,307,2.70747,2.525952,2026-04-30,進行中
2025-11-03,2026-06-02,0313_D-ONE,inactive,2143,1271,,,,,,509,350,每日,42,1.959869,1.686074,2026-04-30,進行中
2025-11-03,2026-06-02,0506_近一點(影片),inactive,688,530,,,,,,245,350,每日,19,2.761628,1.298113,2026-04-30,進行中
2025-11-03,2026-06-02,0116_捷運G22(單圖),not_delivering,810,577,,,1,200,actions:leadgen.other,200,350,每日,25,3.08642,1.403813,2026-04-30,進行中
2025-11-03,2026-06-02,0507_住師大,inactive,6901,3086,,,2,659,actions:leadgen.other,1318,350,每日,215,3.115491,2.236228,2026-04-30,進行中
2025-11-03,2026-06-02,0116_捷運G22(單圖),not_delivering,261,180,,,,,,45,350,每日,5,1.915709,1.45,2026-05-14,進行中
2025-11-03,2026-06-02,0313_D-ONE,inactive,3,2,,,,,,0,350,每日,0,0,1.5,2026-05-14,進行中
2025-11-03,2026-06-02,0429_1168萬(影片),not_delivering,3,3,,,,,,0,350,每日,0,0,1,2026-05-14,進行中
2025-11-03,2026-06-02,0514_大佛(影片),inactive,1305,945,,,,,,364,350,每日,71,5.440613,1.380952,2026-05-14,進行中
2025-11-03,2026-06-02,0507_住師大,active,563,466,,,,,,87,100,每日,10,1.776199,1.208155,2026-02-11,進行中
2025-11-03,2026-06-02,0429_1168萬(影片),active,554,449,,,,,,93,100,每日,20,3.610108,1.233853,2026-02-11,進行中
2025-11-03,2026-06-02,0324_彰化人首選(影片),not_delivering,2643,1406,,,1,472,actions:leadgen.other,472,150,每日,89,3.367386,1.879801,2026-03-11,進行中
2025-11-03,2026-06-02,0313_D-ONE,inactive,157,117,,,,,,26,150,每日,5,3.184713,1.34188,2026-03-27,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),not_delivering,5457,3478,2,2,1,786,actions:leadgen.other,786,150,每日,142,2.602162,1.569005,2026-03-27,進行中
2025-11-03,2026-06-02,0324_彰化人首選(影片),not_delivering,14,13,,,,,,0,150,每日,0,0,1.076923,2026-03-27,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),inactive,822,702,,,,,,161,150,每日,17,2.068127,1.17094,2026-04-01,進行中
2025-11-03,2026-06-02,0313_D-ONE,not_delivering,1850,914,,,,,,422,150,每日,30,1.621622,2.02407,2026-04-01,進行中
2025-11-03,2026-06-02,0402_國家級耐震(影片),not_delivering,575,424,1,,1,85,actions:leadgen.other,85,150,每日,34,5.913043,1.356132,2026-03-23,進行中
2025-11-03,2026-06-02,0402_國家級耐震(影片),not_delivering,1899,903,,,,,,289,150,每日,36,1.895735,2.10299,2026-04-01,進行中
2025-11-03,2026-06-02,0402_國家級耐震(影片),not_delivering,1962,781,,,,,,310,150,每日,99,5.045872,2.512164,2026-04-02,進行中
2025-11-03,2026-06-02,0313_D-ONE,not_delivering,766,489,,,,,,144,150,每日,22,2.872063,1.566462,2026-04-02,進行中
2025-11-03,2026-06-02,0402_國家級耐震(影片),inactive,246,161,,,,,,48,300,每日,21,8.536585,1.52795,2026-04-07,進行中
2025-11-03,2026-06-02,0407_進德路商圈(影片),not_delivering,7989,3521,3,,4,534.75,actions:leadgen.other,2139,300,每日,372,4.656403,2.268958,2026-04-07,進行中
2025-11-03,2026-06-02,0407_進德路商圈(影片),not_delivering,3509,2232,1,,,,,1022,350,每日,126,3.590767,1.572133,2026-04-15,進行中
2025-11-03,2026-06-02,0414_彰師商圈(影片),not_delivering,4324,2105,,,2,494,actions:leadgen.other,988,350,每日,87,2.012026,2.054157,2026-04-15,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),inactive,46025,14338,16,6,20,303.94444444,actions:leadgen.other,5471,100,每日,1372,2.980989,3.210001,2026-02-11,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),not_delivering,404,367,,,,,,73,200,每日,10,2.475248,1.100817,2026-02-11,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),not_delivering,419,349,,,,,,50,200,每日,18,4.295943,1.200573,2026-01-27,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),inactive,19131,8065,8,3,7,338,actions:leadgen.other,2366,150,每日,450,2.352203,2.372102,2026-02-11,進行中
2025-11-03,2026-06-02,0303_正式公開(影片),inactive,81,62,,,,,,5,100,每日,3,3.703704,1.306452,2026-02-11,進行中
2025-11-03,2026-06-02,0303_正式公開(影片),not_delivering,702,465,,,,,,135,150,每日,14,1.994302,1.509677,2026-02-11,進行中
2025-11-03,2026-06-02,0303_正式公開(影片),not_delivering,303,213,,,,,,69,150,每日,2,0.660066,1.422535,2026-03-05,進行中
2025-11-03,2026-06-02,0129_坤育新案,not_delivering,3890,1864,2,,,,,508,150,每日,74,1.902314,2.08691,2026-03-05,進行中
2025-11-03,2026-06-02,0303_正式公開(影片),not_delivering,312,232,,,,,,105,150,每日,10,3.205128,1.344828,2026-03-09,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),not_delivering,64,60,,,,,,9,150,每日,0,0,1.066667,2026-03-09,進行中
2025-11-03,2026-06-02,0129_坤育新案,inactive,2088,1207,1,1,,,,311,150,每日,52,2.490421,1.729909,2026-03-09,進行中
2025-11-03,2026-06-02,0129_坤育新案,inactive,3562,1919,3,4,,,,533,150,每日,91,2.554745,1.856175,2026-03-11,進行中
2025-11-03,2026-06-02,0303_正式公開(影片),inactive,1539,783,,,,,,323,150,每日,42,2.729045,1.965517,2026-03-11,進行中
2025-11-03,2026-06-02,0313_D-ONE,not_delivering,6968,2587,,,4,263.25,actions:leadgen.other,1053,150,每日,162,2.324914,2.693467,2026-03-11,進行中
2025-11-03,2026-06-02,0313_D-ONE,inactive,2602,1474,,,,,,400,100,每日,79,3.036126,1.765265,2026-02-11,進行中
2025-11-03,2026-06-02,0313_D-ONE,not_delivering,621,315,,,,,,127,150,每日,11,1.771337,1.971429,2026-03-17,進行中
2025-11-03,2026-06-02,0129_坤育新案,inactive,1542,1041,,,,,,195,150,每日,28,1.815824,1.481268,2026-03-17,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),not_delivering,3645,2353,,,,,,551,150,每日,87,2.386831,1.549086,2026-03-17,進行中
2025-11-03,2026-06-02,0313_D-ONE,not_delivering,281,222,,,,,,30,150,每日,12,4.270463,1.265766,2026-03-23,進行中
2025-11-03,2026-06-02,0211_早鳥預約(影片),not_delivering,12806,6172,5,4,5,319.8,actions:leadgen.other,1599,150,每日,422,3.29533,2.074854,2026-03-23,進行中
2025-11-03,2026-06-02,0324_彰化人首選(影片),inactive,718,539,,,,,,108,150,每日,23,3.203343,1.332096,2026-03-23,進行中
2025-11-03,2026-06-02,1226_即將登場,not_delivering,1597,887,1,,,,,214,200,每日,65,4.070132,1.800451,2026-01-22,進行中
2025-11-03,2026-06-02,1103_磅礡基地,not_delivering,5153,2368,1,4,2,758,actions:leadgen.other,758,200,每日,139,2.697458,2.176098,2026-01-22,進行中
2025-11-03,2026-06-02,0116_捷運G22(影片),inactive,3753,2008,,1,1,564,actions:leadgen.other,564,200,每日,134,3.570477,1.869024,2026-01-12,進行中
2025-11-03,2026-06-02,0116_捷運G22(影片),inactive,7311,3430,,1,4,424.66666667,actions:leadgen.other,1274,200,每日,230,3.145944,2.131487,2026-01-27,進行中
2025-11-03,2026-06-02,1226_即將登場,inactive,868,616,,,,,,144,200,每日,24,2.764977,1.409091,2026-01-27,進行中
2025-11-03,2026-06-02,0129_坤育新案,not_delivering,16821,5522,6,3,8,270.5,actions:leadgen.other,2164,200,每日,544,3.234053,3.046179,2026-01-27,進行中
2025-11-03,2026-06-02,0129_坤育新案,not_delivering,908,743,2,2,1,,,136,200,每日,30,3.303965,1.222073,2026-01-12,進行中
2025-11-03,2026-06-02,0129_坤育新案,inactive,5358,2735,2,,1,810,actions:leadgen.other,810,150,每日,164,3.060844,1.959049,2026-01-30,進行中
2025-11-03,2026-06-02,0116_捷運G22(影片),not_delivering,4857,2440,,2,5,212,actions:leadgen.other,848,150,每日,152,3.129504,1.990574,2026-01-30,進行中
2025-11-03,2026-06-02,1226_即將登場,inactive,835,575,1,1,,,,127,150,每日,38,4.550898,1.452174,2026-01-30,進行中
2025-11-03,2026-06-02,0116_捷運G22(影片),inactive,526,406,,,,,,88,100,每日,18,3.422053,1.295567,2026-02-11,進行中
2025-11-03,2026-06-02,0129_坤育新案,inactive,475,393,,,,,,73,100,每日,10,2.105263,1.208651,2026-02-11,進行中
2025-11-03,2026-06-02,0129_坤育新案,not_delivering,5347,2703,1,,2,280,actions:leadgen.other,560,150,每日,116,2.169441,1.978172,2026-02-11,進行中
2025-11-03,2026-06-02,0116_捷運G22(影片),inactive,4115,2332,1,,1,527,actions:leadgen.other,527,200,每日,122,2.964763,1.76458,2026-02-11,進行中
2025-11-03,2026-06-02,0129_坤育新案,not_delivering,4983,2882,3,2,,,,712,200,每日,81,1.625527,1.729008,2026-02-11,進行中
2025-11-03,2026-06-02,1201_風起師大(影片),not_delivering,307,229,,,,,,55,150,每日,9,2.931596,1.340611,2025-12-18,進行中
2025-11-03,2026-06-02,1103_磅礡基地,not_delivering,887,572,3,,,,,109,150,每日,19,2.142052,1.550699,2025-12-18,進行中
2025-11-03,2026-06-02,1219_彰師大首排(影片),not_delivering,551,476,,,1,119,actions:leadgen.other,119,150,每日,41,7.441016,1.157563,2025-12-16,進行中
2025-11-03,2026-06-02,1103_磅礡基地,inactive,885,443,1,,,,,169,200,每日,29,3.276836,1.997743,2025-12-19,進行中
2025-11-03,2026-06-02,1219_彰師大首排(影片),not_delivering,35721,11747,1,4,17,341.6875,actions:leadgen.other,5467,200,每日,1052,2.945046,3.040862,2025-12-19,進行中
2025-11-03,2026-06-02,1113_捷運來了,not_delivering,124,100,,,,,,18,100,每日,9,7.258065,1.24,2025-12-19,進行中
2025-11-03,2026-06-02,1219_彰師大首排(影片),not_delivering,1444,879,,,1,260,actions:leadgen.other,260,100,每日,107,7.409972,1.642776,2025-12-19,進行中
2025-11-03,2026-06-02,1226_即將登場,not_delivering,4615,1803,1,1,1,790,actions:leadgen.other,790,200,每日,182,3.943662,2.559623,2025-12-19,進行中
2025-11-03,2026-06-02,1219_彰師大首排(影片),not_delivering,2047,1505,,1,1,407,actions:leadgen.other,407,200,每日,83,4.054714,1.360133,2026-01-08,進行中
2025-11-03,2026-06-02,1226_即將登場,not_delivering,2401,1154,1,,,,,412,200,每日,87,3.62349,2.080589,2026-01-08,進行中
2025-11-03,2026-06-02,1226_即將登場,not_delivering,5601,2346,,,1,925,actions:leadgen.other,925,200,每日,183,3.267274,2.387468,2026-01-12,進行中
2025-11-03,2026-06-02,1219_彰師大首排(影片),not_delivering,5909,3991,,1,2,539,actions:leadgen.other,1078,200,每日,155,2.623117,1.480581,2026-01-12,進行中
2025-11-03,2026-06-02,1226_即將登場,not_delivering,8362,3421,1,,4,306.75,actions:leadgen.other,1227,200,每日,230,2.750538,2.444315,2026-01-12,進行中
2025-11-03,2026-06-02,1219_彰師大首排(影片),inactive,8366,4900,,1,3,837,actions:leadgen.other,1674,200,每日,248,2.96438,1.707347,2026-01-12,進行中
2025-11-03,2026-06-02,0507_住師大,not_delivering,14164,4776,,1,13,175.58333333,actions:leadgen.other,2107,200,每日,455,3.212369,2.965662,2025-11-03,進行中
2025-11-03,2026-06-02,0514_大佛(影片),inactive,1577,1044,,,,,,416,200,每日,89,5.643627,1.510536,2025-11-03,進行中
2025-11-03,2026-06-02,0429_1168萬(影片),not_delivering,2161,1013,,1,1,447,actions:leadgen.other,447,200,每日,105,4.858862,2.133268,2025-11-03,進行中
2025-11-03,2026-06-02,0507_住師大,not_delivering,11459,4635,,,3,537.66666667,actions:leadgen.other,1613,100,每日,298,2.600576,2.472276,2025-11-03,進行中
2025-11-03,2026-06-02,0429_1168萬(影片),not_delivering,609,497,,,,,,142,100,每日,20,3.284072,1.225352,2025-11-03,進行中
2025-11-03,2026-06-02,0526_彰師大首排(影片),inactive,3108,1884,,1,1,625,actions:leadgen.other,625,100,每日,118,3.796654,1.649682,2025-11-03,進行中
2025-11-03,2026-06-02,1113_捷運來了,inactive,6638,3728,2,2,2,448,actions:leadgen.other,896,200,每日,450,6.77915,1.780579,2025-11-03,進行中
2025-11-03,2026-06-02,1113_捷運來了,inactive,9046,4689,5,2,5,286.4,actions:leadgen.other,1432,100,每日,450,4.974574,1.929196,2025-11-03,進行中
