分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2024-12-13,2026-06-30,"28-60/清水 東海/房地產 上班族 成家 (參考餘慶豐閣二期受眾)",inactive,1476,915,,,,,,551,2000,總經費,34,2.303523,1.613115,2024-12-20,2025-01-01
2024-12-13,2026-06-30,"30-65/清水+5k/餐飲服務 (參考餘慶豐閣二期受眾)",inactive,3143,1477,,,2,418.5,actions:leadgen.other,837,2200,總經費,77,2.449889,2.127962,2024-12-20,2024-12-30
2024-12-13,2026-06-30,"28-60/沙鹿梧棲中科 / 科技業生活興趣 (佳鋐新邑受眾)",not_delivering,8995,4578,,,2,2000,actions:leadgen.other,4000,4000,總經費,227,2.523624,1.964832,2024-12-25,2025-01-12
2024-12-13,2026-06-30,"25-60/沙鹿 中科/首購在意價錢 (仁里晴美受眾)",inactive,1170,719,,,,,,420,2400,總經費,23,1.965812,1.62726,2024-12-26,2025-01-05
2024-12-13,2026-06-30,"202412 富宇大琚 名單 (s) 高校速成-1230調 廣告組合",not_delivering,9893,3678,,,3,1322.33333333,actions:leadgen.other,3967,350,每日,163,1.64763,2.689777,2024-12-28,進行中
2024-12-13,2026-06-30,海線在行銷,inactive,1791,719,1,,,,,891,2500,總經費,47,2.624232,2.49096,2025-01-03,2025-01-13
2024-12-13,2026-06-30,"30-65/清水 大雅(少量)/機械 物流 小吃 (0117調)",inactive,31672,11622,4,12,,322.08333333,actions:onsite_conversion.messaging_conversation_started_7d,3865,5550,總經費,1069,3.375221,2.725176,2025-01-13,2025-02-12
2024-12-13,2026-06-30,"30-65/清水外圍  大雅(少量)/餐飲 食品業 成家",inactive,4692,2580,,,1,1210,actions:leadgen.other,1210,2500,總經費,119,2.536232,1.818605,2025-01-13,2025-01-22
2024-12-13,2026-06-30,"28-65/沙鹿 清水 中科/591房地產(跑互動) (0110調)",inactive,6926,4634,1,,,2.52808989,actions:post_engagement,450,450,總經費,383,5.529887,1.494605,2025-01-13,2025-01-17
2024-12-13,2026-06-30,"30-65/清水/工廠 小型業主 家庭",not_delivering,33771,11748,6,18,,237.55555556,actions:onsite_conversion.messaging_conversation_started_7d,4276,4300,總經費,1150,3.405289,2.874617,2025-01-17,2025-02-12
2024-12-13,2026-06-30,"30-65/清水/軍人 警察 保全",inactive,3504,1648,1,,1,1003,actions:leadgen.other,1003,2500,總經費,152,4.3379,2.126214,2025-01-17,2025-01-26
2024-12-13,2026-06-30,"30-65/清水 中科/科技 海關 風力 投資",not_delivering,29884,9248,1,,12,533.33333333,actions:leadgen.other,6400,6400,總經費,914,3.058493,3.231401,2025-01-21,2025-02-12
