分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-07-01,2026-07-23,32-55/基地+3K竹科/科技新貴,inactive,1188,674,,,,,,530,250,每日,24,2.020202,1.762611,2026-07-01,進行中
2026-07-01,2026-07-23,30-55/基地+3K竹中火車站/重視學區父母/親子教育,inactive,1147,653,,,,,,519,250,每日,20,1.743679,1.756508,2026-07-01,進行中
2026-07-01,2026-07-23,35-55/東區北區竹北/醫生/法律/置產,inactive,1423,837,,,,,,888,250,每日,24,1.686578,1.700119,2026-07-03,進行中
2026-07-01,2026-07-23,32-55/東區竹北/傳產/中小企業主,inactive,1599,863,,,,,,891,250,每日,21,1.313321,1.852839,2026-07-03,進行中
2026-07-01,2026-07-23,34-58/東區北區竹北/科技股置產投資者,inactive,1479,775,,,1,1159,actions:leadgen.other,1159,250,每日,22,1.487492,1.908387,2026-07-06,進行中
2026-07-01,2026-07-23,30-55/北區東區竹北/金融/保險業務,inactive,1677,800,,,1,1122,actions:leadgen.other,1122,250,每日,43,2.564103,2.09625,2026-07-06,進行中
2026-07-01,2026-07-23,28-55/竹東/科技業/投資/工程師,inactive,1697,896,,,,,,1108,250,每日,31,1.826753,1.893973,2026-07-06,進行中
2026-07-01,2026-07-23,30-55/東區竹北/親子教育/學區換屋,inactive,1849,958,,,1,862,actions:leadgen.other,862,250,每日,36,1.946998,1.930063,2026-07-10,進行中
2026-07-01,2026-07-23,35-55/竹東/竹科科技主管,inactive,1078,683,,,,,,883,250,每日,26,2.411874,1.578331,2026-07-10,進行中
2026-07-01,2026-07-23,28-55/北區東區竹北/雙薪家庭首購,inactive,1227,723,,,,,,874,250,每日,20,1.629992,1.697095,2026-07-10,進行中
2026-07-01,2026-07-23,30-53/東區竹北/教師/護理師/換屋,inactive,3105,1505,,,2,932,actions:leadgen.other,1864,250,每日,60,1.932367,2.063123,2026-07-13,進行中
2026-07-01,2026-07-23,32-55/北區東區/生活美感品質換屋族,inactive,2811,1378,,,2,897,actions:leadgen.other,1794,250,每日,51,1.814301,2.039913,2026-07-13,進行中
2026-07-01,2026-07-23,35-55/東區竹北/開業醫師/學區換屋,inactive,1729,966,,,,,,1423,250,每日,42,2.42915,1.789855,2026-07-13,進行中
2026-07-01,2026-07-23,35-58/東區竹北/律師/會計師,inactive,1663,956,,,,,,984,200,每日,37,2.224895,1.73954,2026-07-15,進行中
2026-07-01,2026-07-23,35-60/東區/竹科中高階主管換屋,inactive,1212,740,,,,,,803,250,每日,41,3.382838,1.637838,2026-07-17,進行中
2026-07-01,2026-07-23,30-55/北區東區竹北/昌禾天雋名單再行銷(0722調整,active,1009,412,,,,,,702,200,每日,26,2.576809,2.449029,2026-07-20,進行中
2026-07-01,2026-07-23,30-65/純新竹/法律相關+高總興趣,active,381,284,,,,,,310,200,每日,6,1.574803,1.341549,2026-07-22,進行中
2026-07-01,2026-07-23,30-65/信義區竹北/通勤高鐵外商,active,381,313,,,,,,272,200,每日,9,2.362205,1.217252,2026-07-22,進行中
2026-07-01,2026-07-23,35-65/純新竹/私人銀行金融業資深主管,active,342,254,,,,,,291,200,每日,7,2.046784,1.346457,2026-07-22,進行中
