分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2024-12-24,2026-09-15,"中科 東海 逢甲 / 科技新貴",inactive,3241,1520,,,1,1428,actions:leadgen.other,1428,250,每日,102,3.147177,2.132237,2024-12-24,進行中
2024-12-24,2026-09-15,"30-65 / 沙鹿 東海 / 餐飲相關",inactive,2249,1343,,,,,,428,140,每日,92,4.090707,1.674609,2024-12-30,進行中
2024-12-24,2026-09-15,"靜宜 中科 / 自營商 投資",inactive,2272,1333,,,,,,400,140,每日,102,4.489437,1.704426,2024-12-30,進行中
2024-12-24,2026-09-15,"台中市+10KM / 房地產",inactive,2386,1339,2,1,,644,actions:onsite_conversion.messaging_conversation_started_7d,644,160,每日,92,3.855826,1.781927,2025-01-02,進行中
2024-12-24,2026-09-15,"【互動】中科+74外 / 房地產",inactive,1140,921,,,,5.47368421,actions:post_engagement,104,100,每日,67,5.877193,1.237785,2025-01-02,進行中
2024-12-24,2026-09-15,"嶺東中科北屯 / 科技新貴(0111調整區域",inactive,3933,1770,1,,1,1999,actions:leadgen.other,1999,200,每日,82,2.084922,2.222034,2025-01-03,進行中
2024-12-24,2026-09-15,"富宇時代花園 再行銷",not_delivering,3891,1657,2,2,,719,actions:onsite_conversion.messaging_conversation_started_7d,1438,200,每日,197,5.062966,2.34822,2025-01-03,進行中
2024-12-24,2026-09-15,"海線 富宇再行銷",inactive,301,256,,1,,,,235,250,每日,7,2.325581,1.175781,2025-02-24,進行中
2024-12-24,2026-09-15,"30-65/沙鹿 中科 大雅/高科技 藝術時尚",not_delivering,657,469,,,,,,264,2800,總經費,12,1.826484,1.400853,2025-02-25,2025-03-23
2024-12-24,2026-09-15,28-60/海線再行銷,active,1799,1133,,1,,748,actions:onsite_conversion.messaging_conversation_started_7d,748,使用行銷活動預算,0,98,5.447471,1.58782,2026-09-01,2026-09-24
2024-12-24,2026-09-15,28-60/74沿線/家具/製造業,active,414,324,,,,,,130,使用行銷活動預算,0,14,3.381643,1.277778,2026-09-01,2026-09-24
2024-12-24,2026-09-15,28-60/中科沙鹿+8/科技業生活興趣,inactive,2229,1309,1,,,,,554,使用行銷活動預算,0,83,3.723643,1.702827,2026-09-01,2026-09-24
