分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-06-19,2026-07-10,"28-60 / 文心北區 / 高資產女性置產族(0805+地點)",inactive,3818,2094,1,,5,237.6,actions:leadgen.other,1188,250,每日,123,3.221582,1.823305,2026-04-24,進行中
2026-06-19,2026-07-10,"28-60 / 南區東區大里 / 年輕人興趣(0805改地點)",inactive,6187,2399,,,6,360.83333333,actions:leadgen.other,2165,250,每日,256,4.137708,2.578991,2026-05-21,進行中
2026-06-19,2026-07-10,30-60/大里南屯/AI數位科技/創新,inactive,7461,4187,5,2,5,385.25,actions:leadgen.other,1541,250,每日,158,2.117679,1.781944,2026-06-16,進行中
2026-06-19,2026-07-10,30-60/中興文心/股票/資產配置(0806+北區),inactive,18176,7572,,,16,269.0625,actions:leadgen.other,4305,250,每日,416,2.288732,2.400423,2026-06-17,進行中
2026-06-19,2026-07-10,28-55/文心森林+5/娛樂/生活品質,inactive,1282,945,,,,,,458,250,每日,53,4.134165,1.356614,2026-06-18,進行中
2026-06-19,2026-07-10,30-60/南區南屯/會計/法律/高知識,inactive,10715,5638,1,,8,300.25,actions:leadgen.other,2402,250,每日,230,2.146524,1.900497,2026-06-18,進行中
2026-06-19,2026-07-10,28-55/大里南屯/Apple/科技領域,inactive,7668,2986,,,7,315.71428571,actions:leadgen.other,2210,200,每日,262,3.416797,2.567984,2026-06-26,進行中
2026-06-19,2026-07-10,28-55/文心勤美/文創/旅遊/有氧運動(0714+地點),inactive,10064,3679,2,,17,170.52941176,actions:leadgen.other,2899,250,每日,474,4.709857,2.735526,2026-06-29,進行中
2026-06-19,2026-07-10,30-60/中興文心/高學歷/知識消費,inactive,5130,2921,1,1,2,518,actions:leadgen.other,1036,200,每日,142,2.768031,1.756248,2026-06-30,進行中
2026-06-19,2026-07-10,28-55/文心森林+5/健身運動族,inactive,2403,1483,,,1,529,actions:leadgen.other,529,200,每日,75,3.121099,1.620364,2026-06-30,進行中
2026-06-19,2026-07-10,28-55/文心北區/寵物/戶外,inactive,537,440,,,2,58,actions:leadgen.other,116,200,每日,20,3.724395,1.220455,2026-07-10,進行中
2026-06-19,2026-07-10,35-60/興大南區/教授教育(鎖FB)(0609+文森大慶),inactive,3164,1637,,,2,483.5,actions:leadgen.other,967,13300,總經費,85,2.686473,1.932804,2026-04-21,2026-07-20
2026-06-19,2026-07-10,30-60/大里南區/年輕/輕奢族,inactive,1381,1003,,,,,,312,200,每日,30,2.172339,1.376869,2026-06-30,進行中
2026-06-19,2026-07-10,30-60/文心北區/財顧/生活品質,inactive,7113,3726,1,,4,336.25,actions:leadgen.other,1345,200,每日,147,2.066639,1.909018,2026-07-03,進行中
2026-06-19,2026-07-10,28-55/大里南屯/電動車/被動收入(0714+逢甲北區),inactive,6360,3486,,,5,207.4,actions:leadgen.other,1037,200,每日,150,2.358491,1.824441,2026-07-06,進行中
