分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-05-20,2026-07-07,35-60/興大南區/教授教育(鎖FB)(0609+文森大慶),inactive,26858,8478,3,1,18,391.38888889,actions:leadgen.other,7045,12500,總經費,901,1.038797,3.167964,2026-04-21,2026-06-30
2026-05-20,2026-07-07,"28-60 / 國圖館+6 / 高資產女性置產族",inactive,10210,4625,,,5,441.6,actions:leadgen.other,2208,8400,總經費,419,1.29285,2.207568,2026-04-24,2026-06-19
2026-05-20,2026-07-07,33-60/東區南屯南區/注重教育/銀行業/理財顧問,inactive,17607,6463,3,4,11,395.11111111,actions:leadgen.other,3556,9100,總經費,495,1.056398,2.724277,2026-05-15,2026-06-19
2026-05-20,2026-07-07,33-60/中興大學+5/文藝/登山興趣,inactive,1539,1220,1,1,1,,,377,8500,總經費,45,1.039636,1.261475,2026-05-18,2026-06-19
2026-05-20,2026-07-07,"28-55 / 中興國圖 /新婚/首購/成家(0603擴大)",inactive,9702,5136,,,5,357.8,actions:leadgen.other,1789,250,每日,146,0.896722,1.889019,2026-05-28,進行中
2026-05-20,2026-07-07,"28-55 / 國圖大慶 /雙語教育/文青",inactive,8289,4662,,,4,360,actions:leadgen.other,1440,250,每日,186,0.8083,1.777992,2026-06-02,進行中
2026-05-20,2026-07-07,"28-55 / 中興大里 /科技業/3C/理工背景",inactive,2211,1623,,1,,,,449,250,每日,59,1.311624,1.362292,2026-06-02,進行中
2026-05-20,2026-07-07,28-55/國圖大慶/日本旅遊/精緻生活,inactive,13685,6234,4,1,6,419.83333333,actions:leadgen.other,2519,200,每日,302,0.825722,2.19522,2026-06-05,進行中
2026-05-20,2026-07-07,28-55/中興文心/健身運動族,inactive,9739,5042,4,1,9,250.44444444,actions:leadgen.other,2254,250,每日,193,0.852244,1.931575,2026-06-05,進行中
2026-05-20,2026-07-07,28-55/勤美南屯/婚禮新人興趣,inactive,2960,2292,,,1,557,actions:leadgen.other,557,200,每日,47,0.777027,1.291449,2026-06-09,進行中
2026-05-20,2026-07-07,30-60/文心森林+5/雙語教育/國際學校/家長,inactive,1623,1218,,,,,,460,200,每日,26,0.677757,1.332512,2026-06-11,進行中
2026-05-20,2026-07-07,30-60/中興文心/女性主管/職場晉升,inactive,1544,1021,,,,,,430,200,每日,37,0.971503,1.512243,2026-06-12,進行中
2026-05-20,2026-07-07,30-60/文心大慶/中醫/藥師,inactive,2998,2102,1,,2,411,actions:leadgen.other,822,250,每日,50,0.733823,1.426261,2026-06-12,進行中
2026-05-20,2026-07-07,28-55/文心勤美/藝文展/音樂/設計,inactive,1175,972,1,,,,,287,200,每日,26,0.93617,1.208848,2026-06-15,進行中
2026-05-20,2026-07-07,30-60/大里南屯/AI數位科技/創新,inactive,10600,5512,7,2,9,270,actions:leadgen.other,2160,250,每日,235,0.915094,1.923077,2026-06-16,進行中
2026-05-20,2026-07-07,30-60/中興文心/股票/資產配置,inactive,19940,8150,,,18,266,actions:leadgen.other,4788,250,每日,454,1.12337,2.446626,2026-06-17,進行中
2026-05-20,2026-07-07,30-60/南區南屯/會計/法律/高知識,inactive,10715,5638,1,,8,300.25,actions:leadgen.other,2402,250,每日,230,0.849277,1.900497,2026-06-18,進行中
2026-05-20,2026-07-07,30-60/大里南區/年輕/輕奢族,inactive,1381,1003,,,,,,312,200,每日,30,0.941347,1.376869,2026-06-30,進行中
2026-05-20,2026-07-07,30-60/文心北區/財顧/生活品質,active,1840,1220,1,,1,444,actions:leadgen.other,444,250,每日,50,0.923913,1.508197,2026-07-03,進行中
2026-05-20,2026-07-07,28-55/大里南屯/電動車/被動收入,active,1121,757,,,1,180,actions:leadgen.other,180,200,每日,20,0.356824,1.480845,2026-07-06,進行中
2026-05-20,2026-07-07,30-60/中興文心/高學歷/知識消費,inactive,5130,2921,1,1,2,518,actions:leadgen.other,1036,200,每日,142,0.838207,1.756248,2026-06-30,進行中
