分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-06-22,2026-07-12,"28-60 / 文心北區 / 高資產女性置產族(0616擴大)",active,1191,857,,,1,409,actions:leadgen.other,409,250,每日,35,2.938707,1.389732,2026-04-24,進行中
2026-06-22,2026-07-12,"28-60 / 南區東區大里 / 年輕人興趣(0714+彰化草屯)",inactive,6187,2399,,,6,360.83333333,actions:leadgen.other,2165,250,每日,256,4.137708,2.578991,2026-05-21,進行中
2026-06-22,2026-07-12,30-60/大里南屯/AI數位科技/創新,active,3868,2503,3,,2,742,actions:leadgen.other,742,250,每日,67,1.732161,1.545346,2026-06-16,進行中
2026-06-22,2026-07-12,30-60/中興文心/股票/資產配置,inactive,15043,6687,,,13,271.46153846,actions:leadgen.other,3529,250,每日,329,2.187064,2.249589,2026-06-17,進行中
2026-06-22,2026-07-12,30-60/南區南屯/會計/法律/高知識,inactive,9357,5040,1,,8,267.375,actions:leadgen.other,2139,250,每日,201,2.148124,1.856548,2026-06-18,進行中
2026-06-22,2026-07-12,28-55/大里南屯/Apple/科技領域,inactive,7668,2986,,,7,315.71428571,actions:leadgen.other,2210,200,每日,262,3.416797,2.567984,2026-06-26,進行中
2026-06-22,2026-07-12,28-55/文心勤美/文創/旅遊/有氧運動(0714+地點),inactive,11822,4174,2,,18,186.55555556,actions:leadgen.other,3358,250,每日,543,4.593131,2.832295,2026-06-29,進行中
2026-06-22,2026-07-12,30-60/中興文心/高學歷/知識消費,inactive,5130,2921,1,1,2,518,actions:leadgen.other,1036,200,每日,142,2.768031,1.756248,2026-06-30,進行中
2026-06-22,2026-07-12,28-55/文心森林+5/健身運動族,inactive,2403,1483,,,1,529,actions:leadgen.other,529,200,每日,75,3.121099,1.620364,2026-06-30,進行中
2026-06-22,2026-07-12,28-55/文心北區/寵物/戶外,inactive,2095,1267,,,2,236.5,actions:leadgen.other,473,200,每日,76,3.627685,1.653512,2026-07-10,進行中
2026-06-22,2026-07-12,35-60/興大南區/教授教育(鎖FB)(0609+文森大慶),inactive,3164,1637,,,2,483.5,actions:leadgen.other,967,13300,總經費,85,2.686473,1.932804,2026-04-21,2026-07-20
2026-06-22,2026-07-12,30-60/大里南區/年輕/輕奢族,inactive,1381,1003,,,,,,312,200,每日,30,2.172339,1.376869,2026-06-30,進行中
2026-06-22,2026-07-12,30-60/文心北區/財顧/生活品質,inactive,8453,4136,1,1,4,424.75,actions:leadgen.other,1699,200,每日,186,2.200402,2.043762,2026-07-03,進行中
2026-06-22,2026-07-12,28-55/大里南屯/電動車/被動收入(0714+逢甲北區),inactive,8559,4197,,,7,198.57142857,actions:leadgen.other,1390,200,每日,206,2.406823,2.039314,2026-07-06,進行中
