分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-07-13,2026-07-27,"28-60 / 文心北區 / 高資產女性置產族(0616擴大)",active,6371,3001,,,7,338.14285714,actions:leadgen.other,2367,250,每日,166,2.605556,2.122959,2026-04-24,進行中
2026-07-13,2026-07-27,"28-60 / 南區東區大里 / 年輕人興趣(0714+彰化草屯)",inactive,7672,2836,1,,4,601.75,actions:leadgen.other,2407,250,每日,233,3.037018,2.705219,2026-05-21,進行中
2026-07-13,2026-07-27,28-55/中興文心/出版業/編輯(N),active,2440,1434,,,1,719,actions:leadgen.other,719,250,每日,73,2.991803,1.701534,2026-07-24,進行中
2026-07-13,2026-07-27,30-60/大里南屯/AI數位科技/創新,active,10065,4282,2,,6,357.83333333,actions:leadgen.other,2147,250,每日,251,2.49379,2.350537,2026-06-16,進行中
2026-07-13,2026-07-27,28-55/文心勤美/文創/旅遊/有氧運動(0714+地點),inactive,1950,1256,,,,,,618,250,每日,64,3.282051,1.552548,2026-06-29,進行中
2026-07-13,2026-07-27,28-55/文心北區/寵物/戶外,inactive,512,354,,,,,,199,200,每日,21,4.101563,1.446328,2026-07-10,進行中
2026-07-13,2026-07-27,28-55/文心勤美/日系興趣,inactive,934,716,,,,,,216,200,每日,25,2.67666,1.304469,2026-07-10,進行中
2026-07-13,2026-07-27,28-55/文心中興/運動類教練,inactive,1854,1168,,,,,,472,200,每日,53,2.858684,1.587329,2026-07-13,進行中
2026-07-13,2026-07-27,28-55/文心勤美/創作者/行銷,inactive,2030,1522,,,1,632,actions:leadgen.other,632,200,每日,58,2.857143,1.333771,2026-07-16,進行中
2026-07-13,2026-07-27,28-55/文心北區/美業經營,inactive,5247,2672,1,,5,343.6,actions:leadgen.other,1718,250,每日,226,4.307223,1.963698,2026-07-20,進行中
2026-07-13,2026-07-27,30-60/文心+5/私校/投資/藝術(N),active,5402,3088,,,3,367.33333333,actions:leadgen.other,1102,250,每日,127,2.350981,1.749352,2026-07-20,進行中
2026-07-13,2026-07-27,35-60/興大南區/教授教育(鎖FB)(0609+文森大慶),inactive,1279,915,,,,,,346,13300,總經費,38,2.971071,1.397814,2026-04-21,2026-07-20
2026-07-13,2026-07-27,30-60/文心北區/財顧/生活品質,inactive,156,131,,,1,,,82,200,每日,4,2.564103,1.19084,2026-07-03,進行中
2026-07-13,2026-07-27,28-55/大里南屯/電動車/被動收入(0714+逢甲北區),inactive,2463,1716,1,,,,,405,200,每日,54,2.192448,1.435315,2026-07-06,進行中
2026-07-13,2026-07-27,28-55/中興文心/動漫/收藏興趣,inactive,1626,1071,1,,,,,355,200,每日,34,2.091021,1.518207,2026-07-07,進行中
2026-07-13,2026-07-27,28-55/中興文心/攝影器材興趣,inactive,2221,1639,,,,,,418,200,每日,50,2.251238,1.355095,2026-07-07,進行中
2026-07-13,2026-07-27,30-60/大里南屯/二手車買賣/改裝車,inactive,689,617,,,,,,145,200,每日,15,2.177068,1.116694,2026-07-13,進行中
2026-07-13,2026-07-27,30-60/西屯市政/股票/資產配置,inactive,5298,2843,,,1,880,actions:leadgen.other,880,250,每日,95,1.793129,1.863524,2026-07-16,進行中
2026-07-13,2026-07-27,30-55/西屯市政/管理/領導力/精品,inactive,6897,4029,1,,2,669.5,actions:leadgen.other,1339,250,每日,125,1.812382,1.711839,2026-07-16,進行中
2026-07-13,2026-07-27,28-55/車站沿線/年輕二代/育兒教育,inactive,3692,2197,1,,1,758,actions:leadgen.other,758,250,每日,102,2.76273,1.680473,2026-07-21,進行中
