分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-04-17,2026-07-13,"28-60 / 國圖館+6 / 親子運動(+排除主粉專）",inactive,1470,1064,1,,1,539,actions:leadgen.other,539,300,每日,62,4.217687,1.381579,2026-04-17,進行中
2026-04-17,2026-07-13,"28-60 / 國圖館+6 / 高知識文學",inactive,487,415,,,,,,219,300,每日,25,5.13347,1.173494,2026-04-17,進行中
2026-04-17,2026-07-13,"28-60 / 大慶車站+LALAPORT / 純房產興趣",inactive,6378,2955,1,,5,498.4,actions:leadgen.other,2492,200,每日,350,5.487614,2.158376,2026-04-18,進行中
2026-04-17,2026-07-13,"28-60 / 文心北區 / 高資產女性置產族(0616擴大)",inactive,24076,7858,4,,31,264.09677419,actions:leadgen.other,8187,250,每日,987,4.099518,3.063884,2026-04-24,進行中
2026-04-17,2026-07-13,"28-60 / 興大+6 /年輕成家+通勤上班",inactive,2537,1456,,,2,499.5,actions:leadgen.other,999,225,每日,110,4.33583,1.742445,2026-05-11,進行中
2026-04-17,2026-07-13,"28-60 / 興大+3 / 精品美感高階主管(0514縮小區域",inactive,2057,1424,,,1,501,actions:leadgen.other,501,225,每日,67,3.257171,1.444522,2026-05-13,進行中
2026-04-17,2026-07-13,28-60/南區大里/科技/高收入客群,inactive,2529,1539,,,,,,846,300,每日,91,3.59826,1.643275,2026-05-15,2026-05-26
2026-04-17,2026-07-13,"28-60 / 南區東區大里 / 年輕人興趣",inactive,17252,5372,,,16,316.1875,actions:leadgen.other,5059,250,每日,670,3.883608,3.211467,2026-05-21,進行中
2026-04-17,2026-07-13,"28-60 / 國圖館+6 / 房地產",inactive,1542,1162,1,,,,,416,250,每日,36,2.33463,1.327022,2026-05-28,進行中
2026-04-17,2026-07-13,30-55/南區大里/理財/保險/自營,inactive,3090,1815,,,2,457,actions:leadgen.other,914,250,每日,94,3.042071,1.702479,2026-05-28,進行中
2026-04-17,2026-07-13,30-55/美術館中興/美容/精品消費,inactive,3629,1985,,,3,396.66666667,actions:leadgen.other,1190,250,每日,145,3.995591,1.828212,2026-06-03,進行中
2026-04-17,2026-07-13,30-60/國圖大慶/教授/學術研究,inactive,3656,1868,,,2,582,actions:leadgen.other,1164,250,每日,136,3.719912,1.957173,2026-06-04,進行中
2026-04-17,2026-07-13,28-55/中興中山醫/住院醫師/非在地,inactive,973,604,,,,,,402,250,每日,35,3.597122,1.610927,2026-06-05,進行中
2026-04-17,2026-07-13,28-55/文心森林+5/線上課程/知識消費,inactive,4990,2135,2,,5,337.4,actions:leadgen.other,1687,250,每日,196,3.927856,2.337237,2026-06-09,進行中
2026-04-17,2026-07-13,28-55/南屯西屯/咖啡師/文青,inactive,3663,1758,,,3,325.33333333,actions:leadgen.other,976,250,每日,114,3.112203,2.083618,2026-06-12,進行中
2026-04-17,2026-07-13,28-60/南屯西屯/兒童教育/閱讀/理財,inactive,801,607,,,,,,356,250,每日,30,3.745318,1.319605,2026-06-17,進行中
2026-04-17,2026-07-13,28-55/文心森林+5/娛樂/生活品質,inactive,1305,961,,,,,,468,250,每日,53,4.061303,1.35796,2026-06-18,進行中
2026-04-17,2026-07-13,28-55/大里南屯/Apple/科技領域,inactive,7668,2986,,,7,315.71428571,actions:leadgen.other,2210,200,每日,262,3.416797,2.567984,2026-06-26,進行中
2026-04-17,2026-07-13,28-55/文心勤美/文創/旅遊/有氧運動,active,12203,4281,2,,18,191.72222222,actions:leadgen.other,3451,200,每日,556,4.556257,2.850502,2026-06-29,進行中
2026-04-17,2026-07-13,28-55/文心森林+5/健身運動族,inactive,2403,1483,,,1,529,actions:leadgen.other,529,200,每日,75,3.121099,1.620364,2026-06-30,進行中
2026-04-17,2026-07-13,28-55/文心北區/寵物/戶外,active,2272,1341,,,2,272,actions:leadgen.other,544,200,每日,80,3.521127,1.694258,2026-07-10,進行中
