分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-04-02,2026-07-13,"28-60 / 南區東區大里 / 科技電動車",inactive,1668,1185,,,,,,424,4000,總經費,32,1.918465,1.407595,2026-04-02,2026-04-19
2026-04-02,2026-07-13,"28-60 / 南區東區大里 / 金融投資興趣+運動",inactive,4190,2188,3,1,1,1078,actions:leadgen.other,1078,3500,總經費,92,2.195704,1.914991,2026-04-04,2026-04-19
2026-04-02,2026-07-13,"28-60 / 南區東區大里 / 通勤高階主管",inactive,5141,3051,2,3,3,1260,actions:leadgen.other,1260,4000,總經費,102,1.98405,1.685021,2026-04-08,2026-04-19
2026-04-02,2026-07-13,"28-60 / 南區東區大里 /傳產二代",inactive,2784,1923,1,,1,821,actions:leadgen.other,821,4000,總經費,71,2.550287,1.447738,2026-04-08,2026-04-19
2026-04-02,2026-07-13,"30-65 / 南區東區大里 / 政治置產科技",inactive,3593,2412,3,1,2,426.5,actions:leadgen.other,853,3200,總經費,93,2.588366,1.489635,2026-04-11,2026-04-19
2026-04-02,2026-07-13,"28-60 / 南區東區大里 / 五金傳產二代新婚",inactive,1684,1196,2,1,,,,538,2000,總經費,49,2.909739,1.408027,2026-04-13,2026-04-19
2026-04-02,2026-07-13,"28-55 / 中興國圖 /新婚/首購/成家(0603擴大)",inactive,9702,5136,,,5,357.8,actions:leadgen.other,1789,250,每日,146,1.504844,1.889019,2026-05-28,進行中
2026-04-02,2026-07-13,"28-55 / 國圖大慶 /雙語教育/文青",inactive,8289,4662,,,4,360,actions:leadgen.other,1440,250,每日,186,2.243938,1.777992,2026-06-02,進行中
2026-04-02,2026-07-13,"28-55 / 中興大里 /科技業/3C/理工背景",inactive,2211,1623,,1,,,,449,250,每日,59,2.668476,1.362292,2026-06-02,進行中
2026-04-02,2026-07-13,28-55/國圖大慶/日本旅遊/精緻生活,inactive,13685,6234,4,1,6,419.83333333,actions:leadgen.other,2519,200,每日,302,2.206796,2.19522,2026-06-05,進行中
2026-04-02,2026-07-13,28-55/中興文心/健身運動族,inactive,9739,5042,4,1,9,250.44444444,actions:leadgen.other,2254,250,每日,193,1.981723,1.931575,2026-06-05,進行中
2026-04-02,2026-07-13,28-55/勤美南屯/婚禮新人興趣,inactive,2960,2292,,,1,557,actions:leadgen.other,557,200,每日,47,1.587838,1.291449,2026-06-09,進行中
2026-04-02,2026-07-13,30-60/文心森林+5/雙語教育/國際學校/家長,inactive,1623,1218,,,,,,460,200,每日,26,1.601972,1.332512,2026-06-11,進行中
2026-04-02,2026-07-13,30-60/中興文心/女性主管/職場晉升,inactive,1544,1021,,,,,,430,200,每日,37,2.396373,1.512243,2026-06-12,進行中
2026-04-02,2026-07-13,30-60/文心大慶/中醫/藥師,inactive,2998,2102,1,,2,411,actions:leadgen.other,822,250,每日,50,1.667779,1.426261,2026-06-12,進行中
2026-04-02,2026-07-13,28-55/文心勤美/藝文展/音樂/設計,inactive,1175,972,1,,,,,287,200,每日,26,2.212766,1.208848,2026-06-15,進行中
2026-04-02,2026-07-13,30-60/大里南屯/AI數位科技/創新,inactive,10600,5512,7,2,9,270,actions:leadgen.other,2160,250,每日,235,2.216981,1.923077,2026-06-16,進行中
2026-04-02,2026-07-13,30-60/中興文心/股票/資產配置,inactive,19940,8150,,,18,266,actions:leadgen.other,4788,250,每日,454,2.27683,2.446626,2026-06-17,進行中
2026-04-02,2026-07-13,30-60/南區南屯/會計/法律/高知識,inactive,10715,5638,1,,8,300.25,actions:leadgen.other,2402,250,每日,230,2.146524,1.900497,2026-06-18,進行中
2026-04-02,2026-07-13,30-60/中興文心/高學歷/知識消費,inactive,5130,2921,1,1,2,518,actions:leadgen.other,1036,200,每日,142,2.768031,1.756248,2026-06-30,進行中
2026-04-02,2026-07-13,30-60/大里南區/年輕/輕奢族,inactive,1381,1003,,,,,,312,200,每日,30,2.172339,1.376869,2026-06-30,進行中
2026-04-02,2026-07-13,30-60/文心北區/財顧/生活品質,inactive,8608,4172,1,1,4,445.25,actions:leadgen.other,1781,200,每日,190,2.207249,2.063279,2026-07-03,進行中
2026-04-02,2026-07-13,28-55/大里南屯/電動車/被動收入,active,8989,4345,,,7,207.57142857,actions:leadgen.other,1453,200,每日,220,2.447436,2.068815,2026-07-06,進行中
2026-04-02,2026-07-13,28-55/中興文心/動漫/收藏興趣(N),active,350,306,,,,,,67,200,每日,5,1.428571,1.143791,2026-07-07,進行中
2026-04-02,2026-07-13,"28-60 / 南區東區大里 / 金融投資興趣(0511調整",inactive,11480,5378,1,,6,392.16666667,actions:leadgen.other,2353,3500,總經費,237,2.06446,2.134623,2026-04-02,2026-05-19
2026-04-02,2026-07-13,"28-60 / 南區東區大里 / 五金傳產政治",inactive,20809,7474,3,1,12,399.66666667,actions:leadgen.other,4796,6500,總經費,572,2.748811,2.784185,2026-04-11,2026-05-26
2026-04-02,2026-07-13,"28-60 / 南區東區大里 / 菁英教育家庭",inactive,2262,1637,,,,,,739,6000,總經費,39,1.724138,1.381796,2026-04-13,2026-05-19
2026-04-02,2026-07-13,35-60/興大南區/教授教育(鎖FB)(0609+文森大慶),inactive,49537,14000,5,2,35,347.42857143,actions:leadgen.other,12160,12500,總經費,1365,2.755516,3.538357,2026-04-21,2026-06-30
2026-04-02,2026-07-13,"30-60 / 興大南區  / 在地生活",inactive,2566,1626,2,,,,,808,5500,總經費,62,2.416212,1.578106,2026-04-22,2026-05-19
2026-04-02,2026-07-13,"28-60 / 國圖館+6 / 高資產女性置產族",inactive,11172,4904,1,1,5,502.4,actions:leadgen.other,2512,8400,總經費,450,4.027927,2.27814,2026-04-24,2026-06-19
