分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-03-20,2026-06-02,0320_首波pop,not_delivering,40830,14998,16,7,27,305.36,actions:leadgen.other,7634,使用行銷活動預算,0,1045,0.653931,2.722363,2026-03-21,進行中
2026-03-20,2026-06-02,0320_首波pop,not_delivering,411,327,,,,,,142,使用行銷活動預算,0,6,0.729927,1.256881,2026-03-31,進行中
2026-03-20,2026-06-02,0320_首波pop,not_delivering,1355,841,,,,,,231,使用行銷活動預算,0,25,0.738007,1.611177,2026-03-31,進行中
2026-03-20,2026-06-02,0320_首波pop,not_delivering,1523,1061,,,1,586,actions:leadgen.other,586,2375,總經費,38,0.722259,1.435438,2026-04-01,2026-04-19
2026-03-20,2026-06-02,0320_首波pop,not_delivering,1784,1187,1,,,,,549,2375,總經費,33,0.560538,1.502949,2026-04-01,2026-04-19
2026-03-20,2026-06-02,0320_首波pop,not_delivering,786,675,,,,,,218,使用行銷活動預算,0,17,0.763359,1.164444,2026-04-11,進行中
2026-03-20,2026-06-02,0320_首波pop,not_delivering,773,645,,,,,,222,使用行銷活動預算,0,19,0.776197,1.19845,2026-04-11,進行中
2026-03-20,2026-06-02,"0320_首波pop - 複本",not_delivering,887,719,,,,,,465,1200,總經費,13,0.563698,1.233658,2026-04-16,2026-04-19
2026-03-20,2026-06-02,"0320_首波pop - 複本",not_delivering,1839,1406,,,,,,638,2000,總經費,45,0.380642,1.307966,2026-04-16,2026-04-19
2026-03-20,2026-06-02,"0320_首波pop - 複本",not_delivering,975,797,,,,,,397,1200,總經費,20,0.615385,1.223338,2026-04-16,2026-04-19
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,5187,2916,,,3,333,actions:leadgen.other,999,使用行銷活動預算,0,96,0.867554,1.778807,2026-04-11,進行中
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,3292,2142,1,,2,336.5,actions:leadgen.other,673,使用行銷活動預算,0,54,0.82017,1.536881,2026-04-11,進行中
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,21398,7408,3,,11,389.81818182,actions:leadgen.other,4288,使用行銷活動預算,0,523,0.89728,2.888499,2026-04-21,進行中
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,539,362,,,,,,119,使用行銷活動預算,0,11,0.742115,1.48895,2026-03-20,進行中
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,11171,4905,2,,7,398,actions:leadgen.other,2786,使用行銷活動預算,0,178,0.823561,2.277472,2026-04-22,進行中
2026-03-20,2026-06-02,0320_首波pop,not_delivering,169,133,,,,,,53,使用行銷活動預算,0,6,0.591716,1.270677,2026-04-22,進行中
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,1648,1086,,,,,,343,使用行銷活動預算,0,30,0.849515,1.517495,2026-04-22,進行中
2026-03-20,2026-06-02,0320_首波pop,not_delivering,327,263,,,,,,103,使用行銷活動預算,0,7,0.917431,1.243346,2026-04-22,進行中
2026-03-20,2026-06-02,0320_首波pop,not_delivering,69,65,,,,,,26,使用行銷活動預算,0,2,2.898551,1.061538,2026-05-12,進行中
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,1136,936,1,,,,,379,使用行銷活動預算,0,24,0.440141,1.213675,2026-05-12,進行中
2026-03-20,2026-06-02,0417_興大智醫,inactive,3,3,,,,,,2,使用行銷活動預算,0,0,,1,2026-05-14,進行中
2026-03-20,2026-06-02,0320_首波pop,inactive,3,3,,,,,,0,使用行銷活動預算,0,0,,1,2026-05-14,進行中
2026-03-20,2026-06-02,0514_南區獻定,not_delivering,651,465,,,,,,147,使用行銷活動預算,0,31,1.382488,1.4,2026-05-14,進行中
2026-03-20,2026-06-02,0514_南區獻定,not_delivering,2147,1499,,1,1,,,445,使用行銷活動預算,0,54,1.024686,1.432288,2026-03-20,進行中
2026-03-20,2026-06-02,0320_首波pop,inactive,29823,10347,17,9,26,235.12,actions:leadgen.other,5878,使用行銷活動預算,0,1059,0.861751,2.882285,2026-03-20,進行中
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,13513,5580,2,,7,378.71428571,actions:leadgen.other,2651,6500,總經費,368,1.161844,2.421685,2026-04-11,2026-05-26
2026-03-20,2026-06-02,"0417_興大智醫 - 複本",not_delivering,405,348,,,,,,114,6000,總經費,3,0.246914,1.163793,2026-04-13,2026-05-19
2026-03-20,2026-06-02,0417_興大智醫,active,17827,6771,1,,11,365.18181818,actions:leadgen.other,4017,13200,總經費,287,0.858249,2.632846,2026-04-21,2026-06-19
2026-03-20,2026-06-02,0320_首波pop,inactive,169,149,,,,,,35,13200,總經費,6,0.591716,1.134228,2026-04-21,2026-06-19
2026-03-20,2026-06-02,0320_首波pop,not_delivering,891,687,2,,,,,453,5500,總經費,35,0.897868,1.296943,2026-04-22,2026-05-19
2026-03-20,2026-06-02,"0417_興大智醫 - 複本",not_delivering,1675,1150,,,,,,355,5500,總經費,27,0.41791,1.456522,2026-04-22,2026-05-19
2026-03-20,2026-06-02,0320_首波pop,inactive,1047,807,1,1,,,,342,8400,總經費,26,0.859599,1.297398,2026-04-24,2026-06-19
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,2123,1591,,,1,545,actions:leadgen.other,545,8400,總經費,32,0.75365,1.334381,2026-04-24,2026-06-19
2026-03-20,2026-06-02,"0417_興大智醫 - 複本 - 複本",not_delivering,560,449,,,,,,106,3500,總經費,8,0.357143,1.247216,2026-04-02,2026-05-19
2026-03-20,2026-06-02,0514_南區獻定,active,14881,6133,1,2,13,253.92307692,actions:leadgen.other,3301,13200,總經費,418,1.014717,2.426382,2026-04-21,2026-06-19
2026-03-20,2026-06-02,0417_興大智醫,active,9298,4541,,4,11,236.55555556,actions:leadgen.other,2129,9100,總經費,256,0.92493,2.047567,2026-05-15,2026-06-19
2026-03-20,2026-06-02,0514_南區獻定,inactive,7887,3764,,,3,442,actions:leadgen.other,1326,9100,總經費,223,1.128439,2.095377,2026-05-15,2026-06-19
2026-03-20,2026-06-02,0514_南區獻定,not_delivering,3487,2004,1,1,1,,,710,8500,總經費,114,1.003728,1.74002,2026-05-18,2026-06-19
2026-03-20,2026-06-02,0417_興大智醫,not_delivering,159,133,,,,,,34,8500,總經費,4,,1.195489,2026-05-18,2026-06-19
2026-03-20,2026-06-02,0514_南區獻定,not_delivering,1528,1173,,,1,314,actions:leadgen.other,314,8400,總經費,44,1.439791,1.302643,2026-04-24,2026-06-19
