分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2025-11-01,2026-05-29,"28-60 / 烏日南屯西區 / 老闆 決策者",inactive,2048,1341,,,,,,659,300,每日,101,1.527218,4.931641,2025-11-01,進行中
2025-11-01,2026-05-29,"28-60 / 烏日南屯西區 / 餐飲業者",inactive,2792,1586,,,,,,928,300,每日,153,1.760404,5.479943,2025-11-01,進行中
2025-11-01,2026-05-29,"30-65 / 嶺東烏日南區 / 創業 加盟主",inactive,2452,1704,,,,,,848,300,每日,107,1.438967,4.363785,2025-11-03,進行中
2025-11-01,2026-05-29,"30-65 / 南區西區北區 / 開店投資",inactive,3268,2212,,,,,,1184,300,每日,146,1.477396,4.467564,2025-11-04,進行中
2025-11-01,2026-05-29,"30-65 / 嶺東烏日南區 / 企業主管(1211+興趣)",inactive,146760,37144,23,7,71,363.76056338,actions:leadgen.other,25827,150,每日,3521,3.951109,2.399155,2025-11-06,進行中
2025-11-01,2026-05-29,"30-65 / 台中市區 / 服飾娛樂事業",inactive,2072,1141,,,,,,911,300,每日,63,1.815951,3.040541,2025-11-07,進行中
2025-11-01,2026-05-29,"30-60 / 彰市烏日南區 / 展店投資",inactive,1527,881,,,,,,591,150,每日,49,1.733258,3.208906,2025-11-10,進行中
2025-11-01,2026-05-29,"30-60 / 靜宜東海西屯北屯 / 企業主管(1211+興趣)",inactive,73855,23152,22,10,39,311.43589744,actions:leadgen.other,12146,250,每日,1934,3.190005,2.618645,2025-11-13,進行中
2025-11-01,2026-05-29,"30-60 / 龍井沙鹿潭子豐原 / 企業主管(0113+興趣)",inactive,18444,9056,5,1,6,536.5,actions:leadgen.other,3219,250,每日,407,2.036661,2.20668,2026-01-07,進行中
2025-11-01,2026-05-29,"30-65 / 東區大里 / 企業主管",inactive,9970,4929,5,2,2,1087.5,actions:leadgen.other,2175,250,每日,217,2.022723,2.17653,2026-01-20,進行中
2025-11-01,2026-05-29,"30-60 / 沙鹿北區烏日 / 商業行銷(0203+地點興趣)",inactive,14447,7779,5,,7,398,actions:leadgen.other,2786,100,每日,326,1.85718,2.256524,2026-01-29,進行中
2025-11-01,2026-05-29,"30-60 / 北區西屯北屯 / 商業行銷",inactive,27429,11925,2,2,9,550.11111111,actions:leadgen.other,4951,100,每日,604,2.300126,2.202049,2026-02-05,進行中
2025-11-01,2026-05-29,"30-60 / 嶺東烏日南區 / 行銷人力管理",inactive,70910,19420,24,10,39,366.94871795,actions:leadgen.other,14311,250,每日,1612,3.65139,2.273304,2026-03-09,進行中
2025-11-01,2026-05-29,"30-60 / 靜宜東海 / 行銷人力管理",inactive,4930,2509,2,,1,1484,actions:leadgen.other,1484,250,每日,85,1.964926,1.724138,2026-05-05,進行中
2025-11-01,2026-05-29,"30-60 / 烏日南區逢甲 / 餐飲/零售/美業",inactive,15228,7134,2,,6,423.66666667,actions:leadgen.other,2542,150,每日,350,2.134567,2.298398,2026-05-14,進行中
2025-11-01,2026-05-29,"30-60 / 嶺東烏日南區 / 親子娛樂類",active,1922,1422,1,1,1,287,actions:leadgen.other,287,150,每日,52,1.351617,2.705515,2026-05-27,進行中
