分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2025-11-01,2026-05-29,0209_高鐵第一排,not_delivering,2397,1626,,,1,511,actions:leadgen.other,511,100,每日,46,1.47417,1.919066,2026-01-29,進行中
2025-11-01,2026-05-29,0306_商場招租,not_delivering,278,233,,,,,,61,100,每日,5,1.193133,1.798561,2026-01-29,進行中
2025-11-01,2026-05-29,1201_門店招募中V2,inactive,58381,17983,22,9,36,315.08333333,actions:leadgen.other,11343,250,每日,1314,3.246455,2.250732,2026-03-09,進行中
2025-11-01,2026-05-29,0306_商場招租,not_delivering,2414,1507,,1,,,,678,250,每日,46,1.601858,1.905551,2026-03-09,進行中
2025-11-01,2026-05-29,0413_百萬級(影片),inactive,4106,2267,,,1,831,actions:leadgen.other,831,250,每日,73,1.811204,1.777886,2026-03-09,進行中
2025-11-01,2026-05-29,0430_起跑點,not_delivering,6009,2764,2,,2,729.5,actions:leadgen.other,1459,250,每日,179,2.174023,2.978865,2026-03-09,進行中
2025-11-01,2026-05-29,0430_起跑點,not_delivering,3201,1742,1,,1,1056,actions:leadgen.other,1056,250,每日,59,1.837543,1.843174,2026-05-05,進行中
2025-11-01,2026-05-29,0306_商場招租,not_delivering,100,83,,,,,,54,250,每日,1,1.204819,1,2026-05-05,進行中
2025-11-01,2026-05-29,1201_門店招募中V2,inactive,1629,1131,1,,,,,374,250,每日,25,1.440318,1.534684,2026-05-05,進行中
2025-11-01,2026-05-29,0430_起跑點,not_delivering,3815,2234,1,,1,946,actions:leadgen.other,946,250,每日,116,1.707699,3.040629,2025-11-13,進行中
2025-11-01,2026-05-29,0430_起跑點,inactive,839,571,,,,,,155,150,每日,27,1.469352,3.218117,2026-05-14,進行中
2025-11-01,2026-05-29,1201_門店招募中V2,not_delivering,13792,6846,2,,5,455,actions:leadgen.other,2275,150,每日,283,2.014607,2.051914,2026-05-14,進行中
2025-11-01,2026-05-29,0522_招商說明會,not_delivering,382,278,,,1,90,actions:leadgen.other,90,150,每日,31,1.374101,8.115183,2026-05-14,進行中
2025-11-01,2026-05-29,0527_全新開幕(影片),not_delivering,215,185,,,,,,22,150,每日,9,1.162162,4.186047,2026-05-14,進行中
2025-11-01,2026-05-29,0527_全新開幕(影片),active,110,93,,,,,,16,150,每日,6,1.182796,5.454545,2026-05-27,進行中
2025-11-01,2026-05-29,1201_門店招募中V2,active,1812,1372,1,1,1,271,actions:leadgen.other,271,150,每日,46,1.3207,2.538631,2026-05-27,進行中
2025-11-01,2026-05-29,0106_最佳門面(影片),inactive,182,145,,,,,,43,250,每日,2,1.255172,1.098901,2025-11-13,進行中
2025-11-01,2026-05-29,1031_門店招商V2,not_delivering,11657,6607,1,,3,605,actions:leadgen.other,1815,250,每日,228,1.764341,1.955906,2026-01-07,進行中
2025-11-01,2026-05-29,1201_門店招募中,inactive,6727,4009,4,1,3,463.66666667,actions:leadgen.other,1391,250,每日,174,1.677975,2.586591,2026-01-07,進行中
2025-11-01,2026-05-29,0106_最佳門面(影片),not_delivering,60,46,,,,,,13,250,每日,5,1.304348,8.333333,2026-01-07,進行中
2025-11-01,2026-05-29,0106_最佳門面(影片)V2,inactive,45,39,,,,,,12,150,每日,1,1.153846,2.222222,2025-11-06,進行中
2025-11-01,2026-05-29,1031_門店招商V2,inactive,2371,1796,1,1,1,429,actions:leadgen.other,429,250,每日,38,1.320156,1.602699,2026-01-20,進行中
2025-11-01,2026-05-29,1201_門店招募中,not_delivering,7599,3979,4,1,1,1746,actions:leadgen.other,1746,250,每日,179,1.909776,2.355573,2026-01-20,進行中
2025-11-01,2026-05-29,1201_門店招募中,inactive,10911,6280,5,,6,320,actions:leadgen.other,1920,100,每日,258,1.73742,2.364586,2026-01-29,進行中
2025-11-01,2026-05-29,0106_最佳門面(影片),inactive,861,700,,,,,,294,100,每日,17,1.23,1.974448,2026-01-29,進行中
2025-11-01,2026-05-29,1201_門店招募中V2,not_delivering,21679,10099,1,1,8,491.875,actions:leadgen.other,3935,100,每日,494,2.146648,2.278703,2026-02-05,進行中
2025-11-01,2026-05-29,1031_門店招商V3,inactive,3355,2241,1,1,1,690,actions:leadgen.other,690,100,每日,65,1.4971,1.937407,2026-02-05,進行中
2025-11-01,2026-05-29,0209_高鐵第一排,not_delivering,2395,1374,,,,,,326,100,每日,45,1.743086,1.878914,2026-02-05,進行中
2025-11-01,2026-05-29,0209_高鐵第一排,not_delivering,2928,1652,,,3,292.33333333,actions:leadgen.other,877,150,每日,90,1.772397,3.07377,2025-11-06,進行中
2025-11-01,2026-05-29,1031_門店招商,not_delivering,2048,1341,,,,,,659,300,每日,101,1.527218,4.931641,2025-11-01,進行中
2025-11-01,2026-05-29,1031_門店招商,not_delivering,2792,1586,,,,,,928,300,每日,153,1.760404,5.479943,2025-11-01,進行中
2025-11-01,2026-05-29,1031_門店招商,not_delivering,2452,1704,,,,,,848,300,每日,107,1.438967,4.363785,2025-11-03,進行中
2025-11-01,2026-05-29,1031_門店招商,inactive,2684,1820,,,,,,896,300,每日,126,1.474725,4.694486,2025-11-04,進行中
2025-11-01,2026-05-29,1106_人潮商機V2,inactive,2953,2072,,,1,820,actions:leadgen.other,820,150,每日,64,1.425193,2.167288,2025-11-06,進行中
2025-11-01,2026-05-29,1031_門店招商,inactive,22669,10842,,,15,281.06666667,actions:leadgen.other,4216,150,每日,524,2.09085,2.311527,2025-11-06,進行中
2025-11-01,2026-05-29,1031_門店招商,inactive,584,502,,,,,,288,300,每日,20,1.163347,3.424658,2025-11-04,進行中
2025-11-01,2026-05-29,1106_人潮商機,not_delivering,1987,1086,,,,,,883,300,每日,60,1.82965,3.019628,2025-11-07,進行中
2025-11-01,2026-05-29,1031_門店招商,not_delivering,85,78,,,,,,28,300,每日,3,1.089744,3.529412,2025-11-07,進行中
2025-11-01,2026-05-29,1106_人潮商機,not_delivering,1527,881,,,,,,591,150,每日,49,1.733258,3.208906,2025-11-10,進行中
2025-11-01,2026-05-29,1106_人潮商機,inactive,600,285,,,1,164,actions:leadgen.other,164,250,每日,17,2.105263,2.833333,2025-11-13,進行中
2025-11-01,2026-05-29,1201_門店招募中,not_delivering,56362,19656,20,10,32,268.96875,actions:leadgen.other,8607,250,每日,1458,2.86742,2.586849,2025-11-13,進行中
2025-11-01,2026-05-29,1201_門店招募中V2,not_delivering,63572,19912,20,3,31,357,actions:leadgen.other,11067,150,每日,1759,3.192648,2.766941,2025-11-06,進行中
2025-11-01,2026-05-29,1031_門店招商V2,inactive,54593,18461,3,4,21,420.71428571,actions:leadgen.other,8835,150,每日,1083,2.957207,1.983771,2025-11-06,進行中
