分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2026-04-09,2026-06-01,30-65/南興公園+6/父母成家興趣,inactive,37901,17581,47,12,43,167.43902439,actions:leadgen.other,6865,7800,總經費,1896,2.155793,5.002507,2026-04-09,2026-05-22
2026-04-09,2026-06-01,28-55/南興公園+6/科技新貴/旅遊(0502微調受眾,inactive,40652,17285,52,24,43,187.225,actions:leadgen.other,7489,9000,總經費,1857,2.351866,4.568041,2026-04-09,2026-05-29
2026-04-09,2026-06-01,30-65/南興公園+6/年輕興趣(曝光問題關閉),inactive,19,19,,,,,,14,2500,總經費,0,1,0,2026-04-21,2026-04-30
2026-04-09,2026-06-01,30-65/南興公園+6/金融投資(曝光問題關閉),inactive,3,3,,,,,,0,2500,總經費,0,1,0,2026-04-21,2026-04-30
2026-04-09,2026-06-01,"30-65/南興公園+6/年輕興趣 - 複本",inactive,3607,3052,3,,1,691,actions:leadgen.other,691,2500,總經費,135,1.181848,3.742722,2026-04-22,2026-04-30
2026-04-09,2026-06-01,30-65/南興公園+6/金融投資,inactive,32778,18708,18,,22,257.5,actions:leadgen.other,5665,6500,總經費,1466,1.752085,4.472512,2026-04-22,2026-05-14
2026-04-09,2026-06-01,30-65/南興公園+6/置產/醫師/高管,inactive,16997,9885,6,,16,201.9375,actions:leadgen.other,3231,6000,總經費,610,1.719474,3.588869,2026-04-24,2026-05-14
2026-04-09,2026-06-01,30-65/南興公園+6/成家休閒,inactive,2905,2310,,,,,,545,3000,總經費,97,1.257576,3.339071,2026-04-28,2026-05-08
2026-04-09,2026-06-01,30-60/南興公園+6/追星興趣,inactive,4360,3164,,,2,424.5,actions:leadgen.other,849,3000,總經費,135,1.378003,3.09633,2026-04-29,2026-05-10
2026-04-09,2026-06-01,30-65/南興公園+6/綠/文藝/戶外,inactive,6796,5043,4,,2,683,actions:leadgen.other,1366,3000,總經費,225,1.347611,3.310771,2026-04-29,2026-05-10
2026-04-09,2026-06-01,30-65/南興公園+6/業務/名車(0502調,inactive,7014,5780,1,,2,715.5,actions:leadgen.other,1431,3000,總經費,239,1.213495,3.407471,2026-05-01,2026-05-10
2026-04-09,2026-06-01,30-65/南興公園+6/政治/置產/科技,inactive,8670,7080,9,,5,279.6,actions:leadgen.other,1398,3000,總經費,346,1.224576,3.990773,2026-05-01,2026-05-10
2026-04-09,2026-06-01,30-65/南興公園+6/教育/文學/育兒,inactive,3179,2778,,,,,,609,3000,總經費,93,1.144348,2.925448,2026-05-02,2026-05-13
2026-04-09,2026-06-01,30-65/南興公園+6/iphone/行動支付/信用卡,inactive,2607,2243,1,,,,,590,3000,總經費,94,1.162283,3.605677,2026-05-02,2026-05-13
