分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2026-04-09,2026-06-01,0512_雙捷運,not_delivering,332,310,,,,,,39,3000,總經費,19,1.070968,5.722892,2026-05-07,2026-05-17
2026-04-09,2026-06-01,0507_黑馬A版,not_delivering,426,386,,,,,,58,3000,總經費,16,1.103627,3.755869,2026-05-07,2026-05-17
2026-04-09,2026-06-01,0424_南興角地V2,inactive,1466,1284,,,,,,344,3000,總經費,51,1.141745,3.478854,2026-05-11,2026-05-22
2026-04-09,2026-06-01,0512_雙捷運,not_delivering,282,257,,,,,,53,3000,總經費,5,1.097276,1.77305,2026-05-11,2026-05-22
2026-04-09,2026-06-01,0410_訂簽68萬new,not_delivering,975,903,,,,,,376,3000,總經費,31,1.079734,3.179487,2026-05-11,2026-05-22
2026-04-09,2026-06-01,0507_黑馬A版,inactive,1597,1351,,1,1,,,208,3000,總經費,52,1.182087,3.256105,2026-05-11,2026-05-22
2026-04-09,2026-06-01,0508_黑馬B版,not_delivering,1396,1271,,,,,,196,3000,總經費,36,1.098348,2.578797,2026-05-11,2026-05-22
2026-04-09,2026-06-01,0424_南興角地V2,inactive,1797,1657,,1,2,171,actions:leadgen.other,342,7800,總經費,54,1.08449,3.005008,2026-04-09,2026-05-22
2026-04-09,2026-06-01,0512_雙捷運,not_delivering,1505,1328,,,,,,326,3000,總經費,24,1.133283,1.594684,2026-05-11,2026-05-22
2026-04-09,2026-06-01,0515_AI影片V2,not_delivering,811,669,,,,,,158,3000,總經費,12,1.212257,1.479655,2026-05-14,2026-05-25
2026-04-09,2026-06-01,0508_黑馬B版,not_delivering,4552,3835,1,,1,841,actions:leadgen.other,841,3000,總經費,93,1.186962,2.043058,2026-05-14,2026-05-25
2026-04-09,2026-06-01,0515_AI影片V2,not_delivering,2358,1351,,,,,,739,7800,總經費,62,1.745374,2.629347,2026-04-09,2026-05-22
2026-04-09,2026-06-01,0515_AI影片V2,not_delivering,2706,1947,,,2,384.5,actions:leadgen.other,769,9000,總經費,50,1.389831,1.847746,2026-04-09,2026-05-29
2026-04-09,2026-06-01,0515_AI影片V3,inactive,1947,1314,,,1,549,actions:leadgen.other,549,9000,總經費,37,1.481735,1.90036,2026-04-09,2026-05-29
2026-04-09,2026-06-01,0518_好市多森活圈,inactive,1233,951,1,,,,,453,9000,總經費,40,1.29653,3.24412,2026-04-09,2026-05-29
2026-04-09,2026-06-01,0515_AI影片V2,not_delivering,414,359,,,1,152,actions:leadgen.other,152,3500,總經費,20,1.153203,4.830918,2026-05-18,2026-05-29
