分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-06-30,2026-09-14,28-55/龍井+5/新婚成家/房產,inactive,15346,4446,31,20,14,222.69230769,actions:leadgen.other,2895,100,每日,732,4.769973,3.451642,2026-06-30,進行中
2026-06-30,2026-09-14,30-60/龍井中科/科技業/房產,inactive,2624,1368,1,,1,437,actions:leadgen.other,437,100,每日,68,2.591463,1.918129,2026-06-30,進行中
2026-06-30,2026-09-14,30-60/龍井沙鹿/零售批發自營,inactive,1816,1384,2,2,2,460,actions:leadgen.other,460,200,每日,64,3.524229,1.312139,2026-06-30,進行中
2026-06-30,2026-09-14,28-60/龍井+5/純房產(0803+南屯),inactive,17112,4050,18,10,21,171.70588235,actions:leadgen.other,2919,150,每日,632,3.693315,4.225185,2026-07-17,進行中
2026-06-30,2026-09-14,28-55/龍井+5/上班族(0824+靜宜),inactive,25281,5615,18,17,19,276.88235294,actions:leadgen.other,4707,200,每日,820,3.243543,4.502404,2026-07-17,進行中
2026-06-30,2026-09-14,28-55/龍井沙鹿/傳產/在地公務員,inactive,4288,1875,4,4,1,753,actions:leadgen.other,753,200,每日,110,2.565299,2.286933,2026-08-05,進行中
2026-06-30,2026-09-14,30-60/龍井伸港/上班族/家具設計,inactive,6104,2409,2,1,1,795,actions:leadgen.other,795,100,每日,196,3.211009,2.533831,2026-08-05,進行中
2026-06-30,2026-09-14,28-55/龍井沙鹿東海/有小孩寵物,inactive,4345,2287,6,2,1,774,actions:leadgen.other,774,150,每日,115,2.64672,1.899869,2026-08-18,進行中
2026-06-30,2026-09-14,28-55/龍井東海/投資興趣,inactive,7903,3094,5,6,5,365.5,actions:leadgen.other,1462,200,每日,234,2.960901,2.554299,2026-08-18,進行中
2026-06-30,2026-09-14,28-55/龍井靜宜/父母成家興趣,inactive,4153,2246,4,4,3,899,actions:leadgen.other,899,150,每日,122,2.937635,1.849065,2026-08-24,進行中
2026-06-30,2026-09-14,28-55/龍井靜宜/年輕人興趣,inactive,8967,3764,5,6,6,320.2,actions:leadgen.other,1601,150,每日,232,2.587264,2.382306,2026-08-24,進行中
2026-06-30,2026-09-14,30-60/龍井沙鹿/教授教育,inactive,10824,3720,8,5,4,572,actions:leadgen.other,2288,200,每日,335,3.094974,2.909677,2026-08-31,進行中
2026-06-30,2026-09-14,28-55/龍井+6/製造業/水電(N),active,410,320,,,,,,60,200,每日,10,2.439024,1.28125,2026-08-31,進行中
2026-06-30,2026-09-14,30-60/龍井+6/銷售/自營商,active,4759,2207,1,2,3,380.66666667,actions:leadgen.other,1142,200,每日,132,2.773692,2.156321,2026-08-31,進行中
