分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-02-10,2026-08-18,"30-55 / 龍井 / 零售批發自營(0618+東海)",inactive,44323,10475,2,,17,336.76470588,actions:leadgen.other,5725,300,每日,1426,3.217291,4.231313,2026-02-10,進行中
2026-02-10,2026-08-18,"30-55 / 靜宜東海 /  開店投資",inactive,3560,1886,,1,,,,603,300,每日,88,2.47191,1.887593,2026-02-10,進行中
2026-02-10,2026-08-18,"30-55 / 龍井 / 上班族家具設計",inactive,10831,4508,3,1,3,673,actions:leadgen.other,2019,350,每日,311,2.871388,2.402618,2026-03-06,2026-04-09
2026-02-10,2026-08-18,"30-55 / 沙鹿東海 / 零售批發自營",inactive,82783,17963,14,,39,370.66666667,actions:leadgen.other,14456,200,每日,2617,3.161277,4.608529,2026-03-13,進行中
2026-02-10,2026-08-18,"30-55 / 靜宜清水 / 零售批發自營(0505+嶺東)",inactive,24294,7912,2,1,12,397.08333333,actions:leadgen.other,4765,200,每日,703,2.893719,3.070526,2026-04-23,進行中
2026-02-10,2026-08-18,30-55/沙鹿東海嶺東/服務業開業,inactive,10576,4360,3,,6,389.66666667,actions:leadgen.other,2338,200,每日,389,3.678139,2.425688,2026-06-05,進行中
2026-02-10,2026-08-18,30-60/沙鹿東海嶺東/美業/零售業,inactive,2687,1634,1,,,,,646,200,每日,96,3.572758,1.644431,2026-06-17,進行中
2026-02-10,2026-08-18,30-55/龍井東海靜宜/居家事業/連鎖店,inactive,15295,5583,3,1,12,299.58333333,actions:leadgen.other,3595,200,每日,427,2.791762,2.739567,2026-06-22,2026-08-01
2026-02-10,2026-08-18,30-60/靜宜嶺東清水/居家事業/連鎖店,inactive,7186,3368,5,,5,268.6,actions:leadgen.other,1343,200,每日,283,3.938213,2.13361,2026-07-09,2026-08-01
2026-02-10,2026-08-18,30-60/龍井+8/居家事業/連鎖店,inactive,14683,5530,4,,12,209.66666667,actions:leadgen.other,2516,200,每日,514,3.500647,2.655154,2026-07-16,2026-08-01
2026-02-10,2026-08-18,30-60/龍井+8/生活用品/五金百貨,inactive,10668,4411,3,2,7,269.85714286,actions:leadgen.other,1889,150,每日,365,3.421447,2.418499,2026-07-31,進行中
