分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2024-03-22,2026-06-02,"30-65/ 雙北地區 / 高端業務保險",inactive,5916,2749,,2,11,133.27272727,actions:leadgen.other,1466,10000,總經費,302,5.104801,2.152055,2024-03-22,2026-06-01
2024-03-22,2026-06-02,"35-65/ 青埔+竹科 / 科技業+一點投資(4/17調",inactive,33157,7319,,10,66,102.27272727,actions:leadgen.other,6750,10000,總經費,1743,5.256809,4.530264,2024-03-22,2026-06-01
2024-03-22,2026-06-02,"35-65/ 雙北地區 / 精品愛旅遊(4/17調",inactive,22553,8167,3,3,17,274.17647059,actions:leadgen.other,4661,10000,總經費,837,3.711258,2.761479,2024-04-01,2026-06-01
2024-03-22,2026-06-02,35-65/再行銷,inactive,1732,1040,,,5,122.4,actions:leadgen.other,612,10000,總經費,139,8.025404,1.665385,2024-04-19,2026-06-01
2024-03-22,2026-06-02,"35-65/ 青埔+竹科 / 科技業+一點投資(4/17調",inactive,24662,6549,9,7,43,145.34883721,actions:leadgen.other,6250,10000,總經費,1176,4.76847,3.765766,2024-04-22,2026-06-01
2024-03-22,2026-06-02,35-65/再行銷,inactive,10332,3641,2,3,20,165.4,actions:leadgen.other,3308,10000,總經費,748,7.239644,2.837682,2024-04-22,2026-06-01
2024-03-22,2026-06-02,35-65/北部+誠佳+代代木1%,inactive,9090,3521,2,1,16,184.875,actions:leadgen.other,2958,10000,總經費,577,6.347635,2.581653,2024-05-08,2026-06-01
2024-03-22,2026-06-02,"35-65/ 青埔+竹科 / 科技業+一點投資(4/17調",inactive,28075,8833,,2,31,213.22580645,actions:leadgen.other,6610,10000,總經費,928,3.305432,3.178422,2024-05-22,2026-06-01
2024-03-22,2026-06-02,35-65/北部+誠佳+代代木1%,inactive,16961,6408,1,1,28,179.14285714,actions:leadgen.other,5016,10000,總經費,842,4.96433,2.646848,2024-05-22,2026-06-01
2024-03-22,2026-06-02,"35-65/ 青埔+竹科 / 金融業+高階(618調",inactive,10877,5606,,1,11,227.27272727,actions:leadgen.other,2500,10000,總經費,289,2.656983,1.940243,2024-06-12,2026-06-01
2024-03-22,2026-06-02,"35-65/ 青埔+竹科 /酒精夜生活股票",inactive,4156,2685,,,2,450,actions:leadgen.other,900,10000,總經費,131,3.152069,1.547858,2024-06-18,2026-06-01
2024-03-22,2026-06-02,"35-65/ 青埔+竹科 /酒精夜生活股票",inactive,1743,1299,,,,,,408,10000,總經費,46,2.639128,1.341801,2024-06-22,2026-06-01
2024-03-22,2026-06-02,"35-65/ 青埔+竹科 / 金融業+高階(618調",inactive,1649,1199,,,,,,437,10000,總經費,53,3.214069,1.375313,2024-06-22,2026-06-01
2024-03-22,2026-06-02,"35-65/ 華泰+大江國際 / 購物狂+貴婦",inactive,4571,2266,,,,,,1012,10000,總經費,108,2.362722,2.017211,2024-06-24,2026-06-01
2024-03-22,2026-06-02,"35-65/ 青埔+竹科 /教育私立雙語",inactive,10095,5702,,,6,464.33333333,actions:leadgen.other,2786,10000,總經費,269,2.664685,1.770431,2024-06-24,2026-06-01
2024-03-22,2026-06-02,"35-65/ 華泰+大江國際+竹科 / 科技業(7/15調整",inactive,31451,9224,2,,21,448.66666667,actions:leadgen.other,9422,10000,總經費,896,2.848876,3.409692,2024-07-01,2026-06-01
2024-03-22,2026-06-02,"35-65/ 華泰+大江國際+竹科 / 傳統產業+外商",inactive,4640,2264,,,3,459.33333333,actions:leadgen.other,1378,10000,總經費,156,3.362069,2.04947,2024-07-03,2026-06-01
2024-03-22,2026-06-02,"LILI NEW",inactive,26568,7686,2,1,31,254.51612903,actions:leadgen.other,7890,10000,總經費,823,3.097712,3.456674,2024-07-09,2026-06-01
2024-03-22,2026-06-02,"35-65/ 華泰+大江國際+竹科 /百萬業務員",inactive,16051,5639,,1,10,438.4,actions:leadgen.other,4384,10000,總經費,332,2.068407,2.846427,2024-07-10,2026-06-01
2024-03-22,2026-06-02,"35-65/ 華泰+大江國際+竹科 / 旅行日系精品",inactive,1709,1131,,,1,490,actions:leadgen.other,490,10000,總經費,37,2.165009,1.511052,2024-08-14,2026-06-01
2024-03-22,2026-06-02,"30-65 / 雙北 / 投資業務通勤",inactive,1851,1305,,,,,,453,10000,總經費,41,2.215019,1.418391,2024-08-14,2026-06-01
2024-03-22,2026-06-02,"35-65/ 華泰+大江國際+竹科 / 百萬年薪族群",inactive,5951,3220,1,,2,838.5,actions:leadgen.other,1677,10000,總經費,123,2.06688,1.848137,2024-08-16,2026-06-01
2024-03-22,2026-06-02,"35-65 / 青埔在地 / 名車名錶精品",inactive,10197,4626,,,2,1314,actions:leadgen.other,2628,10000,總經費,189,1.853486,2.20428,2024-08-21,2026-06-01
2024-03-22,2026-06-02,"35-65 / 雙北 / 通勤投資理財",inactive,14283,5939,1,,5,712.8,actions:leadgen.other,3564,10000,總經費,309,2.163411,2.40495,2024-08-21,2026-06-01
2024-03-22,2026-06-02,"35-65 / 青埔在地 / 律師+逛街美食",inactive,3308,2074,,,2,423.5,actions:leadgen.other,847,10000,總經費,54,1.632406,1.594986,2024-08-30,2026-06-01
2024-03-22,2026-06-02,"33-60 / 雙北 / YT+直播主",inactive,6792,3464,,,8,330.125,actions:leadgen.other,2641,10000,總經費,173,2.547114,1.960739,2024-09-02,2026-06-01
2024-03-22,2026-06-02,"35-65 / 正青埔 / 高知識軍公教(0905調",inactive,4958,2261,,,3,547,actions:leadgen.other,1641,10000,總經費,134,2.702703,2.192835,2024-09-03,2026-06-01
2024-03-22,2026-06-02,"35-65 / 正青埔 / 博弈八大精品",inactive,8682,3919,,1,6,357.66666667,actions:leadgen.other,2146,10000,總經費,133,1.531905,2.215361,2024-09-10,2026-06-01
2024-03-22,2026-06-02,"33-60 /新竹青埔 雙北 / 日本興趣",inactive,5997,2703,,,6,375.33333333,actions:leadgen.other,2252,10000,總經費,203,3.385026,2.218646,2024-09-11,2026-06-01
2024-03-22,2026-06-02,"35-65 / 青埔中歷 / 老闆高管",inactive,3193,1756,,,,,,699,150,每日,138,4.321954,1.818337,2026-05-01,進行中
2024-03-22,2026-06-02,"35-65 / 青埔竹科 / 金融投資",active,12694,6393,,,8,412.5,actions:leadgen.other,3300,150,每日,366,2.883252,1.985609,2026-05-01,進行中
2024-03-22,2026-06-02,"35-65 / 青埔蘆竹 / 經濟/科技",inactive,7885,3690,,,2,648.5,actions:leadgen.other,1297,200,每日,144,1.826252,2.136856,2026-05-05,進行中
2024-03-22,2026-06-02,"35-65 / 青埔+8 / 經濟/科技/旅遊",inactive,2762,1811,,,,,,474,150,每日,53,1.918899,1.525124,2026-05-11,進行中
2024-03-22,2026-06-02,"35-65 / 青埔蘆竹中壢 / 自營/投資/生活/稅(0521改地點)",inactive,11696,5205,,,4,523,actions:leadgen.other,2092,150,每日,196,1.675787,2.24707,2026-05-11,進行中
2024-03-22,2026-06-02,"35-65 / 青埔+8 / 金融投資",inactive,4976,2828,,,1,845,actions:leadgen.other,845,150,每日,86,1.728296,1.759547,2026-05-13,進行中
2024-03-22,2026-06-02,"35-65 / 青埔桃園 / 換屋/投資/高收/稅",inactive,2641,1550,,,,,,370,150,每日,31,1.173798,1.703871,2026-05-19,進行中
2024-03-22,2026-06-02,"35-65 / 青埔+8 / 金融/半退休/藝術品",active,5865,2838,,,3,485,actions:leadgen.other,1455,200,每日,148,2.523444,2.066596,2026-05-21,進行中
