分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-12-31,2026-09-10,35-65/基地+8K/有錢大家庭(0108擴大微調),inactive,11798,5700,,,4,655.5,actions:leadgen.other,2622,350,每日,484,4.10239,2.069825,2025-12-31,進行中
2025-12-31,2026-09-10,35-65/竹北東區/工程師,inactive,4390,2703,,,,,,857,300,每日,165,3.758542,1.624121,2026-01-02,進行中
2025-12-31,2026-09-10,35-65/竹北東區湖口/高階主管,active,20061,10182,1,1,10,567.8,actions:leadgen.other,5678,300,每日,699,3.484373,1.970242,2026-01-02,進行中
2025-12-31,2026-09-10,"35-65 / 竹北 / 高收興趣",inactive,3651,2046,,,,,,1210,400,每日,90,2.465078,1.784457,2026-01-05,進行中
2025-12-31,2026-09-10,"30-60 / 竹北湖口 / 精品房產(0120+興趣)",active,26883,13107,,,17,305.76470588,actions:leadgen.other,5198,300,每日,1131,4.20712,2.051041,2026-01-08,進行中
2025-12-31,2026-09-10,"30-60 / 竹北東區 / 科技新貴",inactive,4042,1979,,,,,,963,350,每日,153,3.785255,2.042446,2026-01-09,進行中
2025-12-31,2026-09-10,"30-65 / 竹北東區北區 / 醫生律師",inactive,7087,4822,,,1,1346,actions:leadgen.other,1346,350,每日,278,3.922675,1.469722,2026-01-12,進行中
2025-12-31,2026-09-10,"30-60 / 竹北 / 醫材銷售(0120+興趣)",inactive,11177,6946,1,,2,1038.5,actions:leadgen.other,2077,350,每日,365,3.265635,1.609128,2026-01-16,進行中
2025-12-31,2026-09-10,"30-60 / 東區關埔 / 三代同堂",inactive,6409,4131,,,,,,1336,350,每日,200,3.120612,1.55144,2026-01-16,進行中
2025-12-31,2026-09-10,"30-60 / 湖口 / 科技業家庭",inactive,3488,2396,,,,,,637,350,每日,102,2.924312,1.45576,2026-01-20,進行中
2025-12-31,2026-09-10,"40-65 / 竹北科 / 高收親子興趣",inactive,6524,4022,3,,1,1515,actions:leadgen.other,1515,350,每日,284,4.353158,1.622079,2026-01-22,進行中
2025-12-31,2026-09-10,"35-65 / 東區 / 政治文教健康(0123區域微調",inactive,6016,3658,,,,,,1510,350,每日,217,3.607048,1.644615,2026-01-22,進行中
2025-12-31,2026-09-10,"30-60 / 竹北+3K / 精品房產",inactive,16870,8330,,,6,517.16666667,actions:leadgen.other,3103,300,每日,598,3.544754,2.02521,2026-01-22,2026-01-30
2025-12-31,2026-09-10,"30-60 / 湖口 / 通訊工程",inactive,7362,4608,,,3,475,actions:leadgen.other,1425,300,每日,234,3.178484,1.597656,2026-01-27,2026-01-30
2025-12-31,2026-09-10,"30-60 / 竹東 / 工業研究",inactive,6267,3871,1,,2,649.5,actions:leadgen.other,1299,300,每日,212,3.382799,1.618962,2026-01-27,2026-01-30
2025-12-31,2026-09-10,30-65/竹北東區湖口/科技業/股票/AI,active,4,1,,,,,,1,300,每日,0,0,4,2026-09-09,進行中
