分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,粉絲專頁互動,開始,結束時間
2024-03-16,2026-05-29,32-65/西屯北屯/置產+醫生興趣,inactive,1739,1124,,1,2,385,actions:leadgen.other,770,3000,總經費,95,5.46291,29,2024-03-16,2024-03-25
2024-03-16,2026-05-29,32-65/西屯北屯/自營商/傳產/品酒/高爾夫,inactive,1101,764,,1,1,445,actions:leadgen.other,445,2600,總經費,72,6.53951,23,2024-03-16,2024-03-24
2024-03-16,2026-05-29,澄石+藏富+北屯高總1%(0326二調),inactive,13568,7966,3,,25,260,actions:leadgen.other,6500,6500,總經費,693,5.107606,237,2024-03-17,2024-04-15
2024-03-16,2026-05-29,35-65/西屯水湳/閱讀/喜愛自然/酒類(0406三調),inactive,13059,6596,3,,15,425.26666667,actions:leadgen.other,6379,7300,總經費,702,5.375603,257,2024-03-18,2024-04-15
2024-03-16,2026-05-29,32-65/西屯北屯中科/科技+精品興趣(0326調,inactive,5355,2858,,1,7,396.42857143,actions:leadgen.other,2775,6000,總經費,266,4.96732,76,2024-03-19,2024-04-06
2024-03-16,2026-05-29,"32-60/北屯西屯/ 年輕人興趣/成家/投資(放大北台中",inactive,1314,1016,,,,,,718,3000,總經費,68,5.175038,26,2024-03-19,2024-03-31
2024-03-16,2026-05-29,32-65/西屯北屯/律師/銀行業/教育/外語/成家(0326調),inactive,2107,1446,,,2,545.5,actions:leadgen.other,1091,2300,總經費,90,4.271476,33,2024-03-22,2024-03-31
2024-03-16,2026-05-29,33-65/西屯南屯/注重教育/銀行業/理財顧問(0412二調),inactive,3315,2615,,,,,,1542,1600,總經費,115,3.46908,44,2024-03-26,2024-04-15
2024-03-16,2026-05-29,再行銷,inactive,4239,2903,,,8,250,actions:leadgen.other,2000,2000,總經費,206,4.859637,84,2024-03-27,2024-04-05
2024-03-16,2026-05-29,32-65/西屯南屯/文藝興趣/成家/投資(0405調),inactive,6359,3912,,,5,589.8,actions:leadgen.other,2949,4800,總經費,185,2.909262,77,2024-03-28,2024-04-15
