分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-03-12,2026-07-09,"30-50 / 北屯松竹 / 投資換屋",inactive,2694,1650,,,1,1109,actions:leadgen.other,1109,200,每日,69,2.561247,1.632727,2026-03-12,進行中
2026-03-12,2026-07-09,"28-45 / 北屯洲際 / 自營商家庭",inactive,7328,4010,1,1,3,849.66666667,actions:leadgen.other,2549,300,每日,132,1.80131,1.827431,2026-03-12,進行中
2026-03-12,2026-07-09,30-65/北屯潭子水湳/成家興趣/公務員,inactive,2311,1558,,,,,,841,200,每日,52,2.250108,1.483312,2026-03-12,進行中
2026-03-12,2026-07-09,"28-50 / 松竹 / 房地產",inactive,2549,1918,,,,,,1210,300,每日,35,1.373087,1.328989,2026-03-25,進行中
2026-03-12,2026-07-09,"28-50 / 北屯潭子 / 股票精品",inactive,1906,1472,,,,,,937,300,每日,26,1.364113,1.294837,2026-03-27,進行中
2026-03-12,2026-07-09,"27-55 / 十期 / 591房產/上班族",inactive,2240,1677,,,,,,935,300,每日,28,1.25,1.335719,2026-03-27,進行中
2026-03-12,2026-07-09,"27-55 / 北屯潭子/ 年輕人興趣",inactive,4932,3218,,,2,1115,actions:leadgen.other,2230,200,每日,62,1.257097,1.532629,2026-03-27,進行中
2026-03-12,2026-07-09,"30-50 / 北屯洲際 /  自由業",inactive,1558,1240,,,,,,589,300,每日,25,1.604621,1.256452,2026-03-30,進行中
2026-03-12,2026-07-09,"30-50 / 太原洲際 /  金融房產",inactive,1526,1225,,,,,,601,300,每日,24,1.572739,1.245714,2026-03-30,進行中
2026-03-12,2026-07-09,"30-50 / 北屯潭子 /  旅遊房產",inactive,1323,1117,,,,,,570,300,每日,13,0.982615,1.184423,2026-03-30,進行中
2026-03-12,2026-07-09,小艾中部2000以下網站訪客_180天_網頁瀏覽,inactive,738,515,,,,,,567,使用行銷活動預算,0,24,3.252033,1.43301,2026-03-31,進行中
2026-03-12,2026-07-09,28-60/北屯潭子+3/房地產591,inactive,1552,1218,1,,,,,584,使用行銷活動預算,0,20,1.28866,1.27422,2026-04-01,進行中
2026-03-12,2026-07-09,28-60/北屯潭子+3/房地產+父母,not_delivering,3686,2502,,,2,651.5,actions:leadgen.other,1303,使用行銷活動預算,0,67,1.817689,1.473221,2026-04-01,進行中
2026-03-12,2026-07-09,小艾中部2000以上網站訪客_180天_網頁瀏覽,not_delivering,67,56,,,,,,35,使用行銷活動預算,0,3,4.477612,1.196429,2026-04-01,進行中
