分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-05-05,2026-09-15,25-65/大台中/1%+純房地產興趣(0506調,inactive,4375,3926,2,,1,910,actions:leadgen.other,910,500,每日,149,3.405714,1.114366,2026-05-05,進行中
2026-05-05,2026-09-15,"28-60 / 竹科 / 科技業/股票",inactive,6663,2931,3,2,1,1501,actions:leadgen.other,1501,300,每日,142,2.131172,2.273286,2026-05-20,進行中
2026-05-05,2026-09-15,"28-60 / 彰市台中市區 / 置產客",inactive,2700,2338,3,,,,,675,300,每日,76,2.814815,1.154833,2026-05-20,進行中
2026-05-05,2026-09-15,"28-60 / 東區太平 / 上班族/成家",inactive,7654,4977,,,2,922.5,actions:leadgen.other,1845,300,每日,192,2.508492,1.537874,2026-05-20,進行中
2026-05-05,2026-09-15,"35-60 / 南屯西屯烏日 / 置產客/精品/進口代理",inactive,8589,7058,4,2,3,694.33333333,actions:leadgen.other,2083,300,每日,332,3.865409,1.216917,2026-05-25,進行中
2026-05-05,2026-09-15,"40-65 / 西屯北屯 / 置產客/高爾夫/豪車",inactive,5240,4096,,,1,1067,actions:leadgen.other,1067,300,每日,122,2.328244,1.279297,2026-05-25,進行中
2026-05-05,2026-09-15,"35-60 / 中科 / 工程師/主管(0601擴大)",inactive,16990,10267,2,1,8,381,actions:leadgen.other,3048,250,每日,363,2.136551,1.654816,2026-05-26,進行中
2026-05-05,2026-09-15,35-60/中科/主管/旅遊/投資置產**,inactive,20451,12634,1,3,11,373.63636364,actions:leadgen.other,4110,250,每日,552,2.699135,1.618727,2026-05-27,進行中
2026-05-05,2026-09-15,"35-60 / 水湳中科 / 置產客/高學歷/生物科技",inactive,4757,3425,,,1,1211,actions:leadgen.other,1211,300,每日,113,2.375447,1.388905,2026-05-28,進行中
2026-05-05,2026-09-15,"35-60 / 南屯西屯烏日 / 置產客/常旅行/投資者",inactive,5657,4528,,,1,1243,actions:leadgen.other,1243,300,每日,157,2.775323,1.249337,2026-05-29,進行中
2026-05-05,2026-09-15,"30-55 / 中科 / 置產客/雙語/國際學校",inactive,1991,1702,,,,,,338,300,每日,37,1.858363,1.1698,2026-06-01,進行中
2026-05-05,2026-09-15,30-60/中科水湳/金融科技/投資置產,inactive,8857,5518,,,3,575.33333333,actions:leadgen.other,1726,250,每日,195,2.201648,1.605111,2026-06-04,進行中
2026-05-05,2026-09-15,30-60/水湳西區/投顧高管/置產客,archived,1,1,,,,,,1,250,每日,0,0,1,2026-06-04,進行中
2026-05-05,2026-09-15,30-60/中科水湳/投顧高管/置產客(0609改地點),inactive,2104,1679,,,,,,414,250,每日,47,2.23384,1.253127,2026-06-08,進行中
2026-05-05,2026-09-15,30-60/好市多+6/精裝興趣/投資置產,inactive,3521,2952,,,1,687,actions:leadgen.other,687,250,每日,89,2.527691,1.192751,2026-06-09,進行中
2026-05-05,2026-09-15,30-65/洲際+6/置產/醫師/高管,inactive,3780,2727,1,,2,511,actions:leadgen.other,1022,250,每日,127,3.359788,1.386139,2026-06-11,進行中
2026-05-05,2026-09-15,28-55/洲際+6/置產/個人品牌/自媒體,inactive,3493,2721,2,1,3,373.5,actions:leadgen.other,747,250,每日,102,2.920126,1.283719,2026-06-12,進行中
2026-05-05,2026-09-15,28-55/中科逢甲/置產客/自營商/高收職業,inactive,17690,9372,7,7,11,301,actions:leadgen.other,2709,200,每日,493,2.786885,1.887537,2026-06-12,進行中
2026-05-05,2026-09-15,28-55/中科逢甲/科技新貴/旅遊,inactive,29627,13405,5,5,18,314.11764706,actions:leadgen.other,5340,300,每日,920,3.105276,2.210145,2026-06-24,進行中
2026-05-05,2026-09-15,30-55/洲際逢甲/生技/家長/置產,inactive,16452,9082,1,1,8,366.5,actions:leadgen.other,2932,300,每日,576,3.501094,1.811495,2026-07-01,進行中
