分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間,轉換率排名
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),inactive,1060,854,,,,,,552,200,每日,17,0.943396,1.241218,2026-03-27,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,3872,2672,,,2,839,actions:leadgen.other,1678,200,每日,45,0.671488,1.449102,2026-03-27,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,888,727,,,,,,234,300,每日,16,0.900901,1.221458,2026-03-30,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),not_delivering,670,560,,,,,,355,300,每日,9,0.597015,1.196429,2026-03-30,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,1169,980,,,,,,423,300,每日,20,1.368691,1.192857,2026-03-30,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),not_delivering,357,330,,,,,,178,300,每日,4,0.560224,1.081818,2026-03-30,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(影片),not_delivering,359,331,,,,,,183,300,每日,3,,1.084592,2026-03-30,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,964,828,,,,,,387,300,每日,10,0.829876,1.164251,2026-03-30,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,738,515,,,,,,567,使用行銷活動預算,0,24,1.626016,1.43301,2026-03-31,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,1552,1218,1,,,,,584,使用行銷活動預算,0,20,0.451031,1.27422,2026-04-01,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,3686,2502,,,2,651.5,actions:leadgen.other,1303,使用行銷活動預算,0,67,1.085187,1.473221,2026-04-01,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,67,56,,,,,,35,使用行銷活動預算,0,3,2.985075,1.196429,2026-04-01,進行中,-
2026-03-12,2026-07-21,0325_百萬精裝修(單圖),not_delivering,572,509,,,,,,172,使用行銷活動預算,0,4,0.524476,1.123772,2026-04-02,進行中,-
