分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-04-09,2026-07-21,0507_黑馬A版,inactive,1597,1351,,1,1,,,208,3000,總經費,52,3.256105,1.182087,2026-05-11,2026-05-22
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,1396,1271,,,,,,196,3000,總經費,36,2.578797,1.098348,2026-05-11,2026-05-22
2026-04-09,2026-07-21,0424_南興角地V2,inactive,1797,1657,,1,2,171,actions:leadgen.other,342,7500,總經費,54,3.005008,1.08449,2026-04-09,2026-06-15
2026-04-09,2026-07-21,0512_雙捷運,not_delivering,1505,1328,,,,,,326,3000,總經費,24,1.594684,1.133283,2026-05-11,2026-05-22
2026-04-09,2026-07-21,0515_AI影片V2,not_delivering,811,669,,,,,,158,3000,總經費,12,1.479655,1.212257,2026-05-14,2026-05-25
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,4552,3835,1,,1,841,actions:leadgen.other,841,3000,總經費,93,2.043058,1.186962,2026-05-14,2026-05-25
2026-04-09,2026-07-21,0515_AI影片V2,inactive,2358,1351,,,,,,739,7500,總經費,62,2.629347,1.745374,2026-04-09,2026-06-15
2026-04-09,2026-07-21,0515_AI影片V2,not_delivering,2710,1953,,,2,386.5,actions:leadgen.other,773,10000,總經費,50,1.845018,1.387609,2026-04-09,2026-06-20
2026-04-09,2026-07-21,0515_AI影片V3,inactive,1947,1314,,,1,549,actions:leadgen.other,549,10000,總經費,37,1.90036,1.481735,2026-04-09,2026-06-20
2026-04-09,2026-07-21,0518_好市多森活圈,inactive,1233,951,1,,,,,453,10000,總經費,40,3.24412,1.29653,2026-04-09,2026-06-20
2026-04-09,2026-07-21,0515_AI影片V2,not_delivering,414,359,,,1,152,actions:leadgen.other,152,5000,總經費,20,4.830918,1.153203,2026-05-18,2026-06-20
