分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,頻率,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（連結點閱率）,開始,結束時間,廣告組合預算,廣告組合預算類型
2026-04-09,2026-06-08,30-65/南興公園+6/父母成家興趣,inactive,37901,2.155793,17581,47,12,43,167.43902439,actions:leadgen.other,6865,1896,0.999974,2026-04-09,2026-05-22,7800,總經費
2026-04-09,2026-06-08,28-55/南興公園+6/科技新貴/旅遊(0502微調受眾,inactive,40652,2.351866,17285,52,24,43,187.225,actions:leadgen.other,7489,1857,0.922464,2026-04-09,2026-05-29,9000,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/年輕興趣(曝光問題關閉),inactive,19,1,19,,,,,,14,0,,2026-04-21,2026-04-30,2500,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/金融投資(曝光問題關閉),inactive,3,1,3,,,,,,0,0,,2026-04-21,2026-04-30,2500,總經費
2026-04-09,2026-06-08,"30-65/南興公園+6/年輕興趣 - 複本",inactive,3607,1.181848,3052,3,,1,691,actions:leadgen.other,691,135,0.582201,2026-04-22,2026-04-30,2500,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/金融投資,inactive,32778,1.752085,18708,18,,22,257.5,actions:leadgen.other,5665,1466,0.918299,2026-04-22,2026-05-14,6500,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/置產/醫師/高管,inactive,16997,1.719474,9885,6,,16,201.9375,actions:leadgen.other,3231,610,1.088427,2026-04-24,2026-05-14,6000,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/成家休閒,inactive,2905,1.257576,2310,,,,,,545,97,0.791738,2026-04-28,2026-05-08,3000,總經費
2026-04-09,2026-06-08,30-60/南興公園+6/追星興趣,inactive,4360,1.378003,3164,,,2,424.5,actions:leadgen.other,849,135,0.711009,2026-04-29,2026-05-10,3000,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/綠/文藝/戶外,inactive,6796,1.347611,5043,4,,2,683,actions:leadgen.other,1366,225,0.868158,2026-04-29,2026-05-10,3000,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/業務/名車(0502調,inactive,7014,1.213495,5780,1,,2,715.5,actions:leadgen.other,1431,239,0.798403,2026-05-01,2026-05-10,3000,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/政治/置產/科技,inactive,8670,1.224576,7080,9,,5,279.6,actions:leadgen.other,1398,346,0.807382,2026-05-01,2026-05-10,3000,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/教育/文學/育兒,inactive,3179,1.144348,2778,,,,,,609,93,0.754954,2026-05-02,2026-05-13,3000,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/iphone/行動支付/信用卡,inactive,2607,1.162283,2243,1,,,,,590,94,0.805524,2026-05-02,2026-05-13,3000,總經費
2026-04-09,2026-06-08,30-65/好市多+6/父母成家興趣,inactive,1611,1.10041,1464,1,,1,303,actions:leadgen.other,303,53,0.558659,2026-05-04,進行中,300,每日
2026-04-09,2026-06-08,28-55/好市多+6/科技新貴/旅遊,inactive,1531,1.315292,1164,1,,,,,296,44,0.653168,2026-05-04,進行中,300,每日
2026-04-09,2026-06-08,30-65/南興公園+6/科技生活品質,inactive,2906,1.117263,2601,,,,,,518,78,0.688231,2026-05-07,2026-05-17,3000,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/父母名車興趣,inactive,11094,1.341962,8267,,,7,315.57142857,actions:leadgen.other,2209,318,0.811249,2026-05-07,2026-05-17,3000,總經費
2026-04-09,2026-06-08,30-58/南興公園+20/科技工程師(純FB,inactive,2723,1.156754,2354,,,,,,773,87,0.807932,2026-05-11,2026-05-22,3000,總經費
2026-04-09,2026-06-08,30-65/南興公園+20/房產精品興趣,inactive,4498,1.275305,3527,,1,1,,,730,112,0.711427,2026-05-11,2026-05-22,3000,總經費
2026-04-09,2026-06-08,30-65/南興公園+6/父母旅遊興趣,inactive,5363,1.261289,4252,1,,1,999,actions:leadgen.other,999,105,0.727205,2026-05-14,2026-05-25,3000,總經費
2026-04-09,2026-06-08,33-64/南興公園+6/享受生活/父母,inactive,7097,1.580272,4491,2,,2,1207,actions:leadgen.other,2414,199,0.859518,2026-05-18,2026-05-29,3500,總經費
2026-04-09,2026-06-08,"35-65 / 豐原潭子 / 個人儲蓄 製造業 上班族",inactive,1936,1.270341,1524,1,,,,,470,47,0.671488,2026-05-26,2026-06-06,2000,總經費
2026-04-09,2026-06-08,"35-65 / 豐原潭子 / 個人儲蓄 製造業 上班族",inactive,2105,1.316448,1599,,,1,473,actions:leadgen.other,473,49,0.997625,2026-05-26,2026-06-06,2000,總經費
2026-04-09,2026-06-08,"30-55 / 洲際+8K / 置產客/自營商/高收職業",active,15613,1.654621,9436,1,,10,306,actions:leadgen.other,3060,477,0.614872,2026-05-28,進行中,250,每日
2026-04-09,2026-06-08,30-60/好市多+6/自營商/投資置產,inactive,1788,1.113325,1606,,,,,,291,50,0.391499,2026-05-04,進行中,300,每日
2026-04-09,2026-06-08,30-65/好市多+6/電子工程/商管/教授,inactive,1246,1.075065,1159,1,,,,,313,43,0.481541,2026-05-04,進行中,300,每日
