分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2023-06-09,2026-07-09,"35-65 / 沙鹿在地 / 工程師+興趣",inactive,38475,9101,8,25,,344.32,actions:onsite_conversion.messaging_conversation_started_7d,8608,9500,總經費,1534,0.951267,4.227557,2024-08-07,2024-10-09
2023-06-09,2026-07-09,"30-65 / 沙鹿清水 / 591+房地產",inactive,420,253,,1,,57,actions:onsite_conversion.messaging_conversation_started_7d,57,1000,總經費,33,1.190476,1.660079,2024-09-11,2024-10-08
2023-06-09,2026-07-09,"30-65 / 沙鹿清水 / 591+房地產 - 複本",not_delivering,122688,26372,7,20,,4.87934028,actions:post_engagement,5621,220,每日,3411,0.793884,4.652207,2024-09-13,2024-10-08
2023-06-09,2026-07-09,"28-55 / 北屯中清東海沙鹿 /青年成家",inactive,2220,1108,,,2,749.5,actions:leadgen.other,1499,2800,總經費,85,1.036036,2.00361,2024-10-04,2024-10-15
2023-06-09,2026-07-09,"35-65 / 沙鹿在地 / 食品加工企業",inactive,2852,1145,,,,,,634,2800,總經費,103,0.631136,2.49083,2024-10-04,2024-10-21
2023-06-09,2026-07-09,"28-65 / 沙鹿東海中科 / 年輕成家(簡易)",not_delivering,15830,8211,28,6,24,109.375,actions:leadgen.other,2625,5000,總經費,1052,0.795957,1.927902,2024-10-15,2024-11-05
2023-06-09,2026-07-09,"35-65 / 沙鹿在地 / 科技業+登山",not_delivering,9453,2978,1,5,,426.6,actions:onsite_conversion.messaging_conversation_started_7d,2133,3000,總經費,416,1.33291,3.174278,2024-10-16,2024-10-31
2023-06-09,2026-07-09,"【1510】清水 沙鹿 / 房地產 自住 上班 (0103調整)",inactive,8962,3538,,,3,686.66666667,actions:leadgen.other,2060,250,每日,389,0.557911,2.53307,2024-12-27,進行中
2023-06-09,2026-07-09,"33-65/ 中科+沙鹿/ 在意生活品質",inactive,3250,2030,,,1,1028,actions:onsite_conversion.lead_grouped,1028,3000,總經費,71,0.676923,1.600985,2025-01-06,2025-01-15
2023-06-09,2026-07-09,"清水 沙鹿 中科 / 質感設計 成家首購",inactive,7037,3289,1,1,3,666,actions:leadgen.other,1998,2000,總經費,144,0.582635,2.139556,2025-01-16,2025-01-24
2023-06-09,2026-07-09,"【1510】沙鹿 清水 中科 / 精品 首購",inactive,5069,2313,,,,,,867,200,每日,199,0.552377,2.191526,2025-01-22,進行中
2023-06-09,2026-07-09,"沙鹿 清水 神岡  / 傳產製造 倉儲航運(0314調)",inactive,69977,22248,21,27,,336.66666667,actions:onsite_conversion.messaging_conversation_started_7d,9090,300,每日,3181,0.980322,3.145316,2025-02-10,進行中
2023-06-09,2026-07-09,"30-65/沙鹿 中科 大雅/高科技 藝術時尚",not_delivering,657,469,,,,,,264,2800,總經費,12,0.152207,1.400853,2025-02-25,2025-03-23
