分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-02-23,2026-06-01,"30-55/ 東區太平/ 房產591",inactive,10862,4504,1,2,7,650.57142857,actions:leadgen.other,4554,4700,總經費,232,0.957466,2.411634,2026-02-23,2026-03-16
2026-02-23,2026-06-01,"40-65/ 東區 / 傳產製造投資",inactive,2181,1422,,,,,,552,4000,總經費,55,1.008712,1.533755,2026-03-03,2026-03-13
2026-02-23,2026-06-01,"35-65/ 台中市區 / 電商網拍",inactive,18850,11409,1,4,11,621.54545455,actions:leadgen.other,6837,7800,總經費,422,0.896552,1.652204,2026-03-04,2026-03-22
2026-02-23,2026-06-01,"30-55/ 中山醫太平 / 醫生興趣",inactive,7432,4584,,,1,2515,actions:leadgen.other,2515,2700,總經費,177,0.914962,1.621291,2026-03-04,2026-03-16
2026-02-23,2026-06-01,28-60/台中市區/科技機械,inactive,5841,3263,2,1,2,1374,actions:leadgen.other,2748,5500,總經費,144,1.027221,1.79007,2026-03-04,2026-03-16
2026-02-23,2026-06-01,"30-55/ 中山醫太平 / 金融業",inactive,11126,5096,,,5,625.6,actions:leadgen.other,3128,4800,總經費,218,0.781952,2.183281,2026-03-06,2026-03-16
2026-02-23,2026-06-01,"28-60/ 北屯洲際東區 / 體育購物精品",inactive,2797,2476,1,,,,,962,5900,總經費,71,1.144083,1.129645,2026-03-10,2026-03-22
2026-02-23,2026-06-01,"28-60/ 十期水湳 / 公務員+財務相關",inactive,2212,1628,,,,,,943,5900,總經費,44,0.768535,1.358722,2026-03-10,2026-03-22
2026-02-23,2026-06-01,"28-65 / 台中市區 / 再行銷",inactive,2876,1664,,,1,1355,actions:leadgen.other,1355,1500,總經費,71,0.904033,1.728365,2026-03-13,2026-03-16
2026-02-23,2026-06-01,"28-65 / 台中市區 / 1%公務員",inactive,2874,1621,1,,,,,1372,1500,總經費,66,0.904662,1.77298,2026-03-13,2026-03-16
2026-02-23,2026-06-01,"28-40/ 台中市區 / 年輕投資",inactive,5254,3871,1,,,,,1717,2700,總經費,74,0.685192,1.357272,2026-03-16,2026-03-22
2026-02-23,2026-06-01,"35-60 / 東區大里太平 / 收租父輩退休",inactive,5528,3570,,,,,,1774,2700,總經費,144,1.157742,1.548459,2026-03-16,2026-03-22
2026-02-23,2026-06-01,"30-60 / 東區北區大里 / 自營商/貿易/有家庭",inactive,2249,1386,,,3,578,actions:leadgen.other,1734,300,每日,73,1.600711,1.622655,2026-05-23,進行中
2026-02-23,2026-06-01,"30-55 / 南區大里東區 / 年輕人/自由業/成家",inactive,3262,1739,,,2,1188,actions:leadgen.other,2376,300,每日,95,1.103617,1.875791,2026-05-23,進行中
