分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-02-23,2026-06-01,0525_音樂嘉年華,not_delivering,18314,10718,,,,45.99738757,reach,493,500,總經費,97,,1.708714,2026-05-25,2026-05-31
2026-02-23,2026-06-01,0223_影片,active,360,344,,,1,285,actions:leadgen.other,285,300,每日,17,2.5,1.046512,2026-05-27,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,inactive,488,381,,,,,,333,300,每日,9,0.409836,1.28084,2026-05-27,進行中
2026-02-23,2026-06-01,0415_驕傲棟距,active,87,81,,,,,,50,300,每日,0,,1.074074,2026-05-27,進行中
2026-02-23,2026-06-01,0422_短影片,inactive,937,786,,,1,1022,actions:leadgen.other,1022,300,每日,34,2.134472,1.192112,2026-05-27,進行中
2026-02-23,2026-06-01,0401_立可交屋,active,567,454,,,1,277,actions:leadgen.other,277,300,每日,11,0.881834,1.248899,2026-05-29,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,active,1209,801,,,2,372.5,actions:leadgen.other,745,300,每日,32,0.578991,1.509363,2026-05-29,進行中
2026-02-23,2026-06-01,0223_影片,not_delivering,306,277,,,,,,177,300,每日,3,0.653595,1.104693,2026-05-29,進行中
2026-02-23,2026-06-01,0422_短影片,inactive,759,640,1,,,,,722,300,每日,20,0.922266,1.185938,2026-05-29,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,not_delivering,248,204,,,,,,142,300,每日,2,0.403226,1.215686,2026-05-29,進行中
2026-02-23,2026-06-01,0401_立可交屋,active,8,8,,,,,,1,300,每日,0,,1,2026-05-29,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,inactive,651,559,,,,,,427,300,每日,6,0.30722,1.16458,2026-05-29,進行中
2026-02-23,2026-06-01,0223_影片,active,548,483,,,1,503,actions:leadgen.other,503,300,每日,9,1.094891,1.134576,2026-05-29,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,active,705,544,,,,,,294,300,每日,11,0.567376,1.295956,2026-05-29,進行中
2026-02-23,2026-06-01,0415_驕傲棟距,active,1620,1162,,,1,750,actions:leadgen.other,750,300,每日,32,0.925926,1.394148,2026-05-29,進行中
2026-02-23,2026-06-01,"0422_短影片 - 複本",not_delivering,78,72,,,,,,72,4300,總經費,4,3.846154,1.083333,2026-03-04,2026-05-22
2026-02-23,2026-06-01,0415_驕傲棟距,not_delivering,123,119,,,,,,18,3600,總經費,1,0.813008,1.033613,2026-03-04,2026-05-22
2026-02-23,2026-06-01,0422_短影片,not_delivering,714,662,,,,,,445,3600,總經費,19,1.260504,1.07855,2026-03-04,2026-05-22
2026-02-23,2026-06-01,0223_高人氣高含金,not_delivering,115,100,,,,,,31,300,每日,2,,1.15,2026-05-23,進行中
2026-02-23,2026-06-01,0422_短影片,inactive,1337,972,,,2,607,actions:leadgen.other,1214,300,每日,57,2.169035,1.375514,2026-05-23,進行中
2026-02-23,2026-06-01,0415_驕傲棟距,not_delivering,498,340,,,,,,192,300,每日,7,0.401606,1.464706,2026-05-23,進行中
2026-02-23,2026-06-01,0415_驕傲棟距,not_delivering,797,504,,,1,489,actions:leadgen.other,489,300,每日,14,0.878294,1.581349,2026-05-23,進行中
2026-02-23,2026-06-01,0422_短影片,inactive,2084,1240,,,2,936,actions:leadgen.other,1872,300,每日,76,1.487524,1.680645,2026-05-23,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,not_delivering,680,507,,,,,,312,300,每日,12,0.441176,1.341223,2026-05-23,進行中
2026-02-23,2026-06-01,0223_影片,inactive,173,157,,,,,,111,300,每日,4,1.734104,1.101911,2026-05-23,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,not_delivering,2564,1518,,,4,350.5,actions:leadgen.other,1402,300,每日,48,0.897036,1.689065,2026-05-23,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,not_delivering,432,359,,,,,,218,200,每日,7,0.231481,1.203343,2026-05-23,進行中
2026-02-23,2026-06-01,0223_影片,not_delivering,610,488,1,,,,,337,200,每日,27,2.295082,1.25,2026-05-23,進行中
2026-02-23,2026-06-01,0415_驕傲棟距,not_delivering,204,166,,,,,,143,300,每日,12,3.431373,1.228916,2026-05-26,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,inactive,640,502,,,,,,422,300,每日,9,0.625,1.2749,2026-05-26,進行中
2026-02-23,2026-06-01,0401_立可交屋,not_delivering,372,291,,,,,,357,300,每日,8,0.537634,1.278351,2026-05-26,進行中
2026-02-23,2026-06-01,0401_立可交屋,not_delivering,638,488,,,,,,533,300,每日,8,0.783699,1.307377,2026-05-23,進行中
2026-02-23,2026-06-01,0401_立可交屋,not_delivering,252,208,,,,,,171,300,每日,4,,1.211538,2026-05-27,進行中
2026-02-23,2026-06-01,0415_驕傲棟距,not_delivering,337,271,,,,,,169,300,每日,4,0.296736,1.243542,2026-05-27,進行中
2026-02-23,2026-06-01,0223_高人氣高含金,inactive,483,406,,,,,,341,300,每日,8,0.621118,1.189655,2026-05-27,進行中
2026-02-23,2026-06-01,"0422_短影片 - 複本",not_delivering,44,40,,,,,,19,233,每日,2,,1.1,2026-04-29,2026-05-22
2026-02-23,2026-06-01,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,2182,1547,,,1,824,actions:leadgen.other,824,233,每日,44,0.96242,1.410472,2026-04-29,2026-05-22
2026-02-23,2026-06-01,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",not_delivering,91,84,,,,,,26,233,每日,4,4.395604,1.083333,2026-04-29,2026-05-22
2026-02-23,2026-06-01,"0422_短影片 - 複本",not_delivering,1160,990,,,,,,771,233,每日,41,1.465517,1.171717,2026-04-29,2026-05-22
2026-02-23,2026-06-01,0506_B20外企,inactive,701,504,,,,,,307,233,每日,34,1.426534,1.390873,2026-04-29,2026-05-22
2026-02-23,2026-06-01,"0506_B20外企 - 複本",not_delivering,292,213,,,,,,137,233,每日,6,0.342466,1.370892,2026-04-29,2026-05-22
2026-02-23,2026-06-01,"0506_B20外企 - 複本",inactive,2474,1307,1,,1,1099,actions:leadgen.other,1099,7000,總經費,60,1.010509,1.892884,2026-04-23,2026-05-22
2026-02-23,2026-06-01,"0223_高人氣高含金 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本 - 複本",inactive,3585,1988,,,3,493,actions:leadgen.other,1479,333,每日,82,0.948396,1.80332,2026-05-08,2026-05-22
2026-02-23,2026-06-01,"0422_短影片 - 複本",not_delivering,2186,1454,2,,5,320.8,actions:leadgen.other,1604,333,每日,90,1.646844,1.503439,2026-05-08,2026-05-22
2026-02-23,2026-06-01,"0415_驕傲棟距 - 複本",inactive,208,149,,,,,,103,333,每日,8,0.480769,1.395973,2026-05-08,2026-05-22
2026-02-23,2026-06-01,"0415_驕傲棟距 - 複本 - 複本",not_delivering,1459,892,,,1,666,actions:leadgen.other,666,9000,總經費,38,1.096642,1.63565,2026-02-23,2026-05-22
2026-02-23,2026-06-01,"0422_短影片 - 複本",not_delivering,4787,2485,1,1,3,903.33333333,actions:leadgen.other,2710,9000,總經費,157,1.295174,1.926358,2026-02-23,2026-05-22
2026-02-23,2026-06-01,"0422_短影片 - 複本 - 複本",inactive,1525,1066,,,1,875,actions:leadgen.other,875,7800,總經費,56,1.508197,1.430582,2026-03-30,2026-05-22
2026-02-23,2026-06-01,"0506_B20外企 - 複本 - 複本",inactive,1467,925,,,,,,695,9000,總經費,21,0.613497,1.585946,2026-02-23,2026-05-22
2026-02-23,2026-06-01,"0506_B20外企 - 複本 - 複本",inactive,2683,1704,,,1,1055,actions:leadgen.other,1055,7800,總經費,45,0.633619,1.574531,2026-03-30,2026-05-22
2026-02-23,2026-06-01,0519_登頂東區,inactive,787,555,,,,,,320,7800,總經費,30,1.016518,1.418018,2026-03-30,2026-05-22
2026-02-23,2026-06-01,"0519_登頂東區 - 複本",not_delivering,724,539,,,,,,349,4300,總經費,33,1.104972,1.343228,2026-03-04,2026-05-22
2026-02-23,2026-06-01,"0519_登頂東區 - 複本",not_delivering,469,335,,,,,,200,333,每日,15,0.639659,1.4,2026-05-08,2026-05-22
2026-02-23,2026-06-01,"0415_驕傲棟距 - 複本 - 複本",not_delivering,22,19,,,,,,0,4300,總經費,3,9.090909,1.157895,2026-03-04,2026-05-22
2026-02-23,2026-06-01,"0422_短影片 - 複本",inactive,1593,1000,,,1,848,actions:leadgen.other,848,233,每日,63,2.071563,1.593,2026-04-15,2026-05-22
2026-02-23,2026-06-01,"0422_短影片 - 複本",inactive,3631,2294,,,2,931.5,actions:leadgen.other,1863,7000,總經費,93,1.156706,1.582825,2026-04-21,2026-05-22
2026-02-23,2026-06-01,"0422_短影片 - 複本",not_delivering,3933,2521,,,3,603.33333333,actions:leadgen.other,1810,7000,總經費,148,1.627257,1.560095,2026-04-23,2026-05-22
2026-02-23,2026-06-01,"0415_驕傲棟距 - 複本",not_delivering,1487,832,,,,,,716,7000,總經費,46,1.143241,1.78726,2026-04-23,2026-05-22
2026-02-23,2026-06-01,"0415_驕傲棟距 - 複本",not_delivering,259,204,,,,,,239,7000,總經費,4,,1.269608,2026-04-23,2026-05-22
