分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2023-06-09,2026-07-09,"大甲 清水 沙鹿 / 傳產 服飾 菜市場",inactive,3624,2463,,,1,1226,actions:leadgen.other,1226,300,每日,53,1.462472,1.471376,2024-08-28,進行中
2023-06-09,2026-07-09,"30-65 / 沙鹿清水 / 591+房地產",inactive,420,253,,1,,57,actions:onsite_conversion.messaging_conversation_started_7d,57,1000,總經費,33,7.857143,1.660079,2024-09-11,2024-10-08
2023-06-09,2026-07-09,"30-65 / 沙鹿清水 / 591+房地產 - 複本",not_delivering,122688,26372,7,20,,4.87934028,actions:post_engagement,5621,220,每日,3411,2.780223,4.652207,2024-09-13,2024-10-08
2023-06-09,2026-07-09,"【1510】清水 沙鹿 / 房地產 自住 上班 (0103調整)",inactive,8962,3538,,,3,686.66666667,actions:leadgen.other,2060,250,每日,389,4.340549,2.53307,2024-12-27,進行中
2023-06-09,2026-07-09,"【1510】27-50 / 龍井、大肚、清水/ 藍領工業教師",inactive,1138,912,,,,,,212,250,每日,24,2.108963,1.247807,2025-01-05,進行中
2023-06-09,2026-07-09,"台中港 清水-豐原(國4沿線) / 房地產 航運 運輸",not_delivering,15724,9119,5,22,,140.86363636,actions:onsite_conversion.messaging_conversation_started_7d,3099,3100,總經費,840,5.342152,1.724312,2025-01-09,2025-01-26
2023-06-09,2026-07-09,"清水 沙鹿 中科 / 質感設計 成家首購",inactive,7037,3289,1,1,3,666,actions:leadgen.other,1998,2000,總經費,144,2.046327,2.139556,2025-01-16,2025-01-24
2023-06-09,2026-07-09,"【1510】沙鹿 清水 中科 / 精品 首購",inactive,5069,2313,,,,,,867,200,每日,199,3.925824,2.191526,2025-01-22,進行中
2023-06-09,2026-07-09,"沙鹿 清水 神岡  / 傳產製造 倉儲航運(0314調)",inactive,69977,22248,21,27,,336.66666667,actions:onsite_conversion.messaging_conversation_started_7d,9090,300,每日,3181,4.545779,3.145316,2025-02-10,進行中
2023-06-09,2026-07-09,28-55/沙鹿清水中科/工程師興趣,inactive,7093,3618,,1,2,1254.5,actions:leadgen.other,2509,4000,總經費,105,1.480333,1.960475,2025-03-02,2025-03-15
2023-06-09,2026-07-09,28-60/沙鹿清水中科精科/投資置產,inactive,7184,4597,,,2,1787,actions:leadgen.other,3574,6800,總經費,111,1.5451,1.562758,2025-03-04,2025-04-15
2023-06-09,2026-07-09,28-55/沙鹿清水中科/工程師興趣V2,inactive,2420,1799,,,,,,746,3300,總經費,63,2.603306,1.345192,2025-03-12,2025-03-19
2023-06-09,2026-07-09,"35-60 / 沙鹿梧棲清水 / 1% 親子+日常",inactive,8946,4795,,,,,,3529,500,每日,148,1.654371,1.865693,2025-07-22,進行中
2023-06-09,2026-07-09,30-60/大甲清水后里/製造業,inactive,10839,4848,1,,,,,1830,300,每日,274,2.527908,2.235767,2025-07-25,進行中
2023-06-09,2026-07-09,"35-60 / 清水沙鹿南屯 / 3C興趣(0730調區域)",inactive,3512,2193,2,2,,714.5,actions:onsite_conversion.messaging_conversation_started_7d,1429,400,每日,77,2.192483,1.601459,2025-07-28,進行中
2023-06-09,2026-07-09,30-60/沙鹿梧棲清水/系統工程+優惠,not_delivering,5232,2674,,,,,,1254,使用行銷活動預算,0,100,1.911315,1.956619,2025-08-01,進行中
2023-06-09,2026-07-09,28-55/清水沙鹿中科/1%+工程師,inactive,2387,1446,,,1,1716,actions:leadgen.other,1716,300,每日,48,2.010892,1.650761,2025-09-09,進行中
2023-06-09,2026-07-09,28-60/清水梧棲沙鹿大雅神岡/機場員工,inactive,2742,1956,,,,,,1189,200,每日,44,1.604668,1.40184,2025-09-17,進行中
2023-06-09,2026-07-09,28-60/清水西屯中科/科技業,inactive,904,772,,,,,,370,200,每日,9,0.995575,1.170984,2025-10-07,進行中
