分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2023-07-25,2026-08-25,30-65/西螺溪州/包租/自營/換屋/教師(0726調),inactive,7312,3348,,2,,557.5,actions:onsite_conversion.messaging_conversation_started_7d,1115,8000,總經費,245,3.350656,2.18399,2024-08-12,2024-09-09
2023-07-25,2026-08-25,28-55/溪州西螺莿桐/新婚/上班族/寵物/親子教育,not_delivering,24445,9640,,23,,108.65217391,actions:onsite_conversion.messaging_conversation_started_7d,2499,2500,總經費,1220,4.990796,2.535788,2024-10-07,2024-10-19
2023-07-25,2026-08-25,30-65/埤頭溪州田中田尾/養殖漁業/換屋/成家(1012二調),inactive,19884,6340,4,13,,222.23076923,actions:onsite_conversion.messaging_conversation_started_7d,2889,5000,總經費,1185,5.959565,3.136278,2024-10-11,2024-11-10
2023-07-25,2026-08-25,28-55/溪州西螺莿桐/新婚/上班族/寵物/親子教育,not_delivering,35429,8407,20,35,,142.85714286,actions:onsite_conversion.messaging_conversation_started_7d,5000,5000,總經費,1301,3.672133,4.214226,2024-10-21,2024-11-19
2023-07-25,2026-08-25,28-65/二林埤頭竹塘溪州二崙/畜牧業/農業(0423二調),inactive,46956,9911,4,56,6,105.125,actions:onsite_conversion.messaging_conversation_started_7d,5887,6000,總經費,2459,5.236817,4.737766,2025-03-06,2025-05-05
2023-07-25,2026-08-25,28-55/溪州西螺莿桐/新婚/上班族/寵物/親子教育,inactive,17960,4616,1,9,,277,actions:onsite_conversion.messaging_conversation_started_7d,2493,6000,總經費,812,4.521158,3.890815,2025-03-18,2025-04-17
2023-07-25,2026-08-25,"35-65 / 溪州北斗 / 傳產大家庭",inactive,28681,7564,2,7,,454.14285714,actions:onsite_conversion.messaging_conversation_started_7d,3179,4000,總經費,932,3.249538,3.791777,2025-03-21,2025-07-20
2023-07-25,2026-08-25,28-65/大城埤頭竹塘溪州二崙/傳產/中小企業,inactive,46484,11013,3,29,1,174.13793103,actions:onsite_conversion.messaging_conversation_started_7d,5050,7650,總經費,1840,3.958351,4.22083,2025-03-27,2025-05-05
2023-07-25,2026-08-25,28-65/溪州北斗西螺/傳產/自營/成家,inactive,44074,11251,4,12,,421,actions:onsite_conversion.messaging_conversation_started_7d,5052,14700,總經費,1363,3.092526,3.917341,2025-04-09,2025-05-20
2023-07-25,2026-08-25,28-65/二林埤頭竹塘溪州二崙/畜牧業/農業(0509三調),inactive,7399,2585,,1,,833,actions:onsite_conversion.messaging_conversation_started_7d,833,6000,總經費,228,3.081498,2.862282,2025-05-06,2025-06-05
2023-07-25,2026-08-25,30-65/二林埤頭竹塘溪州/公務員興趣,not_delivering,4183,1907,,1,,397,actions:onsite_conversion.messaging_conversation_started_7d,397,400,總經費,195,4.661726,2.193498,2025-06-03,2025-06-05
2023-07-25,2026-08-25,30-65/埤頭溪州田中田尾/養殖漁業/換屋/成家,inactive,14886,4399,8,19,1,111.42105263,actions:onsite_conversion.messaging_conversation_started_7d,2117,200,每日,1196,8.034395,3.383951,2025-06-09,進行中
2023-07-25,2026-08-25,30-65/溪州西螺二崙/畜牧業/農業/成家(0630調),inactive,11057,3312,2,9,,167.33333333,actions:onsite_conversion.messaging_conversation_started_7d,1506,9200,總經費,355,3.210636,3.338466,2025-06-24,2025-08-05
2023-07-25,2026-08-25,30-55/溪州北斗西螺/傳產/自營/成家(外企)-0717調,inactive,7939,3316,,1,,959,actions:onsite_conversion.messaging_conversation_started_7d,959,4600,總經費,169,2.128732,2.39415,2025-06-24,2025-08-20
2023-07-25,2026-08-25,"35-65 / 溪州北斗田中 / 輪胎產業 / 不鏽鋼 / 成家",inactive,33892,7832,1,8,1,571.375,actions:onsite_conversion.messaging_conversation_started_7d,4571,9500,總經費,630,1.858846,4.327375,2025-07-04,2025-08-20
2023-07-25,2026-08-25,30-65/溪州西螺二崙/成家/金屬工業/美食/運動(1114二調),inactive,169665,40501,15,99,3,262.51515152,actions:onsite_conversion.messaging_conversation_started_7d,25989,27800,總經費,5353,3.155041,4.189156,2025-07-09,2026-07-05
2023-07-25,2026-08-25,30-55/溪州西螺斗六斗南/上班族/成家/傳產(0924調),inactive,34376,9722,1,19,1,289.57894737,actions:onsite_conversion.messaging_conversation_started_7d,5502,6200,總經費,1424,4.142425,3.535898,2025-08-15,2025-10-18
2023-07-25,2026-08-25,30-65/溪州西螺二崙/台電工程師/自營商/成家,inactive,25292,8163,4,27,,257.51851852,actions:onsite_conversion.messaging_conversation_started_7d,6953,9900,總經費,752,2.973272,3.098371,2025-09-09,2025-11-05
2023-07-25,2026-08-25,"32-65 / 溪州北斗 / 成家興趣(1016調)",inactive,14701,5834,,3,,701,actions:onsite_conversion.messaging_conversation_started_7d,2103,3400,總經費,388,2.639276,2.519883,2025-10-09,2025-10-21
2023-07-25,2026-08-25,28-55/溪州竹塘西螺北斗/上班族/首購,inactive,6154,2424,2,4,,343,actions:onsite_conversion.messaging_conversation_started_7d,1372,200,每日,388,6.304842,2.538779,2025-10-31,進行中
2023-07-25,2026-08-25,30-55/北斗溪州/換屋/傳產二代,inactive,16339,6237,2,7,,351.28571429,actions:onsite_conversion.messaging_conversation_started_7d,2459,4200,總經費,400,2.44813,2.619689,2026-01-05,2026-01-21
2023-07-25,2026-08-25,30-55/埤頭溪州北斗/換屋/傳產二代(0204二調,not_delivering,39567,11377,2,11,1,454.54545455,actions:onsite_conversion.messaging_conversation_started_7d,5000,5000,總經費,1023,2.585488,3.477806,2026-01-14,2026-03-31
2023-07-25,2026-08-25,30-55/埤頭溪州西螺/換屋/傳產二代(0317二調,inactive,122420,28056,8,68,5,206.79411765,actions:onsite_conversion.messaging_conversation_started_7d,14062,17935,總經費,2669,2.180199,4.363416,2026-01-19,2026-08-05
2023-07-25,2026-08-25,"28-55 / 溪州田中 / 傳產家庭",inactive,24411,5695,4,15,2,222,actions:onsite_conversion.messaging_conversation_started_7d,3330,100,每日,881,3.609029,4.286392,2026-04-08,進行中
2023-07-25,2026-08-25,30-55/溪州北斗西螺/上班族/傳產/出遊,active,23436,8534,,19,,160.84210526,actions:onsite_conversion.messaging_conversation_started_7d,3056,5100,總經費,363,1.548899,2.746192,2026-08-11,2026-09-05
2023-07-25,2026-08-25,30-65/埤頭溪州竹塘/畜牧/農業/成家,inactive,11459,4339,2,4,,366.5,actions:onsite_conversion.messaging_conversation_started_7d,1466,7000,總經費,475,4.145213,2.640931,2024-08-16,2024-09-09
2023-07-25,2026-08-25,30-65/埤頭溪州竹塘/養殖漁業/換屋/成家(0826調),not_delivering,29790,8833,,19,,242.05263158,actions:onsite_conversion.messaging_conversation_started_7d,4599,4600,總經費,1007,3.380329,3.37258,2024-08-21,2024-09-09
2023-07-25,2026-08-25,32-60/北斗田尾溪州社頭/金屬製品業/傳產加工/成家(0918五調),not_delivering,53444,12169,19,41,,170.73170732,actions:onsite_conversion.messaging_conversation_started_7d,7000,7000,總經費,2659,4.975301,4.391815,2024-09-03,2024-09-30
2023-07-25,2026-08-25,30-65/埤頭溪州竹塘/養殖漁業/換屋/成家(0826調),inactive,27765,7480,5,10,,367.6,actions:onsite_conversion.messaging_conversation_started_7d,3676,6300,總經費,948,3.414371,3.711898,2024-09-10,2024-10-09
2023-07-25,2026-08-25,28-65/二林埤頭竹塘溪州二崙/中小企業/成家/換屋,inactive,31726,7160,3,26,1,184.57692308,actions:onsite_conversion.messaging_conversation_started_7d,4799,5200,總經費,1217,3.835971,4.431006,2025-05-13,2025-06-05
2023-07-25,2026-08-25,30-65/竹塘溪州西螺二崙/公務員興趣(0618二調),inactive,23039,5694,5,11,,260.36363636,actions:onsite_conversion.messaging_conversation_started_7d,2864,5000,總經費,1050,4.557489,4.046189,2025-06-06,2025-07-05
2023-07-25,2026-08-25,28-65/溪州北斗竹塘西螺/傳產/青農/包租,inactive,108235,24803,7,68,1,203.79411765,actions:onsite_conversion.messaging_conversation_started_7d,13858,200,每日,5153,4.760937,4.363787,2025-06-27,進行中
2023-07-25,2026-08-25,28-65/溪州北斗西螺/親子教育/成家(外企),inactive,10127,3216,1,3,,366.33333333,actions:onsite_conversion.messaging_conversation_started_7d,1099,1100,總經費,232,2.290906,3.148943,2025-07-01,2025-07-10
2023-07-25,2026-08-25,28-65/北斗溪州西螺莿桐/傳產/自營/成家,inactive,6604,3171,1,,,,,822,6000,總經費,188,2.84676,2.082624,2025-07-01,2025-07-20
