分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2023-06-22,2026-07-22,32-60/烏日中科北屯/生活質感/健身/活網,not_delivering,2154,1725,,,4,200,actions:leadgen.other,800,800,總經費,60,2.785515,1.248696,2024-08-07,2024-08-09
2023-06-22,2026-07-22,35-60/中科水湳烏日/建築設計/股票/銀行業(0909調),not_delivering,10503,5569,3,,16,342.0625,actions:leadgen.other,5473,6750,總經費,333,3.170523,1.885976,2024-08-28,2024-09-21
2023-06-22,2026-07-22,30-55/烏日南區大慶嶺東/小資首購族/新婚/通勤/購物,inactive,165,131,,,,,,106,1000,總經費,9,5.454545,1.259542,2024-10-18,2024-10-20
2023-06-22,2026-07-22,35-65/沙鹿大肚烏日彰化/收租/退休教授/醫師/投資興趣,inactive,1946,1493,,,,,,483,1000,總經費,50,2.569373,1.303416,2024-10-27,2024-10-31
2023-06-22,2026-07-22,30-60/南屯嶺東烏日/雙語教育/音樂藝術興趣/名車(0110二調),inactive,3216,2033,,,,,,1986,3000,總經費,50,1.554726,1.581899,2025-01-07,2025-01-16
2023-06-22,2026-07-22,30-60/潭子南屯烏日/雙薪家庭/理財/成家/旅遊,inactive,855,649,,,,,,572,2000,總經費,17,1.988304,1.317411,2025-01-13,2025-01-22
2023-06-22,2026-07-22,30-60/潭子南屯烏日/成家置產/鉑金大苑+景立方1%,inactive,308,261,,,,,,204,1500,總經費,7,2.272727,1.180077,2025-01-15,2025-01-22
2023-06-22,2026-07-22,"35-65/大里霧峰南區烏日/傳產老闆/自營商/工程師/醫護 (參考澔宇里禾受眾)",not_delivering,1878,1079,,,,,,599,600,總經費,89,4.739084,1.7405,2025-02-03,2025-02-06
2023-06-22,2026-07-22,30-60/烏日中科豐原彰化/工程師/國外旅遊/收藏/名車,inactive,1263,816,,,,,,602,4000,總經費,19,1.504355,1.547794,2025-02-05,2025-02-28
2023-06-22,2026-07-22,30-65/彰化大肚烏日/自營商/科技業/保險業(0205調,not_delivering,15044,5560,2,,13,299.92307692,actions:leadgen.other,3899,3900,總經費,515,3.423292,2.705755,2025-02-05,2025-02-21
2023-06-22,2026-07-22,"202504_台中市_創立方_名單 高效速成_28-60/彰化 烏日 新竹 中壢 台北/返鄉 房屋投資 行銷活動 (s) 廣告組合",not_delivering,7983,4399,5,2,6,564.16666667,actions:leadgen.other,3385,400,每日,140,1.753727,1.814731,2025-04-23,2025-05-10
2023-06-22,2026-07-22,"202504_台中市_創立方_名單 高效速成_28-60/烏日 台北 台南 高雄/副業經營 行銷活動 (s) 行銷活動 廣告組合",not_delivering,16701,7759,5,3,14,494.71428571,actions:leadgen.other,6926,400,每日,290,1.736423,2.152468,2025-04-30,進行中
2023-06-22,2026-07-22,"28-45/ 西屯南屯烏日 / 年輕人興趣(0521調)",inactive,19706,6843,4,1,30,323.43333333,actions:leadgen.other,9703,9750,總經費,416,2.111032,2.879731,2025-05-09,2025-06-12
2023-06-22,2026-07-22,"嶺東 烏日 南區/餐飲加盟 104 1111",inactive,2339,1679,,,,,,798,250,每日,38,1.624626,1.393091,2025-05-24,進行中
2023-06-22,2026-07-22,"202505_台中市_創立方_名單 高效速成_35-65/沙鹿大肚烏日彰化/收租/退休教授/醫師/投資興趣 行銷活動 (s) 廣告組合",not_delivering,17824,7027,2,1,6,804,actions:leadgen.other,4824,400,每日,356,1.997307,2.536502,2025-05-30,進行中
2023-06-22,2026-07-22,"30-50 / 嶺東 烏日 南區/ 美容美體芳療",inactive,857,650,,,,,,265,150,每日,15,1.750292,1.318462,2025-06-17,進行中
2023-06-22,2026-07-22,"30-65 / 嶺東烏日南區 / 追星興趣",inactive,7300,2772,,,,,,1945,240,每日,160,2.191781,2.633478,2025-07-26,進行中
2023-06-22,2026-07-22,"30-65/嶺東 烏日 南區/創業者 加盟連鎖店(多廣輪播)",inactive,1831,1328,,,,,,595,200,每日,36,1.966139,1.378765,2025-08-08,進行中
2023-06-22,2026-07-22,"30-65/嶺東 烏日 南區/律師會計事務所(0815調",inactive,4763,2563,,,,,,1673,200,每日,98,2.057527,1.858369,2025-08-08,進行中
2023-06-22,2026-07-22,"30-60 / 南區南屯烏日 / 醫療房產興趣",inactive,1330,887,,,,,,793,250,每日,25,1.879699,1.499436,2025-08-18,進行中
2023-06-22,2026-07-22,"28-55 / 中科南屯烏日 / 1%+年輕興趣",inactive,1840,1102,,,1,808,actions:leadgen.other,808,200,每日,40,2.173913,1.669691,2025-10-31,進行中
2023-06-22,2026-07-22,30-60/西屯南屯中科烏日/1%+投資興趣,inactive,543,433,,,,,,527,250,每日,17,3.130755,1.254042,2025-11-03,進行中
2023-06-22,2026-07-22,28-55/烏日南區/自營商/醫療業,inactive,23793,8139,,,7,769.14285714,actions:leadgen.other,5384,300,每日,506,2.126676,2.923332,2026-06-18,進行中
2023-06-22,2026-07-22,28-60/烏日+5/置產客/貿易興趣,inactive,1954,1266,,,,,,535,300,每日,45,2.302968,1.543444,2026-07-01,進行中
2023-06-22,2026-07-22,28-55/烏日南屯/上班族,inactive,2570,1543,,,,,,571,250,每日,43,1.673152,1.665587,2026-07-03,進行中
2023-06-22,2026-07-22,33-65/南屯嶺東烏日/科技新貴(0114三調)-1510,inactive,12720,6689,9,1,7,541.14285714,actions:leadgen.other,3788,6400,總經費,579,4.551887,1.90163,2024-12-12,2025-01-23
2023-06-22,2026-07-22,"30-65/烏日 西屯 東區/高科技 研究員 企業家高管",inactive,1677,1154,,,,,,556,3000,總經費,42,2.504472,1.453206,2024-12-18,2024-12-28
2023-06-22,2026-07-22,35-60/南屯西屯烏日/精品化妝品/進口代理商/投資興趣(0206調)-1510,inactive,60288,20151,8,3,35,372.25714286,actions:leadgen.other,13029,13400,總經費,2505,4.155056,2.991812,2025-01-17,2025-07-24
2023-06-22,2026-07-22,"28-60/北屯西屯烏日/ 成家 / 親子教育(1127二調)",inactive,2122,1280,,,1,666,actions:leadgen.other,666,2000,總經費,82,3.864279,1.657813,2025-02-07,2025-02-16
2023-06-22,2026-07-22,30-55/大里南屯烏日/醫生興趣,not_delivering,9941,5186,,,9,400,actions:leadgen.other,3600,3600,總經費,250,2.514838,1.916892,2025-02-11,2025-03-04
2023-06-22,2026-07-22,30-55/南屯烏日/高收入/雙薪/頂客族,not_delivering,2441,1522,,,1,1000,actions:leadgen.other,1000,1000,總經費,27,1.106104,1.603811,2025-02-25,2025-02-28
2023-06-22,2026-07-22,"30-65/彰化 烏日/高爾夫&投資興趣 (0305調)",inactive,8252,3168,4,,3,658.66666667,actions:leadgen.other,1976,2300,總經費,202,2.447891,2.604798,2025-02-26,2025-03-08
2023-06-22,2026-07-22,"30-65/彰化 員林 烏日/退休投資 傳統興趣",inactive,10069,3702,,,7,412.28571429,actions:leadgen.other,2886,3500,總經費,444,4.409574,2.719881,2025-03-22,2025-04-06
2023-06-22,2026-07-22,"30-65/彰化 員林 烏日/退休投資 傳統興趣2",not_delivering,15243,5910,,,7,474.28571429,actions:leadgen.other,3320,3330,總經費,607,3.982156,2.579188,2025-04-08,2025-04-21
2023-06-22,2026-07-22,"30-65/嶺東 烏日 南區/創業者 加盟連鎖店2",inactive,1938,1308,,,,,,755,2800,總經費,34,1.754386,1.481651,2025-05-06,2025-05-14
