分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2023-06-22,2026-07-22,"30-65 / 竹北竹東芎林(排除湖口外圍) / 年輕成家(偏有錢",inactive,49569,19832,,,,5.58153846,actions:post_engagement,1814,3000,總經費,369,0.744417,2.499445,2024-10-01,2024-10-11
2023-06-22,2026-07-22,"30-65 / 竹北竹東芎林(排除湖口外圍) / 商業人士",inactive,7157,5342,,1,,5.29166667,actions:post_engagement,762,2000,總經費,156,2.179684,1.33976,2024-10-08,2024-10-31
2023-06-22,2026-07-22,"30-65 / 竹北竹東芎林(排除湖口外圍) / 廣投-房產",inactive,4619,3365,,,,5.81415929,actions:post_engagement,657,2000,總經費,143,3.095908,1.37266,2024-10-09,2024-10-31
2023-06-22,2026-07-22,"30-65/竹北&新竹車站/醫生 醫美",not_delivering,19625,9205,36,50,,55.98,actions:onsite_conversion.messaging_conversation_started_7d,2799,2800,總經費,1803,9.187261,2.131993,2024-11-08,2024-11-30
2023-06-22,2026-07-22,"30-65/台元 竹北/批發 倉儲 物流 投資",not_delivering,12329,7663,11,15,,113.26666667,actions:onsite_conversion.messaging_conversation_started_7d,1699,1700,總經費,938,7.608079,1.6089,2024-11-20,2024-11-30
2023-06-22,2026-07-22,"30-65 / 新竹北區東區 / 年輕成家",inactive,28993,9975,1,27,,192.59259259,actions:onsite_conversion.messaging_conversation_started_7d,5200,6500,總經費,1412,4.870141,2.906566,2024-11-26,2025-01-10
2023-06-22,2026-07-22,"30-65 / 新竹北區東區 / 醫護相關",inactive,28197,9211,4,18,,316.27777778,actions:onsite_conversion.messaging_conversation_started_7d,5693,6500,總經費,906,3.213108,3.061231,2024-12-11,2025-01-10
2023-06-22,2026-07-22,"28-65 / 湖口北湖竹北/再行銷",inactive,2833,1314,,,1,444,actions:leadgen.other,444,1300,總經費,81,2.85916,2.156012,2025-05-05,2025-05-12
2023-06-22,2026-07-22,"28-65 / 湖口北湖竹北/ 在地成家客(0528調",inactive,47687,8799,,6,20,427,actions:leadgen.other,8540,8550,總經費,1067,2.237507,5.419593,2025-05-20,2025-06-30
2023-06-22,2026-07-22,"30-65 / 東區 竹北 湖口 / 高知識+財經",not_delivering,6496,3439,6,11,,78.81818182,actions:onsite_conversion.messaging_conversation_started_7d,867,150,每日,385,5.926724,1.888921,2025-07-23,2025-08-22
2023-06-22,2026-07-22,"28-65 / 湖口北湖竹北/ 在地職業(跑互動",inactive,16353,6352,1,,,2.23883929,actions:post_engagement,1003,50,每日,1244,7.607167,2.574465,2025-08-15,2025-09-12
2023-06-22,2026-07-22,"28-60 / 頭份竹南竹北 / 年輕成家上班族",inactive,6677,2891,2,5,2,241,actions:onsite_conversion.messaging_conversation_started_7d,1205,150,每日,308,4.61285,2.309581,2025-09-18,進行中
2023-06-22,2026-07-22,"27-55 / 頭份竹南竹北 / 百貨 科技 股票",inactive,3105,1789,,,1,732,actions:leadgen.other,732,150,每日,75,2.415459,1.735606,2025-09-30,進行中
2023-06-22,2026-07-22,"28-55 / 竹北竹東 / 醫生 律師",inactive,2376,1382,1,1,,379,actions:onsite_conversion.messaging_conversation_started_7d,379,200,每日,72,3.030303,1.719247,2025-10-07,進行中
2023-06-22,2026-07-22,30-55/竹東竹北北區/雙薪菁英/質感生活,inactive,7176,4524,,,3,812,actions:leadgen.other,2436,350,每日,177,2.466555,1.586207,2025-12-30,進行中
2023-06-22,2026-07-22,30-60/竹東竹北/企業主/自營商,inactive,7134,4980,,,3,720,actions:leadgen.other,2160,350,每日,218,3.055789,1.43253,2026-01-06,進行中
2023-06-22,2026-07-22,28-55/竹東竹北/藝文品味族,inactive,2848,2014,,,,,,1292,300,每日,63,2.212079,1.414101,2026-01-08,進行中
2023-06-22,2026-07-22,"30-65 / 竹北東區北區 / 醫生律師",inactive,7087,4880,,,1,1346,actions:leadgen.other,1346,350,每日,278,3.922675,1.452254,2026-01-12,進行中
2023-06-22,2026-07-22,30-55/竹東竹北/影音娛樂/家庭劇院,inactive,9852,4674,1,,4,579.5,actions:leadgen.other,2318,350,每日,323,3.278522,2.107831,2026-01-12,進行中
2023-06-22,2026-07-22,"28-50 / 東區竹北 / 工程師汽車(0127+興趣)",inactive,20884,10126,,,9,584.66666667,actions:leadgen.other,5262,350,每日,617,2.954415,2.062414,2026-01-13,進行中
2023-06-22,2026-07-22,30-55/竹東竹北/運動/戶外活動,inactive,7202,4776,,,1,1701,actions:leadgen.other,1701,350,每日,183,2.540961,1.507956,2026-01-14,進行中
2023-06-22,2026-07-22,"35-60 / 東區竹北 / 戶外活動",inactive,2922,2169,,,,,,945,300,每日,118,4.03833,1.347165,2026-01-19,進行中
2023-06-22,2026-07-22,"30-50 / 東區竹北 / 貿易口譯",inactive,3163,2285,,,1,706,actions:leadgen.other,706,350,每日,79,2.497629,1.384245,2026-01-27,進行中
2023-06-22,2026-07-22,35-58/竹東竹北/律師/會計師,inactive,9054,3624,,,5,523,actions:leadgen.other,2615,300,每日,281,3.103601,2.498344,2026-06-08,進行中
