分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2023-06-22,2026-07-22,"35-65/ 華泰+大江國際+竹科 / 旅行日系精品",inactive,1709,1131,,,1,490,actions:leadgen.other,490,10000,總經費,37,2.165009,1.511052,2024-08-14,2026-06-01
2023-06-22,2026-07-22,"35-65 / 青埔+竹科 /常旅行用戶+高收入",inactive,4055,1264,4,4,,372.5,actions:onsite_conversion.messaging_conversation_started_7d,1490,4500,總經費,249,6.140567,3.20807,2024-08-26,2026-06-01
2023-06-22,2026-07-22,"35-65 / 青埔+竹科 /常旅行用戶+高收入",not_delivering,11275,6448,2,2,,3.73722628,actions:post_engagement,2048,3000,總經費,891,7.902439,1.748604,2024-09-10,2024-09-21
2023-06-22,2026-07-22,"28-60 / 竹科 / 投資股票金融 -互動",inactive,458088,135047,21,39,,4.86196192,actions:post_engagement,23493,23500,總經費,12172,2.657131,3.392064,2024-10-23,2026-03-02
2023-06-22,2026-07-22,"35-65/竹南 頭份 竹科/自營商 工程師 成家+理財",inactive,1271,811,,,,,,332,1500,總經費,28,2.20299,1.567201,2024-11-05,2024-11-14
2023-06-22,2026-07-22,"30-65 / 竹科 / 科技業",inactive,35346,9167,1,53,,128.69811321,actions:onsite_conversion.messaging_conversation_started_7d,6821,8300,總經費,1497,4.235274,3.855787,2024-11-11,2024-12-20
2023-06-22,2026-07-22,"30-65 / 青埔竹科 / 新婚親子教育",inactive,13018,4764,,,4,720,actions:leadgen.other,2880,5000,總經費,754,5.79198,2.732578,2024-11-18,2025-01-07
2023-06-22,2026-07-22,"30-65 / 竹科 / 置產換屋族",inactive,6867,3297,,5,,252.4,actions:onsite_conversion.messaging_conversation_started_7d,1262,1800,總經費,208,3.028979,2.082803,2024-11-20,2024-11-29
2023-06-22,2026-07-22,"35-65/竹南 竹科/科技高管  投資興趣",inactive,2215,1184,,,,,,527,1800,總經費,70,3.160271,1.870777,2024-11-26,2024-12-04
2023-06-22,2026-07-22,"30-65 / 竹南頭份 竹科(少量) / 工業園區 自由業 投資",inactive,4916,2577,,,,,,1226,2783,總經費,149,3.030919,1.907645,2024-12-03,2024-12-15
2023-06-22,2026-07-22,"28-60 / 竹科 / 3師",inactive,31660,14766,9,32,1,201.65625,actions:onsite_conversion.messaging_conversation_started_7d,6453,8700,總經費,1375,4.34302,2.144115,2025-01-03,2025-11-17
2023-06-22,2026-07-22,"新北+青埔+竹科/ 年輕出國興趣",inactive,822,551,,,,,,335,5000,總經費,37,4.501217,1.491833,2025-04-07,2025-05-07
2023-06-22,2026-07-22,"35-65 / 青埔+竹科 /常旅行用戶+高收入 - 複本",inactive,2368,980,,,,,,542,2000,總經費,84,3.547297,2.416327,2025-05-29,2026-06-06
2023-06-22,2026-07-22,28-50/竹南頭份竹科/科技理財AI,inactive,1819,1366,,,,,,320,200,每日,24,1.319406,1.331625,2025-06-04,進行中
2023-06-22,2026-07-22,25-60/竹南竹科/科技興趣,inactive,4357,2333,,1,,782,actions:onsite_conversion.messaging_conversation_started_7d,782,300,每日,73,1.675465,1.867553,2025-06-08,進行中
2023-06-22,2026-07-22,"30-60 / 竹科 巨城 / 科技新貴+旅遊",not_delivering,6721,3894,6,10,,85.4,actions:onsite_conversion.messaging_conversation_started_7d,854,150,每日,423,6.293706,1.725989,2025-07-23,2025-08-22
2023-06-22,2026-07-22,"28-65/竹南頭份竹科 /1%科技",inactive,4946,3072,,,,,,1166,100,每日,61,1.23332,1.610026,2025-08-06,進行中
2023-06-22,2026-07-22,25-65/竹科外圍+頭份/製造業,inactive,8435,3001,2,,,,,2135,300,每日,167,1.979846,2.81073,2025-08-21,進行中
2023-06-22,2026-07-22,"28-65/竹南頭份竹科 / 質感時尚",inactive,5391,3117,,,,,,1109,200,每日,83,1.539603,1.729548,2025-08-21,進行中
2023-06-22,2026-07-22,"28-65/竹南頭份竹科 / 銀行金融",inactive,9504,5265,,1,2,1010.5,actions:leadgen.other,2021,150,每日,161,1.694024,1.805128,2025-08-21,進行中
2023-06-22,2026-07-22,"28-60 / 竹科 / 房產興趣",inactive,190522,69048,4,9,,3.19527419,actions:post_engagement,7167,119,每日,3745,1.965652,2.759269,2025-08-21,進行中
2023-06-22,2026-07-22,"28-60 / 頭份竹科東區 / 年輕人興趣",inactive,495,323,,,,,,105,150,每日,12,2.424242,1.532508,2025-09-04,進行中
2023-06-22,2026-07-22,"28-60 / 竹科竹東 / 親子美食(1210+興趣)",inactive,45025,14830,8,27,,303.11111111,actions:onsite_conversion.messaging_conversation_started_7d,8184,200,每日,1318,2.927263,3.036076,2025-11-14,進行中
2023-06-22,2026-07-22,"28-45 / 竹科園區 / 科技商務",inactive,3031,1850,,,,,,775,250,每日,72,2.375454,1.638378,2025-12-15,進行中
2023-06-22,2026-07-22,"27-55 / 湖口竹科 / 行政小資",inactive,3698,1639,1,1,,954,actions:onsite_conversion.messaging_conversation_started_7d,954,1500,總經費,96,2.595998,2.256254,2026-02-06,2026-02-13
2023-06-22,2026-07-22,"35-65 / 湖口竹科 /工業輪廓",inactive,4922,1750,3,10,,197.9,actions:onsite_conversion.messaging_conversation_started_7d,1979,2500,總經費,293,5.952865,2.812571,2024-08-07,2024-08-31
2023-06-22,2026-07-22,"35-65 / 青埔+竹科 / 網紅短影音部落客",not_delivering,223,187,,,,,,44,4500,總經費,11,4.932735,1.192513,2024-08-07,2026-06-21
2023-06-22,2026-07-22,"35-65 / 青埔+竹科 /常旅行用戶+高收入",not_delivering,268,211,,,,,,82,4500,總經費,12,4.477612,1.270142,2024-08-07,2026-06-05
2023-06-22,2026-07-22,"35-65 / 青埔+竹科 / 網紅短影音部落客",not_delivering,26118,11653,10,2,,2.99888206,actions:post_engagement,5365,7000,總經費,2461,9.42262,2.241311,2024-08-08,2024-08-31
2023-06-22,2026-07-22,"28-60 / 竹科 / 投資股票金融",not_delivering,92266,26063,37,104,,164.42307692,actions:onsite_conversion.messaging_conversation_started_7d,17100,18600,總經費,3837,4.158628,3.540114,2024-08-20,2024-10-25
2023-06-22,2026-07-22,"30-55 / 青埔+竹科 / 科技業+興趣(1030調",inactive,15491,5495,4,1,13,345.69230769,actions:leadgen.other,4494,4500,總經費,570,3.679556,2.819108,2024-10-25,2024-11-07
2023-06-22,2026-07-22,"30-65 / 青埔竹科 / 科技新貴",inactive,11198,3949,,,8,198,actions:leadgen.other,1584,2100,總經費,624,5.572424,2.835655,2024-11-27,2024-12-16
2023-06-22,2026-07-22,"30-65 / 青埔竹科 / 新婚親子教育",inactive,11144,3538,1,,8,331.75,actions:leadgen.other,2654,3500,總經費,678,6.083991,3.149802,2025-01-07,2025-02-03
2023-06-22,2026-07-22,"28-60 / 竹科 / 傳統行業+戶外(4/22加湖口",inactive,90015,18442,45,101,,205.64356436,actions:onsite_conversion.messaging_conversation_started_7d,20770,21300,總經費,3865,4.293729,4.880978,2025-04-02,2025-07-18
2023-06-22,2026-07-22,"新北+青埔+竹科/ 新婚成家輪廓(4/9調)",inactive,1275,794,,,,,,541,5000,總經費,44,3.45098,1.605793,2025-04-07,2025-05-07
2023-06-22,2026-07-22,"新北+青埔+竹科/ 金融+夜生活",inactive,1229,779,,,,,,506,1000,總經費,47,3.824247,1.577664,2025-04-09,2025-04-21
2023-06-22,2026-07-22,"新北+青埔+竹科/ 科技業+投資",inactive,734,516,,,,,,393,1000,總經費,17,2.316076,1.422481,2025-04-10,2025-04-21
2023-06-22,2026-07-22,"28-65/竹南頭份竹科 /北歐質感",inactive,15067,8372,,,2,1372.5,actions:leadgen.other,2745,200,每日,197,1.307493,1.799689,2025-06-17,進行中
2023-06-22,2026-07-22,"28-60 / 竹科 / 傳統行業+戶外2.0",inactive,109128,24730,65,111,6,237.38738739,actions:onsite_conversion.messaging_conversation_started_7d,26350,27500,總經費,4793,4.39209,4.412778,2025-10-03,2026-02-16
2023-06-22,2026-07-22,30-60/新竹/竹科主管/工程師,inactive,3958,2099,,5,1,197,actions:onsite_conversion.messaging_conversation_started_7d,985,150,每日,190,4.800404,1.88566,2025-12-26,進行中
2023-06-22,2026-07-22,"28-65 / 竹北竹科 / 科技業+興趣",inactive,94947,20955,88,137,12,113.17518248,actions:onsite_conversion.messaging_conversation_started_7d,15505,22500,總經費,5767,6.073915,4.530995,2026-01-30,2026-05-12
2023-06-22,2026-07-22,"28-55 / 竹科湖口 /投資股票租賃",inactive,10218,6578,,,3,783,actions:leadgen.other,2349,6500,總經費,274,2.681542,1.55336,2026-02-11,2026-03-08
2023-06-22,2026-07-22,"28-55 / 竹科湖口 / 精品出國酒吧",inactive,22342,8531,1,,10,819.7,actions:leadgen.other,8197,14200,總經費,814,3.643362,2.618919,2026-02-18,2026-04-08
2023-06-22,2026-07-22,"30-55 / 竹科關埔 / 旅遊/藝文/父母",inactive,3761,2535,,,1,1205,actions:leadgen.other,1205,250,每日,97,2.579101,1.483629,2026-04-02,進行中
2023-06-22,2026-07-22,"30-60 / 東區竹科 / 水上活動/工程師",inactive,1799,1155,,,,,,653,300,每日,34,1.889939,1.557576,2026-04-13,進行中
2023-06-22,2026-07-22,"30-65 / 台元/竹科 / 新婚首購2.0-14D廣告互動",inactive,61501,14625,1,3,55,273.03636364,actions:leadgen.other,15017,20500,總經費,1540,2.504024,4.205197,2026-04-20,2026-07-01
2023-06-22,2026-07-22,"30-65 / 青埔竹科 / 高級消費興趣(曝光X)",inactive,2,2,,,,,,0,150,每日,0,0,1,2026-06-02,進行中
2023-06-22,2026-07-22,"30-65 / 青埔竹科 / 高級消費興趣",inactive,4928,2619,1,1,4,611,actions:leadgen.other,1833,150,每日,173,3.510552,1.881634,2026-06-15,2026-06-30
2023-06-22,2026-07-22,32-55/基地+3K竹科/科技新貴,inactive,1188,695,,,,,,530,250,每日,24,2.020202,1.709353,2026-07-01,進行中
2023-06-22,2026-07-22,28–55/竹科竹北/科技走廊置產族,active,2079,1531,,,,,,512,300,每日,70,3.367003,1.357936,2026-07-17,進行中
2023-06-22,2026-07-22,"28-60 / 竹科 / 投資股票金融",inactive,9732,6644,3,9,,207.55555556,actions:onsite_conversion.messaging_conversation_started_7d,1868,3000,總經費,506,5.199342,1.46478,2024-10-21,2025-03-18
2023-06-22,2026-07-22,"35-65/竹南 竹科/投資 汽車經銷 有錢興趣 家庭",inactive,1441,915,,,,,,397,1400,總經費,35,2.428869,1.574863,2024-11-29,2024-12-04
2023-06-22,2026-07-22,"28-60 / 竹科 / 科技業+興趣",inactive,141864,28453,91,217,,133.77419355,actions:onsite_conversion.messaging_conversation_started_7d,29029,33500,總經費,8352,5.887329,4.985907,2024-12-03,2025-09-17
2023-06-22,2026-07-22,"30-65 /竹科 竹南科/自營商 農業 出口貿易 藝術收藏 精品",inactive,15833,7080,2,2,,1499.5,actions:onsite_conversion.messaging_conversation_started_7d,2999,3000,總經費,379,2.393735,2.236299,2024-12-16,2024-12-30
2023-06-22,2026-07-22,"新北+青埔+竹科/ 醫療相關",not_delivering,1145,690,,,1,474,actions:leadgen.other,474,1000,總經費,34,2.969432,1.65942,2025-04-10,2025-04-21
2023-06-22,2026-07-22,"25-55/純竹科/ 家庭生活品質(0606改",inactive,3948,2578,,1,,644,actions:onsite_conversion.messaging_conversation_started_7d,644,200,每日,72,1.823708,1.53142,2025-06-04,進行中
2023-06-22,2026-07-22,"30-65 / 竹科 巨城 / 科技新貴+旅遊(0807調區域)",not_delivering,15385,5442,2,7,12,249.25,actions:leadgen.other,2991,100,每日,483,3.139422,2.827086,2025-07-29,2025-08-22
2023-06-22,2026-07-22,"28-65/竹南頭份竹科 /1%公務員",inactive,8754,3225,,,1,2014,actions:leadgen.other,2014,300,每日,226,2.581677,2.714419,2025-08-13,進行中
2023-06-22,2026-07-22,"28-65 / 竹科東區 / 傳產+投資",inactive,603,455,,,,,,126,1260,總經費,8,1.3267,1.325275,2025-08-28,2025-09-12
2023-06-22,2026-07-22,"28-65 / 竹科東區 / 再行銷",inactive,4248,2316,2,1,2,544.5,actions:leadgen.other,1089,150,每日,167,3.931262,1.834197,2025-08-29,進行中
