# ----------------------------------------
# https://www.famwood.com.tw/
# 自然紅屋報表-G/CPC/重要事件
# 20260701-20260805
# ----------------------------------------

區隔,所有使用者,付費流量,G/使用者來源媒介/cpc,所有使用者,付費流量
事件名稱,form_submit,form_submit,form_submit,click_line,click_line
最初招攬到使用者的 Google Ads 關鍵字文字,事件計數,事件計數,事件計數,事件計數,事件計數
,582,275,257,210,94,總計
(not set),340,38,15,135,22
度假別墅,32,32,32,7,7
移動 式 組合 屋 價格,26,26,26,9,9
行動 木屋,25,25,25,8,8
移動 式 組合 屋,24,23,24,5,5
移動 木屋,17,16,17,1,0
自然 紅屋,13,13,13,11,10
度假 屋,12,12,12,5,5
木屋 價格,12,10,12,4,3
紅屋 木屋,9,9,9,3,3
台中 木屋,7,7,7,0,0
居 林木 構 建築,7,7,7,1,1
移動 小 木屋,7,7,7,1,1
自然 紅屋 價格,7,7,7,1,1
泱 泱 自然,6,5,6,2,2
移動 房屋 台灣,6,6,6,1,1
行動 木屋 價格,5,5,5,2,2
台灣 木屋,4,4,4,0,0
Tiny house 台灣,3,3,3,0,0
微型 住宅,3,3,3,0,0
移動 組合 屋,3,3,3,4,4
迷你 屋,3,3,3,4,4
微型 屋,2,2,2,1,1
移動 木屋 價格,2,2,2,0,0
居林,1,1,1,1,1
微型 房屋,1,1,1,1,1
德 豐 木 業,1,1,1,1,1
移動 式 住宅 價格,1,1,1,0,0
退休宅,1,1,1,0,0
鋼 構 木屋,1,1,1,0,0
高 圻 組合 屋,1,1,1,0,0
台中 紅屋,0,0,0,2,2

