# ----------------------------------------
# https://www.famwood.com.tw/
# 自然紅屋報表-送出表單
# 20260701-20260805
# ----------------------------------------

,區隔,點擊送出表單,點擊送出表單,總計,總計
最初招攬到使用者的來源/媒介,最初招攬到使用者的 Google Ads 關鍵字文字,總人數,事件計數,總人數,事件計數
,,410,22787,410,22787,總計
google / organic,(not set),97,5746,97,5746
(direct) / (none),(not set),40,2281,40,2281
google / cpc,度假別墅,29,1085,29,1085
google / cpc,移動 式 組合 屋 價格,22,1016,22,1016
google / cpc,移動 式 組合 屋,21,1034,21,1034
(data not available),(not set),12,444,12,444
facebook.com / referral,(not set),12,425,12,425
google / cpc,度假 屋,12,398,12,398
google / cpc,自然 紅屋,12,793,12,793
google / cpc,行動 木屋,12,561,12,561
google / cpc,移動 木屋,11,715,11,715
m.facebook.com / referral,(not set),11,545,11,545
youtube.com / referral,(not set),11,818,11,818
(not set),(not set),10,263,10,263
google / cpc,木屋 價格,8,383,8,383
google / cpc,移動 小 木屋,8,296,8,296
l.facebook.com / referral,(not set),7,807,7,807
famwoodproduct.wixsite.com / referral,(not set),6,498,6,498
google / cpc,居 林木 構 建築,6,255,6,255
google / cpc,紅屋 木屋,6,340,6,340
google / cpc,(not set),5,461,5,461
google / cpc,台中 木屋,5,442,5,442
google / cpc,移動 房屋 台灣,5,149,5,149
google / cpc,自然 紅屋 價格,5,265,5,265
bing / organic,(not set),4,258,4,258
google / cpc,泱 泱 自然,4,311,4,311
ig / social,(not set),4,279,4,279
google / cpc,台灣 木屋,3,115,3,115
google / cpc,微型 住宅,3,135,3,135
google / cpc,移動 木屋 價格,3,75,3,75
google / cpc,移動 組合 屋,3,110,3,110
fb / 20231221FB,(not set),2,78,2,78
fb / paid,(not set),2,107,2,107
google / cpc,Tiny house 台灣,2,104,2,104
google / cpc,微型 屋,2,77,2,77
google / cpc,行動 木屋 價格,2,154,2,154
google / cpc,迷你 屋,2,184,2,184
google / cpc,退休宅,2,93,2,93
lm.facebook.com / referral,(not set),2,217,2,217
tw.search.yahoo.com / referral,(not set),2,121,2,121
google / cpc,居林,1,52,1,52
google / cpc,微型 房屋,1,51,1,51
google / cpc,德 豐 木 業,1,25,1,25
google / cpc,移動 式 住宅 價格,1,29,1,29
google / cpc,鋼 構 木屋,1,31,1,31
google / cpc,高 圻 組合 屋,1,55,1,55
mobile01.com / referral,(not set),1,106,1,106

