分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,成果,成果指標,每次成果成本,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-12-19,2026-07-24,"35-65 / 中部 / 露營興趣(0108+興趣)",inactive,38201,18017,17,4,111,111,actions:leadgen.other,113.90990991,12644,300,每日,2301,6.023403,2.120275,2025-12-31,進行中
2025-12-19,2026-07-24,"35-65 / 中彰投 / 退休度假興趣(0212改地點)",active,87544,29094,31,3,200,200,actions:leadgen.other,129.585,25917,300,每日,5171,5.906744,3.009005,2026-01-13,進行中
2025-12-19,2026-07-24,"35-65 / 桃竹苗 / 長輩休閒",inactive,5961,3847,2,1,19,18,actions:leadgen.other,102.16666667,1839,250,每日,371,6.223788,1.549519,2026-02-24,進行中
2025-12-19,2026-07-24,"35-65 / 台南高雄 / 長輩休閒",not_delivering,135829,55375,,,,5925,actions:omni_landing_page_view,1.50261603,8903,350,每日,9603,7.069919,2.452894,2026-04-08,進行中
2025-12-19,2026-07-24,"35-65 / 台中山區 / 鄉村休閒/老闆(0410改點)",inactive,53270,23874,,,,1730,actions:omni_landing_page_view,2.40635838,4163,300,每日,2839,5.329454,2.231298,2026-04-08,進行中
2025-12-19,2026-07-24,"35-65 / 竹北+8K / 露營興趣",inactive,56308,23681,,,,1894,actions:omni_landing_page_view,2.17001056,4110,300,每日,3051,5.418413,2.377771,2026-04-08,進行中
2025-12-19,2026-07-24,"35-65 / 中部 / 退休組合屋",inactive,48173,32440,,,,1242,actions:omni_landing_page_view,4.0257649,5000,5000,總經費,2699,5.602724,1.484988,2026-04-14,2026-04-18
2025-12-19,2026-07-24,"35-65 / 豐原北屯山線 / 戶外家具/自營商",archived,0,0,,,,,,,0,300,每日,0,0,0,2026-04-22,進行中
2025-12-19,2026-07-24,"35-65 / 豐原北屯山線 / 戶外家具/自營商",not_delivering,82517,27902,4,1,,82,actions:click_to_call_native_call_placed,122.20731707,10021,15000,總經費,1782,2.159555,2.957387,2026-04-22,2026-06-03
2025-12-19,2026-07-24,"35-65 / 竹北+8K / 露營興趣(曝光問題)",inactive,1304,1182,,,2,2,actions:leadgen.other,226,452,300,每日,92,7.055215,1.103215,2026-04-22,進行中
