# ----------------------------------------
# 臻富裕ALTALIPA
# 臻富裕-G來源關鍵字
# 20260701-20260805
# ----------------------------------------

區隔,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,所有使用者,總計,總計,總計,總計,總計,總計
最初招攬到使用者的 Google Ads 關鍵字文字,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動,總人數,工作階段,互動工作階段,平均工作階段持續時間,參與度,重要活動
,727,789,480,98.98499115082382,0.6083650190114068,1,727,789,480,98.98499115082382,0.6083650190114068,1,總計
百葉窗簾,119,136,77,83.99540160294117,0.5661764705882353,0,119,136,77,83.99540160294117,0.5661764705882353,0
窗簾推薦,99,104,75,80.77142753846154,0.7211538461538461,1,99,104,75,80.77142753846154,0.7211538461538461,1
蜂巢簾,88,91,53,121.3210670989011,0.5824175824175825,0,88,91,53,121.3210670989011,0.5824175824175825,0
窗簾價格,52,58,34,74.15670793103449,0.5862068965517241,0,52,58,34,74.15670793103449,0.5862068965517241,0
遮光窗簾,49,51,28,52.85782992156862,0.5490196078431373,0,49,51,28,52.85782992156862,0.5490196078431373,0
木百葉,47,61,34,179.15570016393443,0.5573770491803278,0,47,61,34,179.15570016393443,0.5573770491803278,0
調光簾,39,40,20,69.69432275,0.5,0,39,40,20,69.69432275,0.5,0
電動窗簾,38,42,26,127.61241521428572,0.6190476190476191,0,38,42,26,127.61241521428572,0.6190476190476191,0
風琴簾,30,30,22,110.09936776666667,0.7333333333333333,0,30,30,22,110.09936776666667,0.7333333333333333,0
百葉窗 安裝,26,30,16,107.70975983333334,0.5333333333333333,0,26,30,16,107.70975983333334,0.5333333333333333,0
電動百葉,26,27,21,83.68220774074074,0.7777777777777778,0,26,27,21,83.68220774074074,0.7777777777777778,0
隔熱窗簾,22,22,12,67.23767272727274,0.5454545454545454,0,22,22,12,67.23767272727274,0.5454545454545454,0
窗簾設計,16,20,15,104.98348930000002,0.75,0,16,20,15,104.98348930000002,0.75,0
木 百葉窗,15,18,10,57.787506333333326,0.5555555555555556,0,15,18,10,57.787506333333326,0.5555555555555556,0
調光捲簾,14,15,9,85.04072040000001,0.6,0,14,15,9,85.04072040000001,0.6,0
(not set),10,10,0,0.5055105,0,0,10,10,0,0.5055105,0,0
實木百葉,10,10,9,74.3717656,0.9,0,10,10,9,74.3717656,0.9,0
窗簾訂製,6,6,3,35.4683225,0.5,0,6,6,3,35.4683225,0.5,0
防水窗簾,6,6,6,233.39582566666664,1,0,6,6,6,233.39582566666664,1,0
ALTALIPA,5,6,4,418.0810716666667,0.6666666666666666,0,5,6,4,418.0810716666667,0.6666666666666666,0
美式百葉窗,4,4,2,54.548646749999996,0.5,0,4,4,2,54.548646749999996,0.5,0
實木百葉窗,3,3,3,328.81172,1,0,3,3,3,328.81172,1,0
塑鋁百葉窗,1,1,1,159.467708,1,0,1,1,1,159.467708,1,0
布百葉,1,1,1,239.587907,1,0,1,1,1,239.587907,1,0
皮百葉,1,1,0,0,0,0,1,1,0,0,0,0

