分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,成果,成果指標,每次成果成本,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-07-01,2026-08-05,0925_抽獎活動,inactive,0,0,,,,,,,0,100,每日,0,0,0,2025-09-25,2026-07-17
2026-07-01,2026-08-05,0903_靜音緩衝(影音),not_delivering,0,0,,,,,,,0,250,每日,0,0,0,2026-05-28,進行中
2026-07-01,2026-08-05,0420_全客製化窗飾上集(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-05-28,進行中
2026-07-01,2026-08-05,0908_天窗案例(影音),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-05-28,進行中
2026-07-01,2026-08-05,20260603_全客製化窗飾下集(影片),not_delivering,0,0,,,,,,,0,250,每日,0,0,0,2026-05-28,進行中
2026-07-01,2026-08-05,20260603_全客製化窗飾下集(影片),not_delivering,0,0,,,,,,,0,200,每日,0,0,0,2026-05-27,進行中
2026-07-01,2026-08-05,20260603_全客製化窗飾下集(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2025-11-11,進行中
2026-07-01,2026-08-05,0420_全客製化窗飾上集(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2025-11-11,進行中
2026-07-01,2026-08-05,20260603_全客製化窗飾下集(影片),not_delivering,7371,4309,,3,,3,actions:onsite_conversion.messaging_conversation_started_7d,270.66666667,812,250,每日,104,1.410935,1.710606,2026-06-30,進行中
2026-07-01,2026-08-05,0903_靜音緩衝(影音),inactive,18181,11062,1,8,,8,actions:onsite_conversion.messaging_conversation_started_7d,338.5,2708,250,每日,418,2.299103,1.643555,2026-06-30,進行中
2026-07-01,2026-08-05,1222_天棚簾(影片),inactive,25124,13363,1,14,,14,actions:onsite_conversion.messaging_conversation_started_7d,275,3850,250,每日,456,1.814998,1.880117,2026-06-30,進行中
2026-07-01,2026-08-05,1222_天棚簾(影片),inactive,9169,5465,1,4,,4,actions:onsite_conversion.messaging_conversation_started_7d,302.5,1210,250,每日,139,1.515978,1.677768,2026-06-30,進行中
2026-07-01,2026-08-05,20260603_全客製化窗飾下集(影片),not_delivering,39,36,,,,,,,3,250,每日,2,5.128205,1.083333,2026-06-30,進行中
2026-07-01,2026-08-05,0903_靜音緩衝(影音),inactive,1752,1271,,1,,1,actions:onsite_conversion.messaging_conversation_started_7d,413,413,250,每日,33,1.883562,1.378442,2026-06-30,進行中
2026-07-01,2026-08-05,0420_全客製化窗飾上集(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-06-30,進行中
2026-07-01,2026-08-05,0908_天窗案例(影音),not_delivering,983,623,,,,,,,237,250,每日,14,1.424212,1.577849,2026-06-30,進行中
2026-07-01,2026-08-05,0903_靜音緩衝(影音),inactive,3712,2572,,9,,9,actions:onsite_conversion.messaging_conversation_started_7d,128.66666667,1158,250,每日,120,3.232759,1.443235,2026-07-08,進行中
2026-07-01,2026-08-05,1222_天棚簾(影片),active,34976,19811,2,34,1,34,actions:onsite_conversion.messaging_conversation_started_7d,143.73529412,4887,250,每日,741,2.118596,1.765484,2026-07-08,進行中
2026-07-01,2026-08-05,20260603_全客製化窗飾下集(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-07-08,進行中
2026-07-01,2026-08-05,20260710_全遮陽窗飾(影片),not_delivering,2217,1659,,,,,,,361,250,每日,37,1.668922,1.336347,2026-06-30,進行中
2026-07-01,2026-08-05,20260710_全遮陽窗飾(影片),active,251,209,,1,,1,actions:onsite_conversion.messaging_conversation_started_7d,90,90,250,每日,11,4.38247,1.200957,2026-07-08,進行中
2026-07-01,2026-08-05,0710_抽獎活動,not_delivering,4181,2083,184,,,830,actions:post_engagement,1.07108434,889,100,每日,648,15.498685,2.007201,2025-09-25,2026-07-17
2026-07-01,2026-08-05,0903_靜音緩衝(影音),active,597,492,,2,,2,actions:onsite_conversion.messaging_conversation_started_7d,116,232,250,每日,23,3.852596,1.213415,2026-08-04,進行中
2026-07-01,2026-08-05,20260710_全遮陽窗飾(影片),active,105,73,,,,,,,39,250,每日,2,1.904762,1.438356,2026-08-04,進行中
2026-07-01,2026-08-05,1222_天棚簾(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-08-04,進行中
2026-07-01,2026-08-05,0903_靜音緩衝(影音),not_delivering,0,0,,,,,,,0,250,每日,0,0,0,2025-11-11,進行中
2026-07-01,2026-08-05,0908_天窗案例(影音),not_delivering,0,0,,,,,,,0,250,每日,0,0,0,2025-11-11,進行中
2026-07-01,2026-08-05,1222_天棚簾(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2025-11-11,進行中
2026-07-01,2026-08-05,1230_開運窗,inactive,0,0,,,,,,,0,250,每日,0,0,0,2025-11-11,進行中
2026-07-01,2026-08-05,1222_天棚簾(影片),inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-05-27,進行中
2026-07-01,2026-08-05,0903_靜音緩衝(影音),inactive,0,0,,,,,,,0,200,每日,0,0,0,2026-05-27,進行中
2026-07-01,2026-08-05,0420_全客製化窗飾(影片),not_delivering,0,0,,,,,,,0,200,每日,0,0,0,2026-05-27,進行中
2026-07-01,2026-08-05,1222_天棚簾(影片),inactive,0,0,,,,,,,0,250,每日,0,0,0,2026-05-28,進行中
