分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,成果,成果指標,每次成果成本,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-20,2026-09-11,"25-55 / 北部中彰 /百葉簾家具(1208+北部&興趣)",inactive,78732,26946,6,118,3,118,actions:onsite_conversion.messaging_conversation_started_7d,177.1440678,20903,200,每日,2670,3.391251,2.921844,2025-10-20,進行中
2025-10-20,2026-09-11,"25-55 / 大台中 / 美學裝潢",inactive,61225,21469,3,101,4,101,actions:onsite_conversion.messaging_conversation_started_7d,182.34653465,18417,250,每日,1881,3.072274,2.851786,2025-11-11,進行中
2025-10-20,2026-09-11,"25-55 / 中彰沿海 / 家庭房產裝修",inactive,6798,3860,1,8,,8,actions:onsite_conversion.messaging_conversation_started_7d,227.5,1820,100,每日,209,3.074434,1.76114,2025-11-25,進行中
2025-10-20,2026-09-11,"25-55 / 中彰 / 軟裝整建(018改地點)",inactive,37614,14440,5,40,3,40,actions:onsite_conversion.messaging_conversation_started_7d,216.15,8646,200,每日,1057,2.810124,2.604848,2026-01-12,進行中
2025-10-20,2026-09-11,"25-55 / 北部中彰 / 設計建築業",inactive,969,689,,,,,,,345,200,每日,30,3.095975,1.406386,2026-01-14,進行中
2025-10-20,2026-09-11,"中彰再行銷 / 臻富裕",inactive,14669,5227,,16,4,16,actions:onsite_conversion.messaging_conversation_started_7d,339.5625,5433,150,每日,315,2.147386,2.80639,2026-01-28,2026-02-28
2025-10-20,2026-09-11,"28-55 / 台中(西屯沙鹿) / 居家裝飾設計(0305改地點)",inactive,46055,21606,6,46,6,46,actions:onsite_conversion.messaging_conversation_started_7d,197.60869565,9090,150,每日,1209,2.625122,2.131584,2026-02-28,進行中
2025-10-20,2026-09-11,"28-55 / 彰化(彰市員林)  / 軟裝採購",inactive,3229,2014,,,,,,,539,100,每日,78,2.415609,1.603277,2026-03-05,進行中
2025-10-20,2026-09-11,"28-55 / 南投(草屯南市) / 軟裝採購",inactive,2674,1474,,,,,,,522,100,每日,40,1.495886,1.814111,2026-03-05,進行中
2025-10-20,2026-09-11,"28-55 / 苗栗 / 居家裝飾設計(0325擴大)",inactive,26480,10951,1,9,1,9,actions:onsite_conversion.messaging_conversation_started_7d,434.66666667,3912,100,每日,541,2.043051,2.418044,2026-03-05,進行中
2025-10-20,2026-09-11,"28-55 / 南投(草屯南市) / 百葉簾家具",inactive,3572,2138,,,,,,,591,100,每日,85,2.379619,1.67072,2026-03-10,進行中
2025-10-20,2026-09-11,"28-55 /彰化(彰市員林) / 百葉簾家具",inactive,7736,3996,,4,,4,actions:onsite_conversion.messaging_conversation_started_7d,387.75,1551,100,每日,215,2.779214,1.935936,2026-03-10,進行中
2025-10-20,2026-09-11,"28-55 / 台中(北屯豐原) / 家具零售",inactive,27315,13790,2,18,3,18,actions:onsite_conversion.messaging_conversation_started_7d,292.33333333,5262,250,每日,738,2.701812,1.980783,2026-03-18,進行中
