分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2025-10-17,2026-05-29,"28-55 / 沙鹿清水 / 公教職員",inactive,1030,647,,,,,,253,150,每日,30,1.591963,2.912621,2026-01-28,進行中
2025-10-17,2026-05-29,"30-60 / 台1中科 / 科技工業",inactive,806,584,,1,,,,415,200,每日,19,1.380137,2.35732,2026-01-28,進行中
2025-10-17,2026-05-29,"30-60 / 沙鹿大雅 / 傳產農業園藝",inactive,1752,1286,,,1,1058,actions:leadgen.other,1058,200,每日,82,1.362364,4.680365,2026-01-30,進行中
2025-10-17,2026-05-29,"30-60 / 沙鹿龍井 / 生活用品",inactive,2423,1520,1,,,,,612,200,每日,69,1.594079,2.847709,2026-01-30,進行中
2025-10-17,2026-05-29,"28-55 / 沙鹿西屯 / 工程師興趣",inactive,2149,1436,1,,,,,977,250,每日,58,1.496518,2.69893,2026-02-02,進行中
2025-10-17,2026-05-29,"28-55 / 沙鹿清水 / 公部門職業",inactive,3215,1758,,,,,,728,250,每日,115,1.828783,3.576983,2026-02-03,進行中
2025-10-17,2026-05-29,"30-55 / 龍井 / 工業家庭",inactive,2553,1584,,,,,,971,250,每日,60,1.611742,2.350176,2026-02-05,進行中
2025-10-17,2026-05-29,"30-55 / 沙鹿 / 物流建築工程",inactive,2603,1608,,,,,,994,250,每日,59,1.618781,2.266615,2026-02-05,進行中
2025-10-17,2026-05-29,"30-55 / 沙鹿 / 家庭房產理財",inactive,4138,1959,1,,,,,959,250,每日,125,2.112302,3.020783,2026-02-09,2026-02-14
2025-10-17,2026-05-29,"30-55 / 東海西屯 / 通勤業務運動",inactive,3100,2039,,,4,368.25,actions:leadgen.other,1473,350,每日,91,1.520353,2.935484,2026-02-09,2026-02-14
2025-10-17,2026-05-29,"30-50 / 東海西屯 / 業務性質",inactive,1223,525,,,,,,526,200,每日,42,2.329524,3.434178,2026-02-23,進行中
2025-10-17,2026-05-29,"30-50 / 沙鹿梧棲 / 零售批發自營",inactive,4203,1522,1,,1,1096,actions:leadgen.other,1096,150,每日,118,2.761498,2.807518,2026-02-23,進行中
2025-10-17,2026-05-29,"30-55 / 東海西屯 / 通勤業務運動",inactive,2506,1406,,,,,,1403,200,每日,76,1.782361,3.032721,2026-02-23,進行中
2025-10-17,2026-05-29,"28-55 / 台灣大道沿線 / 成家年輕人",inactive,1195,727,,,,,,469,200,每日,29,1.643741,2.426778,2026-03-02,進行中
2025-10-17,2026-05-29,"27-50 / 龍井、大肚、清水/ 藍領工業教師(排除ig/純影片)",inactive,696,488,,,,,,359,150,每日,23,1.42623,3.304598,2026-03-02,進行中
2025-10-17,2026-05-29,"30-55 / 沙鹿龍井 / 上班族戶外",inactive,5404,2817,1,2,3,885.66666667,actions:leadgen.other,2657,200,每日,192,1.918353,3.552924,2026-03-03,進行中
2025-10-17,2026-05-29,"30-55 / 東海沙鹿 / 上班族身心健康",inactive,1846,1168,,,1,1153,actions:leadgen.other,1153,150,每日,52,1.580479,2.816901,2026-03-03,進行中
2025-10-17,2026-05-29,"30-55 / 龍井梧棲 / 有小孩寵物",inactive,2142,1216,,,,,,630,100,每日,75,1.761513,3.501401,2026-03-11,進行中
2025-10-17,2026-05-29,"30-55 / 沙鹿清水中科 / 製造業公務員",inactive,3603,1659,1,,2,870,actions:leadgen.other,1740,300,每日,140,2.17179,3.885651,2026-03-19,進行中
2025-10-17,2026-05-29,"30-55 / 沙鹿清水中科 / 雙薪小家庭",inactive,11325,4937,2,,5,1229.4,actions:leadgen.other,6147,300,每日,281,2.293903,2.481236,2026-03-26,進行中
