分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2025-10-17,2026-06-09,"28-55 / 沙鹿清水 / 公教職員",inactive,1030,647,,,,,,253,150,每日,30,1.456311,1.591963,2026-01-28,進行中
2025-10-17,2026-06-09,"30-60 / 台1中科 / 科技工業",inactive,806,584,,1,,,,415,200,每日,19,1.116625,1.380137,2026-01-28,進行中
2025-10-17,2026-06-09,"30-60 / 沙鹿大雅 / 傳產農業園藝",inactive,1752,1286,,,1,1058,actions:leadgen.other,1058,200,每日,82,2.226027,1.362364,2026-01-30,進行中
2025-10-17,2026-06-09,"30-60 / 沙鹿龍井 / 生活用品",inactive,2423,1520,1,,,,,612,200,每日,69,1.155592,1.594079,2026-01-30,進行中
2025-10-17,2026-06-09,"28-55 / 沙鹿西屯 / 工程師興趣",inactive,2149,1436,1,,,,,977,250,每日,58,1.070265,1.496518,2026-02-02,進行中
2025-10-17,2026-06-09,"28-55 / 沙鹿清水 / 公部門職業",inactive,3215,1758,,,,,,728,250,每日,115,1.026439,1.828783,2026-02-03,進行中
2025-10-17,2026-06-09,"30-55 / 龍井 / 工業家庭",inactive,2553,1584,,,,,,971,250,每日,60,0.665883,1.611742,2026-02-05,進行中
2025-10-17,2026-06-09,"30-55 / 沙鹿 / 物流建築工程",inactive,2603,1608,,,,,,994,250,每日,59,0.96043,1.618781,2026-02-05,進行中
2025-10-17,2026-06-09,"30-55 / 沙鹿 / 家庭房產理財",inactive,4138,1959,1,,,,,959,250,每日,125,1.014983,2.112302,2026-02-09,2026-02-14
2025-10-17,2026-06-09,"30-55 / 東海西屯 / 通勤業務運動",inactive,3100,2039,,,4,368.25,actions:leadgen.other,1473,350,每日,91,1.419355,1.520353,2026-02-09,2026-02-14
2025-10-17,2026-06-09,"30-50 / 東海西屯 / 業務性質",inactive,1223,525,,,,,,526,200,每日,42,1.308258,2.329524,2026-02-23,進行中
2025-10-17,2026-06-09,"30-50 / 沙鹿梧棲 / 零售批發自營",inactive,4203,1522,1,,1,1096,actions:leadgen.other,1096,150,每日,118,0.927909,2.761498,2026-02-23,進行中
2025-10-17,2026-06-09,"30-55 / 東海西屯 / 通勤業務運動",inactive,2506,1406,,,,,,1403,200,每日,76,1.396648,1.782361,2026-02-23,進行中
2025-10-17,2026-06-09,"28-55 / 台灣大道沿線 / 成家年輕人",inactive,1195,727,,,,,,469,200,每日,29,0.753138,1.643741,2026-03-02,進行中
2025-10-17,2026-06-09,"27-50 / 龍井、大肚、清水/ 藍領工業教師(排除ig/純影片)",inactive,696,488,,,,,,359,150,每日,23,0.718391,1.42623,2026-03-02,進行中
2025-10-17,2026-06-09,"30-55 / 沙鹿龍井 / 上班族戶外",inactive,5404,2817,1,2,3,885.66666667,actions:leadgen.other,2657,200,每日,192,1.609919,1.918353,2026-03-03,進行中
2025-10-17,2026-06-09,"30-55 / 東海沙鹿 / 上班族身心健康",inactive,1846,1168,,,1,1153,actions:leadgen.other,1153,150,每日,52,1.408451,1.580479,2026-03-03,進行中
2025-10-17,2026-06-09,"30-55 / 龍井梧棲 / 有小孩寵物",inactive,2142,1216,,,,,,630,100,每日,75,1.353875,1.761513,2026-03-11,進行中
2025-10-17,2026-06-09,"30-55 / 沙鹿清水中科 / 製造業公務員",inactive,3603,1659,1,,2,870,actions:leadgen.other,1740,300,每日,140,1.470996,2.17179,2026-03-19,進行中
2025-10-17,2026-06-09,"30-55 / 沙鹿清水中科 / 雙薪小家庭",inactive,11325,4937,2,,5,1229.4,actions:leadgen.other,6147,300,每日,281,1.024283,2.293903,2026-03-26,進行中
2025-10-17,2026-06-09,"30-55 / 沙鹿清水中科 / 單身族",inactive,1241,943,,,,,,590,300,每日,36,1.369863,1.316013,2026-03-31,進行中
2025-10-17,2026-06-09,"30-55 / 沙鹿清水中科 / 雙薪成家首購+1%",inactive,6365,3158,,,2,1491,actions:leadgen.other,2982,250,每日,163,1.099764,2.015516,2026-04-02,進行中
2025-10-17,2026-06-09,"202510_華偉知見_高效訊息_中科沙鹿_科技新貴 廣告組合",inactive,226,191,,,,,,29,300,每日,7,,1.183246,2025-10-27,進行中
2025-10-17,2026-06-09,"27-55 / 中科南屯 / 工程師美食",inactive,2303,1693,,1,,696,actions:onsite_conversion.messaging_conversation_started_7d,696,5000,總經費,40,0.564481,1.360307,2025-10-28,2025-11-16
2025-10-17,2026-06-09,"27-55 / 沙鹿西屯 / 設計 金融 教育",inactive,5658,3657,,4,1,417.75,actions:onsite_conversion.messaging_conversation_started_7d,1671,5000,總經費,59,0.4772,1.54717,2025-10-28,2025-11-16
2025-10-17,2026-06-09,"27-55 / 中科南屯沙鹿 / 藍領 / 銀行保險",inactive,3391,2105,,1,,1157,actions:onsite_conversion.messaging_conversation_started_7d,1157,4500,總經費,64,0.766735,1.610926,2025-10-31,2025-11-16
2025-10-17,2026-06-09,"28-60 / 沙鹿中科 / 1%+房地產(1119+1%)",inactive,20252,7009,2,11,,402.09090909,actions:onsite_conversion.messaging_conversation_started_7d,4423,200,每日,710,0.701165,2.889428,2025-11-03,進行中
2025-10-17,2026-06-09,"28-60 / 沙鹿清水龍井 / 在地美食 / 日用品",inactive,3705,2074,,2,,482.5,actions:onsite_conversion.messaging_conversation_started_7d,965,250,每日,141,0.674764,1.786403,2025-11-03,進行中
2025-10-17,2026-06-09,"28-55 / 沙鹿西屯 / 文青",inactive,10019,4404,,6,1,496,actions:onsite_conversion.messaging_conversation_started_7d,2976,200,每日,475,0.618824,2.274977,2025-11-07,進行中
2025-10-17,2026-06-09,"28-55 / 梧棲中科 / 服務零售業",inactive,4851,2773,1,4,,415.25,actions:onsite_conversion.messaging_conversation_started_7d,1661,200,每日,176,0.556586,1.749369,2025-11-17,進行中
2025-10-17,2026-06-09,"30-60 / 中科台1沿線 / 大公司旅遊",inactive,5349,2498,1,1,,1017,actions:onsite_conversion.messaging_conversation_started_7d,1017,200,每日,166,0.598243,2.141313,2025-12-22,進行中
2025-10-17,2026-06-09,"28-55 / 沙鹿清水 / 戶外露營釣魚",inactive,19009,6704,3,6,,409.83333333,actions:onsite_conversion.messaging_conversation_started_7d,2459,200,每日,430,0.399811,2.835471,2025-12-22,進行中
2025-10-17,2026-06-09,"28-55 / 台1沿線 / 儲蓄技術員",inactive,3384,2703,,,,,,558,200,每日,78,0.472813,1.251942,2026-01-07,進行中
2025-10-17,2026-06-09,"30-60 / 沙鹿南屯 / 五金日用品",inactive,2525,1440,,1,,734,actions:onsite_conversion.messaging_conversation_started_7d,734,200,每日,82,0.39604,1.753472,2026-01-09,進行中
2025-10-17,2026-06-09,"30-60 / 台1沿線 / 警消運動",inactive,3449,2144,1,,,,,582,200,每日,76,0.550884,1.608675,2026-01-12,進行中
2025-10-17,2026-06-09,"30-60 / 台1中科 / 科技工業",inactive,2463,1784,,,1,1057,actions:leadgen.other,1057,350,每日,107,1.705238,1.380605,2026-01-21,進行中
2025-10-17,2026-06-09,台中海線粉專在行銷,inactive,730,423,1,,,,,303,150,每日,48,1.780822,1.725768,2026-01-24,進行中
2025-10-17,2026-06-09,"25-55 / 沙鹿車站 / 房地產",inactive,1347,1011,,,1,375,actions:leadgen.other,375,200,每日,73,2.895323,1.332344,2026-01-24,進行中
2025-10-17,2026-06-09,"海線再行銷 / 華偉知見(0309縮小受眾",inactive,1066,403,,,,,,514,100,每日,40,1.219512,2.645161,2026-03-05,2026-03-10
2025-10-17,2026-06-09,"30-55 / 沙鹿梧棲中科 / 科技業生活興趣",inactive,2534,1772,,,1,1734,actions:leadgen.other,1734,250,每日,68,1.223362,1.430023,2026-04-15,進行中
2025-10-17,2026-06-09,"30-55/沙鹿+東海＋新光田/ 直銷/電商/業務",inactive,3214,1193,,,1,1562,actions:leadgen.other,1562,200,每日,82,0.902302,2.694049,2026-05-05,進行中
2025-10-17,2026-06-09,"28-55 / 沙鹿清水 / 公教職員",inactive,1935,945,,,,,,689,150,每日,63,1.033592,2.047619,2026-05-07,進行中
2025-10-17,2026-06-09,"30-60 / 台1中科 / 科技工業",inactive,23277,8420,,10,,383,actions:onsite_conversion.messaging_conversation_started_7d,3830,300,每日,793,0.743223,2.764489,2026-05-11,進行中
2025-10-17,2026-06-09,"28-55 / 沙鹿清水 / 公教職員",inactive,27131,7568,1,8,,470.125,actions:onsite_conversion.messaging_conversation_started_7d,3761,300,每日,753,0.689248,3.584963,2026-05-21,進行中
2025-10-17,2026-06-09,30-60/東海南屯/自住/技術員/公職,active,9389,4289,,2,,799.5,actions:onsite_conversion.messaging_conversation_started_7d,1599,300,每日,272,0.884013,2.189088,2026-06-04,進行中
2025-10-17,2026-06-09,"30-60 / 沙鹿梧棲清水 / 保險 銀行業",inactive,2710,1177,,1,,443,actions:onsite_conversion.messaging_conversation_started_7d,443,200,每日,61,0.405904,2.302464,2025-10-17,進行中
2025-10-17,2026-06-09,"27-55 / 中科沙鹿梧棲 / 年輕人 科技工業(1027TA)",inactive,5624,2993,,6,,276.33333333,actions:onsite_conversion.messaging_conversation_started_7d,1658,300,每日,116,0.3734,1.879051,2025-10-17,進行中
2025-10-17,2026-06-09,"27-55 / 西屯沙鹿 / 醫療相關",inactive,934,479,1,1,,281,actions:onsite_conversion.messaging_conversation_started_7d,281,300,每日,19,0.107066,1.949896,2025-10-22,進行中
2025-10-17,2026-06-09,"27-55 / 中科沙鹿梧棲 / 娛樂 串流媒體",inactive,1743,915,,1,,567,actions:onsite_conversion.messaging_conversation_started_7d,567,300,每日,30,0.114745,1.904918,2025-10-22,進行中
2025-10-17,2026-06-09,"28-55 / 沙鹿清水梧棲 / 航空業 地勤",inactive,652,361,,1,1,216,actions:onsite_conversion.messaging_conversation_started_7d,216,300,每日,10,0.153374,1.806094,2025-10-23,進行中
2025-10-17,2026-06-09,"202510_華偉知見_高效訊息_梧棲中科_小家庭 廣告組合",inactive,14401,6895,2,15,2,313.2,actions:onsite_conversion.messaging_conversation_started_7d,4698,200,每日,671,0.66662,2.088615,2025-10-27,進行中
2025-10-17,2026-06-09,"202511_華偉知見_高效訊息_梧棲中科_家庭科技 廣告組合",inactive,7516,4553,,3,,386,actions:onsite_conversion.messaging_conversation_started_7d,1158,150,每日,269,0.572113,1.65078,2025-11-19,進行中
2025-10-17,2026-06-09,"28-55 / 沙鹿清水 / 公教職員(1201+清水)",not_delivering,39910,11814,9,23,,267.95652174,actions:onsite_conversion.messaging_conversation_started_7d,6163,200,每日,1474,0.553746,3.378195,2025-11-21,進行中
2025-10-17,2026-06-09,"30-60 / 台1中科 / 科技工業(0113擴大+微調)",not_delivering,59173,20719,8,36,1,273.80555556,actions:onsite_conversion.messaging_conversation_started_7d,9857,200,每日,1913,0.534027,2.855978,2025-11-26,進行中
2025-10-17,2026-06-09,"30-60 / 台1中科 / 科技工業",inactive,1593,826,,,,,,354,200,每日,35,0.502197,1.928571,2026-01-26,進行中
2025-10-17,2026-06-09,"28-55 / 沙鹿清水 / 公教職員",inactive,984,603,,,1,275,actions:leadgen.other,275,150,每日,16,0.609756,1.631841,2026-01-26,進行中
