分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2025-10-17,2026-05-29,0115_沙鹿最強(影片),inactive,572,500,1,,,,,329,250,每日,21,1.144,3.671329,2026-02-02,進行中
2025-10-17,2026-05-29,1104_早鳥超優惠,inactive,499,346,,,,,,254,250,每日,11,1.442197,2.204409,2026-02-02,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片),inactive,903,810,,,,,,246,250,每日,54,1.114815,5.980066,2026-02-03,進行中
2025-10-17,2026-05-29,0113_優惠再加碼,inactive,211,152,,,,,,39,250,每日,2,1.388158,0.947867,2026-02-03,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片)(V2機能),not_delivering,36,35,,,,,,18,250,每日,3,1.028571,8.333333,2026-02-03,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片)(V3格局),not_delivering,1051,864,,,,,,385,250,每日,26,1.216435,2.473834,2026-02-02,進行中
2025-10-17,2026-05-29,0204_早鳥紅色外觀,not_delivering,2065,1108,,,,,,425,250,每日,56,1.863718,2.711864,2026-02-03,進行中
2025-10-17,2026-05-29,0204_早鳥紅色外觀,not_delivering,27,23,,,,,,9,250,每日,0,1.173913,0,2026-02-02,進行中
2025-10-17,2026-05-29,0204_早鳥紅色外觀,not_delivering,1140,817,,,,,,397,250,每日,14,1.395349,1.22807,2026-02-05,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片)(V3格局),not_delivering,1413,956,,,,,,574,250,每日,46,1.478033,3.255485,2026-02-05,進行中
2025-10-17,2026-05-29,0204_早鳥紅色外觀,not_delivering,1104,741,,,,,,494,250,每日,19,1.489879,1.721014,2026-02-05,進行中
2025-10-17,2026-05-29,0115_沙鹿最強(影片)(V2機能),not_delivering,1499,1068,,,,,,500,250,每日,40,1.403558,2.668446,2026-02-05,進行中
2025-10-17,2026-05-29,0204_早鳥紅色外觀,inactive,2325,1288,1,,,,,432,250,每日,56,1.805124,2.408602,2026-02-09,2026-02-14
2025-10-17,2026-05-29,0115_沙鹿最強(影片)(V3格局),inactive,1396,959,,,,,,408,250,每日,56,1.455683,4.011461,2026-02-09,2026-02-14
2025-10-17,2026-05-29,0115_沙鹿最強(影片)(V2機能),not_delivering,417,322,,,,,,119,250,每日,13,1.295031,3.117506,2026-02-09,2026-02-14
2025-10-17,2026-05-29,0115_沙鹿最強(影片)(V2機能),not_delivering,339,294,,,,,,225,350,每日,16,1.153061,4.719764,2026-02-09,2026-02-14
2025-10-17,2026-05-29,0115_沙鹿最強(影片)(V3格局),not_delivering,2761,1873,,,4,312,actions:leadgen.other,1248,350,每日,75,1.474106,2.716407,2026-02-09,2026-02-14
2025-10-17,2026-05-29,0113_優惠再加碼,not_delivering,647,409,,,,,,115,150,每日,6,1.581907,0.927357,2026-01-28,進行中
