分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2025-10-17,2026-06-03,1017_乘載鄉里情(影片),inactive,2710,1177,,1,,443,actions:onsite_conversion.messaging_conversation_started_7d,443,200,每日,61,2.302464,2.250923,2025-10-17,進行中
2025-10-17,2026-06-03,1017_乘載鄉里情(影片),inactive,3474,1735,,6,,167.33333333,actions:onsite_conversion.messaging_conversation_started_7d,1004,300,每日,86,2.002305,2.475533,2025-10-17,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情-2(影片),not_delivering,934,479,1,1,,281,actions:onsite_conversion.messaging_conversation_started_7d,281,300,每日,19,1.949896,2.034261,2025-10-22,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情-2(影片),not_delivering,2150,1491,,,,,,654,300,每日,30,1.441985,1.395349,2025-10-17,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情-2(影片),not_delivering,1743,915,,1,,567,actions:onsite_conversion.messaging_conversation_started_7d,567,300,每日,30,1.904918,1.72117,2025-10-22,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情-2(影片),not_delivering,652,361,,1,1,216,actions:onsite_conversion.messaging_conversation_started_7d,216,300,每日,10,1.806094,1.533742,2025-10-23,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情-2(影片),not_delivering,226,191,,,,,,29,300,每日,7,1.183246,3.097345,2025-10-27,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情-2(影片),inactive,1000,700,1,4,2,98,actions:onsite_conversion.messaging_conversation_started_7d,392,200,每日,27,1.428571,2.7,2025-10-27,進行中
2025-10-17,2026-06-03,1022_乘載鄉里情(單圖),inactive,3337,2180,1,2,,513,actions:onsite_conversion.messaging_conversation_started_7d,1026,200,每日,66,1.530734,1.977824,2025-10-27,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,not_delivering,10064,4849,,9,,364.44444444,actions:onsite_conversion.messaging_conversation_started_7d,3280,200,每日,578,2.075479,5.743243,2025-10-27,進行中
2025-10-17,2026-06-03,1224_一步到位,inactive,113,102,,,,,,17,200,每日,4,1.107843,3.539823,2026-01-07,進行中
2025-10-17,2026-06-03,1231_快問快答(影片),not_delivering,1964,1085,,1,,618,actions:onsite_conversion.messaging_conversation_started_7d,618,200,每日,67,1.810138,3.411405,2026-01-09,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,not_delivering,561,466,,,,,,116,200,每日,15,1.203863,2.673797,2026-01-09,進行中
2025-10-17,2026-06-03,1231_快問快答(影片),not_delivering,71,59,,,,,,14,200,每日,1,1.20339,1.408451,2026-01-12,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,inactive,1435,1212,1,,,,,247,200,每日,33,1.183993,2.299652,2026-01-12,進行中
2025-10-17,2026-06-03,0113_優惠再加碼,not_delivering,1943,1205,,,,,,321,200,每日,42,1.612448,2.161606,2026-01-12,進行中
2025-10-17,2026-06-03,0113_優惠再加碼,inactive,26,21,,,,,,0,200,每日,1,1.238095,3.846154,2025-11-26,進行中
2025-10-17,2026-06-03,0115_沙鹿最強(影片),not_delivering,1992,1634,,2,,201.5,actions:onsite_conversion.messaging_conversation_started_7d,403,200,每日,177,1.219094,8.885542,2025-11-26,進行中
2025-10-17,2026-06-03,0115_沙鹿最強(影片),not_delivering,6768,4137,2,4,,241.25,actions:onsite_conversion.messaging_conversation_started_7d,965,200,每日,620,1.635968,9.160757,2025-11-21,進行中
2025-10-17,2026-06-03,0113_優惠再加碼,not_delivering,72,61,,,,,,5,200,每日,3,1.180328,4.166667,2025-11-21,進行中
2025-10-17,2026-06-03,1118_散步到商圈(影片),not_delivering,390,284,,,,,,214,200,每日,23,1.373239,5.897436,2025-11-03,進行中
2025-10-17,2026-06-03,1118_散步到商圈(影片),not_delivering,1,1,,,,,,0,200,每日,0,1,0,2025-11-07,進行中
2025-10-17,2026-06-03,1118_散步到商圈(影片),inactive,6,4,,,,,,0,200,每日,0,1.5,0,2025-11-21,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,inactive,28907,9028,7,17,,250.17647059,actions:onsite_conversion.messaging_conversation_started_7d,4253,200,每日,755,3.201927,2.611824,2025-11-21,進行中
2025-10-17,2026-06-03,1118_散步到商圈(單圖),inactive,1971,1048,,2,,241.5,actions:onsite_conversion.messaging_conversation_started_7d,483,200,每日,56,1.880725,2.841197,2025-11-21,進行中
2025-10-17,2026-06-03,1118_散步到商圈(單圖),not_delivering,1018,789,,,,,,292,200,每日,27,1.290241,2.652259,2025-11-17,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,not_delivering,54239,19386,8,34,1,260.79411765,actions:onsite_conversion.messaging_conversation_started_7d,8867,200,每日,1625,2.797844,2.995999,2025-11-26,進行中
2025-10-17,2026-06-03,1118_散步到商圈(單圖),inactive,463,336,,,,,,49,200,每日,11,1.377976,2.37581,2025-11-26,進行中
2025-10-17,2026-06-03,1202_客製2房2衛,inactive,2186,1081,,,,,,457,200,每日,40,2.022202,1.829826,2025-11-21,進行中
2025-10-17,2026-06-03,1202_客製2房2衛,inactive,871,563,,,,,,118,200,每日,12,1.547069,1.377727,2025-11-26,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,inactive,1644,1133,,1,,284,actions:onsite_conversion.messaging_conversation_started_7d,284,200,每日,53,1.451015,3.223844,2025-12-22,進行中
2025-10-17,2026-06-03,1202_客製2房2衛,not_delivering,701,459,,,,,,171,200,每日,17,1.527233,2.425107,2025-12-22,進行中
2025-10-17,2026-06-03,1104_早鳥超優惠,not_delivering,17938,6423,3,6,,376.16666667,actions:onsite_conversion.messaging_conversation_started_7d,2257,200,每日,416,2.792776,2.319099,2025-12-22,進行中
2025-10-17,2026-06-03,1202_客製2房2衛,inactive,712,374,,,,,,131,200,每日,1,1.903743,0.140449,2025-12-22,進行中
2025-10-17,2026-06-03,1224_一步到位,not_delivering,3004,1442,1,,,,,562,200,每日,96,2.083218,3.195739,2025-12-22,進行中
2025-10-17,2026-06-03,1231_快問快答(影片),not_delivering,359,263,,,,,,71,200,每日,13,1.365019,3.62117,2025-12-22,進行中
2025-10-17,2026-06-03,1231_快問快答(影片),inactive,1582,977,,,,,,420,200,每日,87,1.619243,5.499368,2025-11-26,進行中
