分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,頻率,CTR（全部）,開始,結束時間
2025-10-17,2026-06-03,"30-60 / 沙鹿梧棲清水 / 保險 銀行業",inactive,2710,1177,,1,,443,actions:onsite_conversion.messaging_conversation_started_7d,443,200,每日,61,2.302464,2.250923,2025-10-17,進行中
2025-10-17,2026-06-03,"27-55 / 中科沙鹿梧棲 / 年輕人 科技工業(1027TA)",inactive,5624,2993,,6,,276.33333333,actions:onsite_conversion.messaging_conversation_started_7d,1658,300,每日,116,1.879051,2.062589,2025-10-17,進行中
2025-10-17,2026-06-03,"27-55 / 西屯沙鹿 / 醫療相關",inactive,934,479,1,1,,281,actions:onsite_conversion.messaging_conversation_started_7d,281,300,每日,19,1.949896,2.034261,2025-10-22,進行中
2025-10-17,2026-06-03,"27-55 / 中科沙鹿梧棲 / 娛樂 串流媒體",inactive,1743,915,,1,,567,actions:onsite_conversion.messaging_conversation_started_7d,567,300,每日,30,1.904918,1.72117,2025-10-22,進行中
2025-10-17,2026-06-03,"28-55 / 沙鹿清水梧棲 / 航空業 地勤",inactive,652,361,,1,1,216,actions:onsite_conversion.messaging_conversation_started_7d,216,300,每日,10,1.806094,1.533742,2025-10-23,進行中
2025-10-17,2026-06-03,"202510_華偉知見_高效訊息_中科沙鹿_科技新貴 廣告組合",inactive,226,191,,,,,,29,300,每日,7,1.183246,3.097345,2025-10-27,進行中
2025-10-17,2026-06-03,"202510_華偉知見_高效訊息_梧棲中科_小家庭 廣告組合",inactive,14401,6895,2,15,2,313.2,actions:onsite_conversion.messaging_conversation_started_7d,4698,200,每日,671,2.088615,4.659399,2025-10-27,進行中
2025-10-17,2026-06-03,"27-55 / 中科南屯 / 工程師美食",inactive,2303,1693,,1,,696,actions:onsite_conversion.messaging_conversation_started_7d,696,5000,總經費,40,1.360307,1.736865,2025-10-28,2025-11-16
2025-10-17,2026-06-03,"27-55 / 沙鹿西屯 / 設計 金融 教育",inactive,5658,3657,,4,1,417.75,actions:onsite_conversion.messaging_conversation_started_7d,1671,5000,總經費,59,1.54717,1.042771,2025-10-28,2025-11-16
2025-10-17,2026-06-03,"27-55 / 中科南屯沙鹿 / 藍領 / 銀行保險",inactive,3391,2105,,1,,1157,actions:onsite_conversion.messaging_conversation_started_7d,1157,4500,總經費,64,1.610926,1.887349,2025-10-31,2025-11-16
2025-10-17,2026-06-03,"28-60 / 沙鹿中科 / 1%+房地產(1119+1%)",inactive,20252,7009,2,11,,402.09090909,actions:onsite_conversion.messaging_conversation_started_7d,4423,200,每日,710,2.889428,3.505827,2025-11-03,進行中
2025-10-17,2026-06-03,"28-60 / 沙鹿清水龍井 / 在地美食 / 日用品",inactive,3705,2074,,2,,482.5,actions:onsite_conversion.messaging_conversation_started_7d,965,250,每日,141,1.786403,3.805668,2025-11-03,進行中
2025-10-17,2026-06-03,"28-55 / 沙鹿西屯 / 文青",inactive,10019,4404,,6,1,496,actions:onsite_conversion.messaging_conversation_started_7d,2976,200,每日,475,2.274977,4.740992,2025-11-07,進行中
